source_pdf,pdf_page,source_scope,hunt_code,raw_hunt_name,tables_found,point_rows_extracted
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,22,LIMITED_ENTRY_DEER,DB1020,"Limited-entry Alw (rifle) Buck Deer - La Sal, Dolores Triangle - Any Legal Weapon",1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,23,LIMITED_ENTRY_DEER,DB1022,"Limited-entry Alw (rifle) Buck Deer - San Juan, Elk Ridge - Any Legal Weapon",1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,24,LIMITED_ENTRY_DEER,DB1023,Limited-entry Alw (rifle) Buck Deer - Diamond Mtn - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,25,LIMITED_ENTRY_DEER,DB1024,"Limited-entry Alw (rifle) Buck Deer - West Desert, Vernon - Any Legal Weapon",1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,26,LIMITED_ENTRY_DEER,DB1025,Limited-entry Muzzleloader Buck Deer - Book Cliffs - Muzzleloader,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,27,LIMITED_ENTRY_DEER,DB1026,"Limited-entry Muzzleloader Buck Deer - Cache, Crawford Mtn - Muzzleloader",1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,28,LIMITED_ENTRY_DEER,DB1028,Limited-entry Muzzleloader Buck Deer - Fillmore - Muzzleloader,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,29,LIMITED_ENTRY_DEER,DB1029,"Limited-entry Muzzleloader Buck Deer - Fillmore, Oak Creek Le -Muzzleloader",1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,30,LIMITED_ENTRY_DEER,DB1030,Limited-entry Muzzleloader Buck Deer - Kamas -Muzzleloader,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,31,LIMITED_ENTRY_DEER,DB1031,"Limited-entry Muzzleloader Buck Deer - La Sal, Dolores Triangle - Muzzleloader",1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,32,LIMITED_ENTRY_DEER,DB1032,Limited-entry Muzzleloader Buck Deer - Monroe - Muzzleloader,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,33,LIMITED_ENTRY_DEER,DB1033,Limited-entry Muzzleloader Buck Deer - Nine Mile - Muzzleloader,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,34,LIMITED_ENTRY_DEER,DB1034,Limited-entry Muzzleloader Buck Deer - Pine Valley - Muzzleloader,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,35,LIMITED_ENTRY_DEER,DB1037,"Limited-entry Muzzleloader Buck Deer - San Juan, Elk Ridge - Muzzleloader",1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,36,LIMITED_ENTRY_DEER,DB1038,Limited-entry Muzzleloader Buck Deer - Diamond Mtn - Muzzleloader,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,37,LIMITED_ENTRY_DEER,DB1039,Limited-entry Muzzleloader Buck Deer - Yellowstone - Muzzleloader,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,38,LIMITED_ENTRY_DEER,DB1040,Limited-entry Muzzleloader Buck Deer - Southwest Desert - Muzzleloader,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,39,LIMITED_ENTRY_DEER,DB1041,"Limited-entry Muzzleloader Buck Deer - Wasatch Mtns, East - Muzzleloader",1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,40,LIMITED_ENTRY_DEER,DB1042,"Limited-entry Muzzleloader Buck Deer - West Desert, Vernon - Muzzleloader",1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,41,LIMITED_ENTRY_DEER,DB1043,Limited-entry Muzzleloader Buck Deer - Zion - Muzzleloader,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,42,LIMITED_ENTRY_DEER,DB1044,Multi-season Limited-entry Buck Deer - Book Cliffs - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,43,LIMITED_ENTRY_DEER,DB1045,"Multi-season Limited-entry Buck Deer - Fillmore, Oak Creek Le - Any Legal Weapon",1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,44,LIMITED_ENTRY_DEER,DB1046,"Multi-season Limited-entry Buck Deer - San Juan, Elk Ridge - Any Legal Weapon",1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,45,LIMITED_ENTRY_DEER,DB1047,Multi-season Limited-entry Buck Deer - Diamond Mtn - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,46,LIMITED_ENTRY_DEER,DB1048,"Multi-season Limited-entry Buck Deer - West Desert, Vernon - Any Legal Weapon",1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,47,LIMITED_ENTRY_DEER,DB1053,Limited-entry Muzzleloader Buck Deer - Mt Dutton -Muzzleloader,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,48,LIMITED_ENTRY_DEER,DB1054,Limited-entry Muzzleloader Buck Deer - Ogden - Muzzleloader,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,49,LIMITED_ENTRY_DEER,DB1055,Limited-entry Muzzleloader Buck Deer - Fishlake - Muzzleloader,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,50,LIMITED_ENTRY_DEER,DB1058,Alw (rifle) Cactus Buck Deer - Paunsaugunt - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,51,LIMITED_ENTRY_DEER,DB1065,Limited-entry Muzzleloader Buck Deer - North Slope - Muzzleloader,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,52,LIMITED_ENTRY_DEER,DB1073,Management Archery Buck Deer - Paunsaugunt - Archery,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,53,LIMITED_ENTRY_DEER,DB1074,Management Muzzleloader Buck Deer - Paunsaugunt - Muzzleloader,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,54,LIMITED_ENTRY_DEER,DB1077,Limited-entry Muzzleloader Buck Deer - Box Elder - Muzzleloader,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,55,LIMITED_ENTRY_DEER,DB1078,Limited-entry Muzzleloader Buck Deer - Cache - Muzzleloader,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,56,LIMITED_ENTRY_DEER,DB1079,Limited-entry Muzzleloader Buck Deer - Manti/san Rafael - Muzzleloader,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,57,LIMITED_ENTRY_DEER,DB1080,Limited-entry Muzzleloader Buck Deer - Nebo - Muzzleloader,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,58,LIMITED_ENTRY_DEER,DB1081,"Limited-entry Muzzleloader Buck Deer - La Sal, La Sal Mtns - Muzzleloader",1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,59,LIMITED_ENTRY_DEER,DB1083,Limited-entry Muzzleloader Buck Deer - Panguitch Lake - Muzzleloader,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,60,LIMITED_ENTRY_DEER,DB1084,Limited-entry Muzzleloader Buck Deer - Boulder/kaiparowits - Muzzleloader,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,61,LIMITED_ENTRY_DEER,DB1085,"Limited-entry Muzzleloader Buck Deer - San Juan, Abajo Mtns - Muzzleloader",1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,62,LIMITED_ENTRY_DEER,DB1086,Limited-entry Muzzleloader Buck Deer - Vernal/bonanza - Muzzleloader,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,63,LIMITED_ENTRY_DEER,DB1087,"Limited-entry Muzzleloader Buck Deer - Wasatch Mtns, West - Muzzleloader",1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,64,LIMITED_ENTRY_DEER,DB1090,"Limited-entry Hamss Buck Deer - Book Cliffs, Floy Canyon - H.a.m.s.s.",1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,65,LIMITED_ENTRY_DEER,DB1091,Limited-entry Hamss Buck Deer - Kaiparowits Hamss - H.a.m.s.s.,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,66,LIMITED_ENTRY_DEER,DB1100,Limited-entry Muzzleloader Buck Deer - Chalk Creek - Muzzleloader,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,67,LIMITED_ENTRY_DEER,DB1101,Limited-entry Muzzleloader Buck Deer - East Canyon - Muzzleloader,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,68,LIMITED_ENTRY_DEER,DB1103,Limited-entry Muzzleloader Buck Deer - Morgan-south Rich - Muzzleloader,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,69,LIMITED_ENTRY_DEER,DB1105,Limited-entry Hamss Buck Deer - East Canyon - H.a.m.s.s.,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,70,LIMITED_ENTRY_DEER,DB1106,Limited-entry Restricted Archery Buck Deer - Thousand Lakes,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,71,LIMITED_ENTRY_DEER,DB1107,Limited-entry Restricted Muzzleloader Buck Deer - Thousand Lakes,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,72,LIMITED_ENTRY_DEER,DB1108,Limited-entry Restricted Rifle Buck Deer - Thousand Lakes,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,73,LIMITED_ENTRY_DEER,DB1110,"Limited-entry Muzzleloader Buck Deer - Beaver, East - Muzzleloader",1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,74,LIMITED_ENTRY_DEER,DB1111,"Limited-entry Muzzleloader Buck Deer - Beaver, West - Muzzleloader",1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,75,LIMITED_ENTRY_DEER,DB1112,"Limited-entry Muzzleloader Buck Deer - West Desert, Swasey - Muzzleloader",1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,76,LIMITED_ENTRY_DEER,DB1113,Limited-entry Muzzleloader Buck Deer - Oquirrh/tintic - Muzzleloader,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,77,LIMITED_ENTRY_DEER,DB1114,Limited-entry Muzzleloader Buck Deer - Cedar/stansbury - Muzzleloader,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,78,LIMITED_ENTRY_DEER,DB1115,"Limited-entry Alw (rifle) Buck Deer - Henry Mtns, Little Rockies - Any Legal Weapon",1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,79,LIMITED_ENTRY_DEER,DB1116,"Limited-entry Hamss Buck Deer - San Juan, Mancos Mesa - H.a.m.s.s.",1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,80,LIMITED_ENTRY_DEER,DB1119,"Limited-entry Alw (rifle) Buck Deer - La Sal, Moab Valley -Any Legal Weapon",1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,81,LIMITED_ENTRY_DEER,DB1120,"Limited-entry Alw (rifle) Buck Deer - La Sal, Castle Valley - Any Legal Weapon",1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,82,LIMITED_ENTRY_DEER,DB1200,Premium Cwmu Buck Deer -Alton - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,83,LIMITED_ENTRY_DEER,DB1201,Cwmu Management Buck Deer - Alton - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,84,LIMITED_ENTRY_DEER,DB1202,Cwmu Buck Deer - Antelope Creek - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,85,LIMITED_ENTRY_DEER,DB1203,Cwmu Buck Deer - Avintaquin Canyon - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,86,LIMITED_ENTRY_DEER,DB1204,Cwmu Buck Deer - Bally Watts - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,87,LIMITED_ENTRY_DEER,DB1205,Cwmu Buck Deer - Bar J Ranch - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,88,LIMITED_ENTRY_DEER,DB1206,Cwmu Buck Deer - Bear Mountain - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,89,LIMITED_ENTRY_DEER,DB1207,Cwmu Buck Deer - Bear Springs - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,90,LIMITED_ENTRY_DEER,DB1208,Cwmu Buck Deer - Blackhawk - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,91,LIMITED_ENTRY_DEER,DB1209,Cwmu Buck Deer - Blind Springs - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,92,LIMITED_ENTRY_DEER,DB1211,Cwmu Buck Deer - Blue Spring Hills - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,93,LIMITED_ENTRY_DEER,DB1212,Cwmu Buck Deer - Bluebell - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,94,LIMITED_ENTRY_DEER,DB1213,Cwmu Buck Deer - Boobe Hole - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,95,LIMITED_ENTRY_DEER,DB1215,Cwmu Buck Deer - Buckhorn Ranch - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,96,LIMITED_ENTRY_DEER,DB1216,Cwmu Buck Deer - Castle Valley Outdoors - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,97,LIMITED_ENTRY_DEER,DB1217,Cwmu Buck Deer - Causey Spring - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,98,LIMITED_ENTRY_DEER,DB1219,Cwmu Buck Deer - Chimney Rock - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,99,LIMITED_ENTRY_DEER,DB1222,Cwmu Buck Deer - Coldwater Ranch -Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,100,LIMITED_ENTRY_DEER,DB1224,Cwmu Buck Deer - Cotton Thomas - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,101,LIMITED_ENTRY_DEER,DB1227,Cwmu Buck Deer - Deer Haven - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,102,LIMITED_ENTRY_DEER,DB1228,Cwmu Buck Deer - Deseret - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,103,LIMITED_ENTRY_DEER,DB1229,Cwmu Buck Deer - Dilly Ranch - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,104,LIMITED_ENTRY_DEER,DB1230,Cwmu Buck Deer - Double R Ranch - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,105,LIMITED_ENTRY_DEER,DB1231,Cwmu Buck Deer - Dove Creek -Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,106,LIMITED_ENTRY_DEER,DB1232,Cwmu Buck Deer - Durst Mountain - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,107,LIMITED_ENTRY_DEER,DB1233,Cwmu Buck Deer - East Fork Chalk Creek - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,108,LIMITED_ENTRY_DEER,DB1234,Cwmu Buck Deer - East Zion - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,109,LIMITED_ENTRY_DEER,DB1236,Cwmu Buck Deer - Engineer Springs - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,110,LIMITED_ENTRY_DEER,DB1237,Cwmu Buck Deer - Ensign Ranches - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,111,LIMITED_ENTRY_DEER,DB1238,Cwmu Buck Deer - Folley Ridge - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,112,LIMITED_ENTRY_DEER,DB1239,Cwmu Buck Deer - Fort Ranch - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,113,LIMITED_ENTRY_DEER,DB1240,Cwmu Buck Deer - George Creek - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,114,LIMITED_ENTRY_DEER,DB1241,Cwmu Buck Deer - Golden Spike - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,115,LIMITED_ENTRY_DEER,DB1242,Cwmu Buck Deer - Grass Valley/clark Canyon -Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,116,LIMITED_ENTRY_DEER,DB1243,Cwmu Buck Deer - Grazing Pasture - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,117,LIMITED_ENTRY_DEER,DB1244,Cwmu Buck Deer - Green Canyon - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,118,LIMITED_ENTRY_DEER,DB1245,Cwmu Buck Deer - Guildersleeve - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,119,LIMITED_ENTRY_DEER,DB1246,Cwmu Buck Deer - Hardscrabble - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,120,LIMITED_ENTRY_DEER,DB1248,Cwmu Buck Deer - Heaston East - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,121,LIMITED_ENTRY_DEER,DB1249,Cwmu Buck Deer - Hiawatha - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,122,LIMITED_ENTRY_DEER,DB1250,Cwmu Buck Deer - Indian Creek -Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,123,LIMITED_ENTRY_DEER,DB1251,Cwmu Buck Deer - Indian Head - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,124,LIMITED_ENTRY_DEER,DB1252,Cwmu Buck Deer - Ingham Peak - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,125,LIMITED_ENTRY_DEER,DB1253,Cwmu Buck Deer - Circle E Ranch - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,126,LIMITED_ENTRY_DEER,DB1255,Cwmu Buck Deer - Johnson Mountain Ranch - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,127,LIMITED_ENTRY_DEER,DB1256,Cwmu Buck Deer - Junction Valley - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,128,LIMITED_ENTRY_DEER,DB1258,Cwmu Buck Deer - Little Red Creek - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,129,LIMITED_ENTRY_DEER,DB1259,Cwmu Buck Deer - Tunnel Hollow - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,130,LIMITED_ENTRY_DEER,DB1260,Cwmu Buck Deer - Middle Ridge - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,131,LIMITED_ENTRY_DEER,DB1261,Cwmu Buck Deer - Minnie Maud Ridge - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,132,LIMITED_ENTRY_DEER,DB1263,Cwmu Buck Deer - Moon Ranch - Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,133,LIMITED_ENTRY_DEER,DB1264,Cwmu Buck Deer - Mountain Meadow -Any Legal Weapon,1,66
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,134,LIMITED_ENTRY_DEER,DB1265,Cwmu Buck Deer - Mountain Top - Any Legal Weapon,1,66
