comparison,hunt_code,boundary_id,hunt_name,species,primary_universe_bucket,scoring_bucket
locked_2026_model_workbook_NOT_IN_bible_2026,BI6516,94,Henry Mtns,Bison,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BI6528,889,"Book Cliffs, Little Creek/South",Bison,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BI6529,889,"Book Cliffs, Little Creek/South",Bison,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BI6531,889,"Book Cliffs, Little Creek/South",Bison,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BI6532,667,"Book Cliffs, Bitter Creek (pronghorn)",Bison,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BI6534,667,"Book Cliffs, Bitter Creek (pronghorn)",Bison,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BI6535,667,"Book Cliffs, Bitter Creek (pronghorn)",Bison,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BI6536,667,"Book Cliffs, Bitter Creek (pronghorn)",Bison,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BI6537,889,"Book Cliffs, Little Creek/South",Bison,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BI6539,94,Henry Mtns,Bison,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR1000,5001,Statewide,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR1008,7,Book Cliffs,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR1009,684,La Sal,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR1010,710,San Juan,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR1011,7,Book Cliffs,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR1012,684,La Sal,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR1013,710,San Juan,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR1015,7,Book Cliffs,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR1016,710,San Juan,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR1017,684,La Sal,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7000,628,Beaver,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7001,449,"Book Cliffs, Bitter Creek/South",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7003,52,"Manti, North",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7004,744,"Manti South/San Rafael, North",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7005,616,Nebo,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7007,88,"Fillmore, Pahvant",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7009,630,Mt Dutton,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7010,462,Panguitch Lake/Zion,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7011,163,Paunsaugunt,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7012,455,Boulder/Kaiparowits,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7013,175,Fishlake/Thousand Lakes,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7014,710,San Juan,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7015,444,Diamond Mtn/Vernal/Bonanza,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7016,845,"Wasatch Mtns, West-Central",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7017,92,Cache/Ogden,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7018,251,"Kamas/North Slope, Summit",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7020,629,Monroe,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7021,108,Dolores Triangle,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7022,617,La Sal Mtns,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7100,628,Beaver,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7101,449,"Book Cliffs, Bitter Creek/South",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7102,12,"Book Cliffs, Little Creek Roadless",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7104,52,"Manti, North",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7105,744,"Manti South/San Rafael, North",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7106,616,Nebo,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7109,630,Mt Dutton,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7110,615,Nine Mile,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7111,289,"North Slope, Three Corners/West Daggett",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7112,462,Panguitch Lake/Zion,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7113,163,Paunsaugunt,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7114,455,Boulder/Kaiparowits,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7115,175,Fishlake/Thousand Lakes,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7116,710,San Juan,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7117,444,Diamond Mtn/Vernal/Bonanza,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7118,613,Yellowstone,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7119,463,"Wasatch Mtns, Avintaquin/Currant Creek",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7120,448,"Wasatch Mtns, West-Central",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7121,92,Cache/Ogden,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7122,93,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7123,5053,"Kamas/North Slope, Summit",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7124,88,"Fillmore, Pahvant",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7125,629,Monroe,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7126,108,Dolores Triangle,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7127,617,La Sal Mtns,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7200,628,Beaver,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7201,449,"Book Cliffs, Bitter Creek/South",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7203,52,"Manti, North",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7204,744,"Manti South/San Rafael, North",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7205,616,Nebo,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7207,88,"Fillmore, Pahvant",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7210,630,Mt Dutton,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7211,615,Nine Mile,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7212,289,"North Slope, Three Corners/West Daggett",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7213,462,Panguitch Lake/Zion,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7214,163,Paunsaugunt,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7215,455,Boulder/Kaiparowits,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7216,175,Fishlake/Thousand Lakes,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7217,710,San Juan,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7218,444,Diamond Mtn/Vernal/Bonanza,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7219,613,Yellowstone,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7220,463,"Wasatch Mtns, Avintaquin/Currant Creek",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7221,448,"Wasatch Mtns, West-Central",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7224,12,"Book Cliffs, Little Creek Roadless",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7225,12,"Book Cliffs, Little Creek Roadless",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7228,92,Cache/Ogden,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7229,5079,"Kamas/North Slope, Summit",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7238,108,Dolores Triangle,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7239,617,La Sal Mtns,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7300,449,"Book Cliffs, Bitter Creek/South",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7301,12,"Book Cliffs, Little Creek Roadless",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7303,52,"Manti, North",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7304,744,"Manti South/San Rafael, North",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7305,616,Nebo,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7308,289,"North Slope, Three Corners/West Daggett",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7309,462,Panguitch Lake/Zion,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7310,455,Boulder/Kaiparowits,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7311,175,Fishlake/Thousand Lakes,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7312,710,San Juan,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7313,444,Diamond Mtn/Vernal/Bonanza,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7314,613,Yellowstone,Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
locked_2026_model_workbook_NOT_IN_bible_2026,BR7315,463,"Wasatch Mtns, Avintaquin/Currant Creek",Black Bear,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES
