hunt_code,boundary_id,boundary_id_source,primary_universe_bucket,scoring_bucket,hunt_name,species,sex_type,hunt_type,weapon,prefix,present_2026_model_workbook,present_2025_model_workbook,present_2026_hunt_matrix,present_DATABASE,present_long_file,present_boundary_index,boundary_geojson_exists,present_BIBLE_2026,present_BIBLE_2025,present_normalized_2025_for_2026,present_demoted_1289_built_master,boundary_geojson_path,member_boundary_ids,source_boundary_ids,source_flags,lock_status
BI6534,667,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,"Book Cliffs, Bitter Creek (pronghorn)",Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,BI,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,processed_data/boundaries/BI6534.geojson,,667,database|matrix|long|built_demoted|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BI6535,667,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,"Book Cliffs, Bitter Creek (pronghorn)",Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,BI,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,processed_data/boundaries/BI6535.geojson,,667,database|matrix|long|built_demoted|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BI6536,667,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,"Book Cliffs, Bitter Creek (pronghorn)",Bison,Female Only,Once-in-a-lifetime,Any Legal Weapon,BI,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,processed_data/boundaries/BI6536.geojson,,667,database|matrix|long|built_demoted|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BI6537,889,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,BI,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,processed_data/boundaries/BI6537.geojson,,889,database|matrix|long|built_demoted|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BI6538,615,DATABASE.boundary_id,MATRIX_MAPPED_SEARCHABLE_NOT_WORKBOOK,MAPPED_SEARCHABLE_NOT_AUTOMATICALLY_SCORABLE,Nine Mile,Bison,Hunters Choice,General Season,Any Legal Weapon,BI,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,processed_data/boundaries/BI6538.geojson,,615,database|matrix|long|built_demoted|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BI6539,94,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,Henry Mtns,Bison,Female Only,Once-in-a-Lifetime,Any Legal Weapon,BI,YES,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,processed_data/boundaries/BI6539.geojson,,94,database|matrix|long|built_demoted|workbook_2026_for_2027|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BR1000,5001,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,Statewide,Black Bear,Either Sex,Statewide,Any Legal Weapon,BR,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,processed_data/boundaries/BR1000.geojson,7|12|52|138|163|289|444|616|628|629|684|710|175|88|92|93|610|611|613|615|630|448|449|455|456|457|462|463|744|845,7|12|52|138|163|289|444|616|628|629|684|710|175|88|92|93|610|611|613|615|630|448|449|455|456|457|462|463|744|845,database|matrix|long|built_demoted|normalized_2025_for_2026|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BR1001,5002,DATABASE.boundary_id,MATRIX_MAPPED_SEARCHABLE_NOT_WORKBOOK,MAPPED_SEARCHABLE_NOT_AUTOMATICALLY_SCORABLE,Harvest Objective Units,Black Bear,Either Sex,O.T.C.,Any Legal Weapon,BR,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,processed_data/boundaries/BR1001.geojson,52|251|289|444|616|617|628|710|175|88|92|610|613|615|630|449|455|462|463|744|845,52|251|289|444|616|617|628|710|175|88|92|610|613|615|630|449|455|462|463|744|845,database|matrix|long|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BR1007,5003,DATABASE.boundary_id,MATRIX_MAPPED_SEARCHABLE_NOT_WORKBOOK,MAPPED_SEARCHABLE_NOT_AUTOMATICALLY_SCORABLE,Pursuit,Black Bear,Either Sex,O.T.C.,Pursuit Only,BR,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,processed_data/boundaries/BR1007.geojson,7|52|163|289|444|616|628|629|684|710|175|88|613|615|630|448|455|456|457|462|463|744,7|52|163|289|444|616|628|629|684|710|175|88|613|615|630|448|455|456|457|462|463|744,database|matrix|long|built_demoted|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BR1008,7,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,Book Cliffs,Black Bear,Either Sex,O.T.C.,Pursuit Only,BR,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,processed_data/boundaries/BR1008.geojson,,7,database|matrix|long|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BR1009,684,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,La Sal,Black Bear,Either Sex,O.T.C.,Pursuit Only,BR,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,processed_data/boundaries/BR1009.geojson,,684,database|matrix|long|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BR1010,710,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,San Juan,Black Bear,Either Sex,O.T.C.,Pursuit Only,BR,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,processed_data/boundaries/BR1010.geojson,,710,database|matrix|long|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BR1011,7,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,Book Cliffs,Black Bear,Either Sex,O.T.C.,Pursuit Only,BR,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,processed_data/boundaries/BR1011.geojson,,7,database|matrix|long|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BR1012,684,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,La Sal,Black Bear,Either Sex,O.T.C.,Pursuit Only,BR,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,processed_data/boundaries/BR1012.geojson,,684,database|matrix|long|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BR1013,710,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,San Juan,Black Bear,Either Sex,O.T.C.,Pursuit Only,BR,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,processed_data/boundaries/BR1013.geojson,,710,database|matrix|long|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BR1015,7,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,Book Cliffs,Black Bear,Either Sex,O.T.C.,Pursuit Only,BR,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,processed_data/boundaries/BR1015.geojson,,7,database|matrix|long|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BR1016,710,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,San Juan,Black Bear,Either Sex,O.T.C.,Pursuit Only,BR,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,processed_data/boundaries/BR1016.geojson,,710,database|matrix|long|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BR1017,684,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,La Sal,Black Bear,Either Sex,O.T.C.,Pursuit Only,BR,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,processed_data/boundaries/BR1017.geojson,,684,database|matrix|long|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BR1018,5013,DATABASE.boundary_id,MATRIX_MAPPED_SEARCHABLE_NOT_WORKBOOK,MAPPED_SEARCHABLE_NOT_AUTOMATICALLY_SCORABLE,Pursuit,Black Bear,Either Sex,O.T.C.,Pursuit Only,BR,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,processed_data/boundaries/BR1018.geojson,52|163|289|444|616|628|629|175|88|613|615|630|448|455|456|457|462|463|744,52|163|289|444|616|628|629|175|88|613|615|630|448|455|456|457|462|463|744,database|matrix|long|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BR7000,628,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,Beaver,Black Bear,Either Sex,Limited Entry,Any Legal Weapon,BR,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,processed_data/boundaries/BR7000.geojson,,628,database|matrix|long|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BR7001,449,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,"Book Cliffs, Bitter Creek/South",Black Bear,Either Sex,Limited Entry,Any Legal Weapon,BR,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,processed_data/boundaries/BR7001.geojson,,449,database|matrix|long|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BR7003,52,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,"Manti, North",Black Bear,Either Sex,Limited Entry,Any Legal Weapon,BR,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,processed_data/boundaries/BR7003.geojson,,52,database|matrix|long|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BR7004,744,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,"Manti South/San Rafael, North",Black Bear,Either Sex,Limited Entry,Any Legal Weapon,BR,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,processed_data/boundaries/BR7004.geojson,,744,database|matrix|long|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BR7005,616,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,Nebo,Black Bear,Either Sex,Limited Entry,Any Legal Weapon,BR,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,processed_data/boundaries/BR7005.geojson,,616,database|matrix|long|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BR7007,88,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,"Fillmore, Pahvant",Black Bear,Either Sex,Limited Entry,Any Legal Weapon,BR,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,processed_data/boundaries/BR7007.geojson,,88,database|matrix|long|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BR7009,630,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,Mt Dutton,Black Bear,Either Sex,Limited Entry,Any Legal Weapon,BR,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,processed_data/boundaries/BR7009.geojson,,630,database|matrix|long|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BR7010,462,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,Panguitch Lake/Zion,Black Bear,Either Sex,Limited Entry,Any Legal Weapon,BR,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,processed_data/boundaries/BR7010.geojson,,462,database|matrix|long|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BR7011,163,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,Paunsaugunt,Black Bear,Either Sex,Limited Entry,Any Legal Weapon,BR,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,processed_data/boundaries/BR7011.geojson,,163,database|matrix|long|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BR7012,455,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,Boulder/Kaiparowits,Black Bear,Either Sex,Limited Entry,Any Legal Weapon,BR,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,processed_data/boundaries/BR7012.geojson,,455,database|matrix|long|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BR7013,175,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,Fishlake/Thousand Lakes,Black Bear,Either Sex,Limited Entry,Any Legal Weapon,BR,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,processed_data/boundaries/BR7013.geojson,,175,database|matrix|long|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BR7014,710,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,San Juan,Black Bear,Either Sex,Limited Entry,Any Legal Weapon,BR,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,processed_data/boundaries/BR7014.geojson,,710,database|matrix|long|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BR7015,444,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Limited Entry,Any Legal Weapon,BR,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,processed_data/boundaries/BR7015.geojson,,444,database|matrix|long|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BR7016,845,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,"Wasatch Mtns, West-Central",Black Bear,Either Sex,Limited Entry,Any Legal Weapon,BR,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,processed_data/boundaries/BR7016.geojson,,845,database|matrix|long|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BR7017,92,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,Cache/Ogden,Black Bear,Either Sex,Limited Entry,Any Legal Weapon,BR,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,processed_data/boundaries/BR7017.geojson,,92,database|matrix|long|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
BR7018,251,DATABASE.boundary_id,MODEL_WORKBOOK_2026_PERMITS_2027_MODEL,CANDIDATE_MODEL_SCORABLE_REQUIRES_ENGINE_GATES,"Kamas/North Slope, Summit",Black Bear,Either Sex,Limited Entry,Any Legal Weapon,BR,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,processed_data/boundaries/BR7018.geojson,,251,database|matrix|long|normalized_2025_for_2026|bible_2025|workbook_2026_for_2027|workbook_2025_for_2026|boundary_index,LOCKED_2026_UNTIL_NEXT_YEAR_DATA_ADDED
