boundary_id,boundary_name
940,"Parker Mtn, Plains"
941,"East Canyon, East"
942,Southern Region (fall turkey)
943,Southern Region (fall turkey)
944,Southern Region (fall turkey)
945,Southern Region (fall turkey)
946,Southeastern Region (fall turkey)
947,Oquirrh
948,House/Tintic
949,West Cache Extended Archery Area (Elk)
950,Mt Dutton North
951,"Paunsaugunt, East Creek"
952,"Manti, Ferron Lower Escarpment"
953,"Wasatch Mtns, Red Creek West"
954,"Wasatch Mtns, Wildcat/Timber Canyon"
9218,Uintah Basin Extended Archery Area
9999,Cedar Springs
10002,"West Desert, Keg Mtn"
32767,Youth Multiseason Elk
