row_number,hunt_code,hunt_name,species,sex_type,weapon,database_boundary_id_before,boundary_index_boundary_id,boundary_index_source_file,boundary_index_geojson_path,action
31,EL3079,Book Cliffs Little Creek Roadless,Elk,Bull,Muzzleloader,12,12,elk_hunt_table_official.json,processed_data/boundaries/EL3079.geojson,ok_existing_match
32,EL3167,Book Cliffs Little Creek Roadless,Elk,Bull,Any Legal Weapon,12,12,elk_hunt_table_official.json,processed_data/boundaries/EL3167.geojson,ok_existing_match
33,DB1018,"Book Cliffs, South",Deer,Buck,Any Legal Weapon,15,15,hunt_boundaries.geojson,processed_data/boundaries/DB1018.geojson,ok_existing_match
34,PB5002,"Book Cliffs, South",Pronghorn,Buck,Archery,15,15,pronghorn_hunt_table_official.json,processed_data/boundaries/PB5002.geojson,ok_existing_match
35,PB5027,"Book Cliffs, South",Pronghorn,Buck,Any Legal Weapon,15,15,pronghorn_hunt_table_official.json,processed_data/boundaries/PB5027.geojson,ok_existing_match
36,RS1001,"Book Cliffs, South",Rocky Mountain Bighorn Sheep,Ram,Any Legal Weapon,15,15,bighorn_sheep_hunt_table_official.json,processed_data/boundaries/RS1001.geojson,ok_existing_match
37,RS6701,"Book Cliffs, South",Rocky Mountain Bighorn Sheep,Ram,Any Legal Weapon,15,15,bighorn_sheep_hunt_table_official.json,processed_data/boundaries/RS6701.geojson,ok_existing_match
38,EA1266,"Box Elder, Hansel Mtn",Elk,Antlerless,Any Legal Weapon,18,18,elk_antlerless_hunt_table_official.json,processed_data/boundaries/EA1266.geojson,ok_existing_match
39,EA2026,"Box Elder, Hansel Mtn",Elk,Antlerless,Any Legal Weapon,18,18,elk_antlerless_hunt_table_official.json,processed_data/boundaries/EA2026.geojson,ok_existing_match
40,RE1000,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,Ewe,Any Legal Weapon,20,20,bighorn_sheep_hunt_table_official.json,processed_data/boundaries/RE1000.geojson,ok_existing_match
41,RS1003,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,Ram,Any Legal Weapon,20,20,bighorn_sheep_hunt_table_official.json,processed_data/boundaries/RS1003.geojson,ok_existing_match
42,RS6703,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,Ram,Any Legal Weapon,20,20,bighorn_sheep_hunt_table_official.json,processed_data/boundaries/RS6703.geojson,ok_existing_match
43,RS6704,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,Ram,Any Legal Weapon,20,20,bighorn_sheep_hunt_table_official.json,processed_data/boundaries/RS6704.geojson,ok_existing_match
44,RS6722,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,Ram,Archery,20,20,bighorn_sheep_hunt_table_official.json,processed_data/boundaries/RS6722.geojson,ok_existing_match
45,DA1031,"Oquirrh-Stansbury, Settlement Cyn",Deer,Antlerless,Archery,21,21,bighorn_sheep_hunt_table_official.json,processed_data/boundaries/DA1031.geojson,ok_existing_match
46,DA1033,"San Juan, Monticello",Deer,Antlerless,Archery,23,23,bighorn_sheep_hunt_table_official.json,processed_data/boundaries/DA1033.geojson,ok_existing_match
47,DA1042,"San Juan, Monticello",Deer,Antlerless,Archery,23,23,bighorn_sheep_hunt_table_official.json,processed_data/boundaries/DA1042.geojson,ok_existing_match
48,PB5003,"Box Elder, Promontory",Pronghorn,Buck,Archery,24,24,pronghorn_hunt_table_official.json,processed_data/boundaries/PB5003.geojson,ok_existing_match
49,PB5028,"Box Elder, Promontory",Pronghorn,Buck,Any Legal Weapon,24,24,pronghorn_hunt_table_official.json,processed_data/boundaries/PB5028.geojson,ok_existing_match
50,PD1012,"Box Elder, Promontory",Pronghorn,Doe,Any Legal Weapon,24,24,pronghorn_hunt_table_official.json,processed_data/boundaries/PD1012.geojson,ok_existing_match
51,PB5004,"Box Elder, Puddle Valley",Pronghorn,Buck,Archery,25,25,pronghorn_hunt_table_official.json,processed_data/boundaries/PB5004.geojson,ok_existing_match
52,PB5029,"Box Elder, Puddle Valley",Pronghorn,Buck,Any Legal Weapon,25,25,pronghorn_hunt_table_official.json,processed_data/boundaries/PB5029.geojson,ok_existing_match
53,PB5005,"Box Elder, Snowville",Pronghorn,Buck,Archery,27,27,pronghorn_hunt_table_official.json,processed_data/boundaries/PB5005.geojson,ok_existing_match
54,PB5030,"Box Elder, Snowville",Pronghorn,Buck,Any Legal Weapon,27,27,pronghorn_hunt_table_official.json,processed_data/boundaries/PB5030.geojson,ok_existing_match
55,PB5080,"Box Elder, Snowville",Pronghorn,Buck,Muzzleloader,27,27,pronghorn_hunt_table_official.json,processed_data/boundaries/PB5080.geojson,ok_existing_match
56,PD1000,"Box Elder, Snowville",Pronghorn,Doe,Any Legal Weapon,27,27,pronghorn_hunt_table_official.json,processed_data/boundaries/PD1000.geojson,ok_existing_match
57,DA1001,"Box Elder, West Bear River",Deer,Antlerless,"Archery, Muzzleloader, Shotgun",28,28,bighorn_sheep_hunt_table_official.json,processed_data/boundaries/DA1001.geojson,ok_existing_match
58,DA1002,"Box Elder, West Bear River",Deer,Antlerless,"Archery, Muzzleloader, Shotgun",28,28,bighorn_sheep_hunt_table_official.json,processed_data/boundaries/DA1002.geojson,ok_existing_match
59,DB1078,Cache,Deer,Buck,Muzzleloader,29,29,hunt_boundaries.geojson,processed_data/boundaries/DB1078.geojson,ok_existing_match
60,DB1502,Cache,Deer,Buck,Archery,29,29,hunt_boundaries.geojson,processed_data/boundaries/DB1502.geojson,ok_existing_match
61,DB1627,Cache,Deer,Buck,Restricted Rifle,29,29,hunt_boundaries.geojson,processed_data/boundaries/DB1627.geojson,ok_existing_match
62,DB1628,Cache,Deer,Buck,Restricted Muzzleloader,29,29,hunt_boundaries.geojson,processed_data/boundaries/DB1628.geojson,ok_existing_match
63,DB1771,Cache,Deer,Buck,Dedicated Hunter,29,29,hunt_boundaries.geojson,processed_data/boundaries/DB1771.geojson,ok_existing_match
64,EA1267,Cache,Elk,Antlerless,Any Legal Weapon,29,29,elk_antlerless_hunt_table_official.json,processed_data/boundaries/EA1267.geojson,ok_existing_match
65,EA2027,Cache,Elk,Antlerless,Any Legal Weapon,29,29,elk_antlerless_hunt_table_official.json,processed_data/boundaries/EA2027.geojson,ok_existing_match
66,LO1502,Cache,Deer,Buck,Archery,29,29,hunt_boundaries.geojson,processed_data/boundaries/LO1502.geojson,ok_existing_match
67,LO1627,Cache,Deer,Buck,Restricted Rifle,29,29,hunt_boundaries.geojson,processed_data/boundaries/LO1627.geojson,ok_existing_match
68,LO1628,Cache,Deer,Buck,Restricted Muzzleloader,29,29,hunt_boundaries.geojson,processed_data/boundaries/LO1628.geojson,ok_existing_match
69,MB6000,Cache,Moose,Bull,Any Legal Weapon,29,29,moose_hunt_table_official.json,processed_data/boundaries/MB6000.geojson,ok_existing_match
70,DB1026,"Cache, Crawford Mtn",Deer,Buck,Muzzleloader,32,32,hunt_boundaries.geojson,processed_data/boundaries/DB1026.geojson,ok_existing_match
71,EB3003,"Cache, Meadowville",Elk,Bull,Archery,33,33,elk_hunt_table_official.json,processed_data/boundaries/EB3003.geojson,ok_existing_match
72,EB3032,"Cache, Meadowville",Elk,Bull,Early Any Legal Weapon,33,33,elk_hunt_table_official.json,processed_data/boundaries/EB3032.geojson,ok_existing_match
73,EB3033,"Cache, Meadowville",Elk,Bull,Late Any Legal Weapon,33,33,elk_hunt_table_official.json,processed_data/boundaries/EB3033.geojson,ok_existing_match
74,EB3081,"Cache, Meadowville",Elk,Bull,Muzzleloader,33,33,elk_hunt_table_official.json,processed_data/boundaries/EB3081.geojson,ok_existing_match
75,EB3105,"Cache, Meadowville",Elk,Bull,Multiseason,33,33,elk_hunt_table_official.json,processed_data/boundaries/EB3105.geojson,ok_existing_match
76,EB3168,"Cache, Meadowville",Elk,Bull,Late Archery,33,33,elk_hunt_table_official.json,processed_data/boundaries/EB3168.geojson,ok_existing_match
77,EB3169,"Cache, Meadowville",Elk,Bull,Mid Any Legal Weapon,33,33,elk_hunt_table_official.json,processed_data/boundaries/EB3169.geojson,ok_existing_match
78,EL3003,Cache Meadowville,Elk,Bull,Archery,33,33,elk_hunt_table_official.json,processed_data/boundaries/EL3003.geojson,ok_existing_match
79,EL3032,Cache Meadowville,Elk,Bull,Any Legal Weapon,33,33,elk_hunt_table_official.json,processed_data/boundaries/EL3032.geojson,ok_existing_match
80,EL3033,Cache Meadowville,Elk,Bull,Any Legal Weapon,33,33,elk_hunt_table_official.json,processed_data/boundaries/EL3033.geojson,ok_existing_match
81,EL3081,Cache Meadowville,Elk,Bull,Muzzleloader,33,33,elk_hunt_table_official.json,processed_data/boundaries/EL3081.geojson,ok_existing_match
82,EL3168,Cache Meadowville,Elk,Bull,Archery,33,33,elk_hunt_table_official.json,processed_data/boundaries/EL3168.geojson,ok_existing_match
83,EL3169,Cache Meadowville,Elk,Bull,Any Legal Weapon,33,33,elk_hunt_table_official.json,processed_data/boundaries/EL3169.geojson,ok_existing_match
84,EB3132,"Cache, North",Elk,Bull,September Archery,36,36,elk_hunt_table_official.json,processed_data/boundaries/EB3132.geojson,ok_existing_match
85,EB3139,"Cache, North",Elk,Bull,HAMSS,36,36,elk_hunt_table_official.json,processed_data/boundaries/EB3139.geojson,ok_existing_match
86,EL3132,Cache North,Elk,Bull,Archery,36,36,elk_hunt_table_official.json,processed_data/boundaries/EL3132.geojson,ok_existing_match
87,EL3139,Cache North,Elk,Bull,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",36,36,elk_hunt_table_official.json,processed_data/boundaries/EL3139.geojson,ok_existing_match
88,EA1010,"Cache, Rich",Elk,Antlerless,Any Legal Weapon,38,38,elk_antlerless_hunt_table_official.json,processed_data/boundaries/EA1010.geojson,ok_existing_match
89,EA1193,"Cache, Rich",Elk,Antlerless,Any Legal Weapon,38,38,elk_antlerless_hunt_table_official.json,processed_data/boundaries/EA1193.geojson,ok_existing_match
90,PB5073,"Cache, Rich",Pronghorn,Buck,Any Legal Weapon,38,38,pronghorn_hunt_table_official.json,processed_data/boundaries/PB5073.geojson,ok_existing_match
91,PB5074,"Cache, Rich",Pronghorn,Buck,Archery,38,38,pronghorn_hunt_table_official.json,processed_data/boundaries/PB5074.geojson,ok_existing_match
92,PB5075,"Cache, Rich",Pronghorn,Buck,Muzzleloader,38,38,pronghorn_hunt_table_official.json,processed_data/boundaries/PB5075.geojson,ok_existing_match
93,EA1011,"Cache, Richards Hollow",Elk,Antlerless,Any Legal Weapon,39,39,elk_antlerless_hunt_table_official.json,processed_data/boundaries/EA1011.geojson,ok_existing_match
94,EA1012,"Cache, Richmond Hyde Park",Elk,Antlerless,Any Legal Weapon,40,40,elk_antlerless_hunt_table_official.json,processed_data/boundaries/EA1012.geojson,ok_existing_match
95,EA1206,"Cache, Richmond Hyde Park",Elk,Antlerless,Any Legal Weapon,40,40,elk_antlerless_hunt_table_official.json,processed_data/boundaries/EA1206.geojson,ok_existing_match
96,EB3005,"Cache, South",Elk,Bull,Archery,41,41,elk_hunt_table_official.json,processed_data/boundaries/EB3005.geojson,ok_existing_match
97,EB3036,"Cache, South",Elk,Bull,Early Any Legal Weapon,41,41,elk_hunt_table_official.json,processed_data/boundaries/EB3036.geojson,ok_existing_match
98,EB3037,"Cache, South",Elk,Bull,Late Any Legal Weapon,41,41,elk_hunt_table_official.json,processed_data/boundaries/EB3037.geojson,ok_existing_match
99,EB3083,"Cache, South",Elk,Bull,Muzzleloader,41,41,elk_hunt_table_official.json,processed_data/boundaries/EB3083.geojson,ok_existing_match
100,EB3107,"Cache, South",Elk,Bull,Multiseason,41,41,elk_hunt_table_official.json,processed_data/boundaries/EB3107.geojson,ok_existing_match
101,EB3170,"Cache, South",Elk,Bull,Late Archery,41,41,elk_hunt_table_official.json,processed_data/boundaries/EB3170.geojson,ok_existing_match
102,EB3171,"Cache, South",Elk,Bull,Mid Any Legal Weapon,41,41,elk_hunt_table_official.json,processed_data/boundaries/EB3171.geojson,ok_existing_match
103,EL3005,Cache South,Elk,Bull,Archery,41,41,elk_hunt_table_official.json,processed_data/boundaries/EL3005.geojson,ok_existing_match
104,EL3036,Cache South,Elk,Bull,Any Legal Weapon,41,41,elk_hunt_table_official.json,processed_data/boundaries/EL3036.geojson,ok_existing_match
105,EL3037,Cache South,Elk,Bull,Any Legal Weapon,41,41,elk_hunt_table_official.json,processed_data/boundaries/EL3037.geojson,ok_existing_match
106,EL3083,Cache South,Elk,Bull,Muzzleloader,41,41,elk_hunt_table_official.json,processed_data/boundaries/EL3083.geojson,ok_existing_match
107,EL3170,Cache South,Elk,Bull,Archery,41,41,elk_hunt_table_official.json,processed_data/boundaries/EL3170.geojson,ok_existing_match
108,EL3171,Cache South,Elk,Bull,Any Legal Weapon,41,41,elk_hunt_table_official.json,processed_data/boundaries/EL3171.geojson,ok_existing_match
109,EA1013,"Manti, Central",Elk,Antlerless,Any Legal Weapon,43,43,elk_antlerless_hunt_table_official.json,processed_data/boundaries/EA1013.geojson,ok_existing_match
110,EA1015,"Manti, Ferron Canyon",Elk,Antlerless,Any Legal Weapon,45,45,elk_antlerless_hunt_table_official.json,processed_data/boundaries/EA1015.geojson,ok_existing_match
111,EA1017,"Manti, Gordon Creek-Price Canyon",Elk,Antlerless,Any Legal Weapon,47,47,elk_antlerless_hunt_table_official.json,processed_data/boundaries/EA1017.geojson,ok_existing_match
112,EA1018,"Manti, Horn Mtn",Elk,Antlerless,Any Legal Weapon,49,49,elk_antlerless_hunt_table_official.json,processed_data/boundaries/EA1018.geojson,ok_existing_match
113,EA2011,Manti,Elk,Antlerless,Any Legal Weapon,51,51,elk_antlerless_hunt_table_official.json,processed_data/boundaries/EA2011.geojson,ok_existing_match
114,EB3006,Manti,Elk,Bull,Archery,51,51,elk_hunt_table_official.json,processed_data/boundaries/EB3006.geojson,ok_existing_match
115,EB3038,Manti,Elk,Bull,Early Any Legal Weapon,51,51,elk_hunt_table_official.json,processed_data/boundaries/EB3038.geojson,ok_existing_match
116,EB3039,Manti,Elk,Bull,Late Any Legal Weapon,51,51,elk_hunt_table_official.json,processed_data/boundaries/EB3039.geojson,ok_existing_match
117,EB3084,Manti,Elk,Bull,Muzzleloader,51,51,elk_hunt_table_official.json,processed_data/boundaries/EB3084.geojson,ok_existing_match
118,EB3108,Manti,Elk,Bull,Multiseason,51,51,elk_hunt_table_official.json,processed_data/boundaries/EB3108.geojson,ok_existing_match
119,EB3126,Manti,Elk,Bull,Mid Any Legal Weapon,51,51,elk_hunt_table_official.json,processed_data/boundaries/EB3126.geojson,ok_existing_match
120,EB3172,Manti,Elk,Bull,Late Archery,51,51,elk_hunt_table_official.json,processed_data/boundaries/EB3172.geojson,ok_existing_match
121,EL3006,Manti,Elk,Bull,Archery,51,51,elk_hunt_table_official.json,processed_data/boundaries/EL3006.geojson,ok_existing_match
122,EL3038,Manti,Elk,Bull,Any Legal Weapon,51,51,elk_hunt_table_official.json,processed_data/boundaries/EL3038.geojson,ok_existing_match
123,EL3039,Manti,Elk,Bull,Any Legal Weapon,51,51,elk_hunt_table_official.json,processed_data/boundaries/EL3039.geojson,ok_existing_match
124,EL3084,Manti,Elk,Bull,Muzzleloader,51,51,elk_hunt_table_official.json,processed_data/boundaries/EL3084.geojson,ok_existing_match
125,EL3126,Manti,Elk,Bull,Any Legal Weapon,51,51,elk_hunt_table_official.json,processed_data/boundaries/EL3126.geojson,ok_existing_match
126,EL3172,Manti,Elk,Bull,Archery,51,51,elk_hunt_table_official.json,processed_data/boundaries/EL3172.geojson,ok_existing_match
127,BR7003,Manti North,Black Bear,Either Sex,Any Legal Weapon,52,52,black_bear_hunt_table_official.json,processed_data/boundaries/BR7003.geojson,ok_existing_match
128,BR7104,Manti North,Black Bear,Either Sex,Any Legal Weapon,52,52,black_bear_hunt_table_official.json,processed_data/boundaries/BR7104.geojson,ok_existing_match
129,BR7203,Manti North,Black Bear,Either Sex,Any Legal Weapon,52,52,black_bear_hunt_table_official.json,processed_data/boundaries/BR7203.geojson,ok_existing_match
130,BR7303,Manti North,Black Bear,Either Sex,Multiseason,52,52,black_bear_hunt_table_official.json,processed_data/boundaries/BR7303.geojson,ok_existing_match
131,EA1020,"Manti, Mohrland-Stump Flat",Elk,Antlerless,Any Legal Weapon,55,55,elk_antlerless_hunt_table_official.json,processed_data/boundaries/EA1020.geojson,ok_existing_match
132,EA1022,"Manti, North",Elk,Antlerless,Any Legal Weapon,58,58,elk_antlerless_hunt_table_official.json,processed_data/boundaries/EA1022.geojson,ok_existing_match
133,DB1100,Chalk Creek,Deer,Buck,Muzzleloader,69,69,hunt_boundaries.geojson,processed_data/boundaries/DB1100.geojson,ok_existing_match
134,DB1599,Chalk Creek,Deer,Buck,Any Legal Weapon (Late),69,69,hunt_boundaries.geojson,processed_data/boundaries/DB1599.geojson,ok_existing_match
135,DB1600,Chalk Creek,Deer,Buck,Archery,69,69,hunt_boundaries.geojson,processed_data/boundaries/DB1600.geojson,ok_existing_match
136,DB1601,Chalk Creek,Deer,Buck,Any Legal Weapon (Early),69,69,hunt_boundaries.geojson,processed_data/boundaries/DB1601.geojson,ok_existing_match
137,DB1602,Chalk Creek,Deer,Buck,Muzzleloader,69,69,hunt_boundaries.geojson,processed_data/boundaries/DB1602.geojson,ok_existing_match
138,DB1799,Chalk Creek,Deer,Buck,Dedicated Hunter,69,69,hunt_boundaries.geojson,processed_data/boundaries/DB1799.geojson,ok_existing_match
139,EA1026,Chalk Creek,Elk,Antlerless,Any Legal Weapon,69,69,elk_antlerless_hunt_table_official.json,processed_data/boundaries/EA1026.geojson,ok_existing_match
140,EA2004,Chalk Creek,Elk,Antlerless,Any Legal Weapon,69,69,elk_antlerless_hunt_table_official.json,processed_data/boundaries/EA2004.geojson,ok_existing_match
141,LO1599,Chalk Creek,Deer,Buck,Any Legal Weapon (Late),69,69,hunt_boundaries.geojson,processed_data/boundaries/LO1599.geojson,ok_existing_match
142,LO1600,Chalk Creek,Deer,Buck,Archery,69,69,hunt_boundaries.geojson,processed_data/boundaries/LO1600.geojson,ok_existing_match
143,LO1601,Chalk Creek,Deer,Buck,Any Legal Weapon (Early),69,69,hunt_boundaries.geojson,processed_data/boundaries/LO1601.geojson,ok_existing_match
144,LO1602,Chalk Creek,Deer,Buck,Muzzleloader,69,69,hunt_boundaries.geojson,processed_data/boundaries/LO1602.geojson,ok_existing_match
145,MB6001,Chalk Creek,Moose,Bull,Any Legal Weapon,69,69,moose_hunt_table_official.json,processed_data/boundaries/MB6001.geojson,ok_existing_match
146,RS6721,"Oquirrh-Stansbury, West",Rocky Mountain Bighorn Sheep,Ram,Any Legal Weapon,75,75,bighorn_sheep_hunt_table_official.json,processed_data/boundaries/RS6721.geojson,ok_existing_match
147,DA1027,"East Canyon, Davis-North Salt Lake",Deer,Antlerless,Any Legal Weapon,77,77,bighorn_sheep_hunt_table_official.json,processed_data/boundaries/DA1027.geojson,ok_existing_match
148,MB6003,"East Canyon, Morgan-Summit",Moose,Bull,Any Legal Weapon,79,79,moose_hunt_table_official.json,processed_data/boundaries/MB6003.geojson,ok_existing_match
149,LP5033,"Fillmore, Oak Creek South - Private Land Only",Pronghorn,Buck,Any Legal Weapon,81,81,pronghorn_hunt_table_official.json,processed_data/boundaries/LP5033.geojson,ok_existing_match
150,PB5008,"Fillmore, Oak Creek South",Pronghorn,Buck,Archery,81,81,pronghorn_hunt_table_official.json,processed_data/boundaries/PB5008.geojson,ok_existing_match
151,PB5033,"Fillmore, Oak Creek South",Pronghorn,Buck,Any Legal Weapon,81,81,pronghorn_hunt_table_official.json,processed_data/boundaries/PB5033.geojson,ok_existing_match
152,PB5065,"Fillmore, Oak Creek South",Pronghorn,Buck,Muzzleloader,81,81,pronghorn_hunt_table_official.json,processed_data/boundaries/PB5065.geojson,ok_existing_match
153,PD1034,"Fillmore, Oak Creek South",Pronghorn,Doe,Any Legal Weapon,81,81,pronghorn_hunt_table_official.json,processed_data/boundaries/PD1034.geojson,ok_existing_match
154,PD1035,"Fillmore, Oak Creek South",Pronghorn,Doe,Any Legal Weapon,81,81,pronghorn_hunt_table_official.json,processed_data/boundaries/PD1035.geojson,ok_existing_match
155,DB1012,"Fillmore, Oak Creek LE",Deer,Buck,Archery,85,85,hunt_boundaries.geojson,processed_data/boundaries/DB1012.geojson,ok_existing_match
156,DB1019,"Fillmore, Oak Creek LE",Deer,Buck,Any Legal Weapon,85,85,hunt_boundaries.geojson,processed_data/boundaries/DB1019.geojson,ok_existing_match
157,DB1029,"Fillmore, Oak Creek LE",Deer,Buck,Muzzleloader,85,85,hunt_boundaries.geojson,processed_data/boundaries/DB1029.geojson,ok_existing_match
158,DB1045,"Fillmore, Oak Creek LE",Deer,Buck,Multiseason,85,85,hunt_boundaries.geojson,processed_data/boundaries/DB1045.geojson,ok_existing_match
159,EA1209,"Fillmore, Oak Creek LE",Elk,Antlerless,Any Legal Weapon,85,85,elk_antlerless_hunt_table_official.json,processed_data/boundaries/EA1209.geojson,ok_existing_match
160,LD1019,"Fillmore, Oak Creek LE - Private Land Only",Deer,Buck,Any Legal Weapon,85,85,hunt_boundaries.geojson,processed_data/boundaries/LD1019.geojson,ok_existing_match
161,EA2036,"Oquirrh-Stansbury, East",Elk,Antlerless,Any Legal Weapon,86,86,elk_antlerless_hunt_table_official.json,processed_data/boundaries/EA2036.geojson,ok_existing_match
162,BR7007,Fillmore Pahvant,Black Bear,Either Sex,Any Legal Weapon,88,88,black_bear_hunt_table_official.json,processed_data/boundaries/BR7007.geojson,ok_existing_match
163,BR7124,Fillmore Pahvant,Black Bear,Either Sex,Any Legal Weapon,88,88,black_bear_hunt_table_official.json,processed_data/boundaries/BR7124.geojson,ok_existing_match
164,BR7207,Fillmore Pahvant,Black Bear,Either Sex,Any Legal Weapon,88,88,black_bear_hunt_table_official.json,processed_data/boundaries/BR7207.geojson,ok_existing_match
165,EA1030,"Fillmore, Pahvant",Elk,Antlerless,Any Legal Weapon,88,88,elk_antlerless_hunt_table_official.json,processed_data/boundaries/EA1030.geojson,ok_existing_match
166,EA1031,"Fillmore, Pahvant",Elk,Antlerless,Any Legal Weapon,88,88,elk_antlerless_hunt_table_official.json,processed_data/boundaries/EA1031.geojson,ok_existing_match
167,EA2039,"Fillmore, Pahvant",Elk,Antlerless,Any Legal Weapon,88,88,elk_antlerless_hunt_table_official.json,processed_data/boundaries/EA2039.geojson,ok_existing_match
168,EB3008,"Fillmore, Pahvant",Elk,Bull,Archery,88,88,elk_hunt_table_official.json,processed_data/boundaries/EB3008.geojson,ok_existing_match
169,EB3042,"Fillmore, Pahvant",Elk,Bull,Early Any Legal Weapon,88,88,elk_hunt_table_official.json,processed_data/boundaries/EB3042.geojson,ok_existing_match
