boundary_id,hunt_units_boundary_name,arcgis_hunt_count,arcgis_hunt_numbers,arcgis_boundary_names,arcgis_seasons,arcgis_boundary_name_match
628,Beaver,13,BR1000|BR1001|BR1007|BR1018|BR7000|BR7100|BR7200|BR7318|CG0999|CG7600|DB0007|DB1059|DB1500,Beaver|Black Bear - Statewide Permit|Black Bear Harvest Objective Units|Black Bear Pursuit - Nonresident|Black Bear Pursuit - Resident|Buck Deer - Statewide Permit|Cougar Pursuit,"Any open season on any open bear unit during the 2026 season. See 2026 Black Bear Guidebook for season dates and take methods.|Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027|Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026|Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026|March 28 - May 25, 2026|May 25 - June 28, 2026|Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026|Visit wildlife.utah.gov/bearharvest for units & closures.
You are required to complete the annual bear orientation course & carry proof while hunting bear.  Visit wildlife.utah.gov/bear for details.",True
632,Thousand Lakes,12,CG0018|CG0019|CG0999|CG1000|CG7620|CG9999|DB0007|DB1036|DB1106|DB1107|DB1108|DB1109,Buck Deer - Statewide Permit|Cougar - Statewide|Cougar - Statewide Permit|Cougar Pursuit|Statewide Conservation|Statewide Spot and Stalk|Thousand Lakes,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027|Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026|Aug 15 2026 - Sept 11 2026|Oct 17 2026 - Oct 25 2026|Sept 23 2026 - Oct 01 2026",True
633,Fishlake,9,CG0014|CG0018|CG0019|CG0999|CG1000|CG7619|CG9999|DB0007|DB1055,Buck Deer - Statewide Permit|Cougar - Statewide|Cougar - Statewide Permit|Cougar Pursuit|Fishlake|Statewide Conservation|Statewide Spot and Stalk,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027|Oct 28 2026 - Nov 05 2026",True
638,"Book Cliffs, Wild Horse Bench",2,BI6502|BI6526,"Book Cliffs, Wild Horse Bench",,True
668,"Fillmore, Oak Creek (cougar)",6,CG0018|CG0019|CG0999|CG1000|CG1005|CG9999,"Cougar - Statewide|Cougar - Statewide Permit|Cougar Pursuit|Fillmore, Oak Creek|Statewide Conservation|Statewide Spot and Stalk",,False
684,La Sal,17,BR1000|BR1007|BR1009|BR1012|BR1017|BR7008|BR7108|BR7208|BR7226|BR7307|CG0018|CG0019|CG0999|CG1000|CG1008|CG9999|DB1064,"Black Bear - Statewide Permit|Black Bear Pursuit - Resident|Cougar - Statewide|Cougar - Statewide Permit|Cougar Pursuit|La Sal|La Sal, La Sal Mtns|Statewide Conservation|Statewide Spot and Stalk","Any open season on any open bear unit during the 2026 season. See 2026 Black Bear Guidebook for season dates and take methods.|July 18 - July 31, 2026|July 5 - 16, 2026|Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Nov 2 - Nov. 8, 2026|March 28 - May 25, 2026|Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026",True
7,Book Cliffs,16,BI6501|BI6508|BI6517|BI6518|BI6520|BI6521|BR1000|BR1007|BR1008|BR1011|BR1015|DB0007|DB1011|DB1025|DB1044|DB1050,Black Bear - Statewide Permit|Black Bear Pursuit - Resident|Book Cliffs|Buck Deer - Statewide Permit,"Any open season on any open bear unit during the 2026 season. See 2026 Black Bear Guidebook for season dates and take methods.|Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027|Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-25, 2026|Aug 15 2026 - Sept 11 2026|July 18 - July 31, 2026|July 5 - 16, 2026|March 28 - May 25, 2026|Sept 23 2026 - Oct 01 2026|Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026",True
28,"Box Elder, West Bear River",3,DA1001|DA1002|DB0008,"Box Elder, West Bear River|Extended Archery Deer","Sept 12-Oct 15, 2026 -OR- Sept 12-Nov 30, 2026 | See guidebook for units & dates",True
32,"Cache, Crawford Mtn",2,DB0007|DB1026,"Buck Deer - Statewide Permit|Cache, Crawford Mtn","Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027|Nov 07 2026 - Nov 22 2026",True
97,Kaiparowits,6,CG0018|CG0019|CG0098|CG0999|CG1007|CG9999,Cougar - Statewide|Cougar Control|Cougar Pursuit|Kaiparowits|Statewide Conservation|Statewide Spot and Stalk,,True
484,Little Red Creek,1,DB1258,Little Red Creek CWMU,Contact Operator for 2026 season dates,False
493,Ingham Peak,1,DB1252,Ingham Peak CWMU,Contact Operator for 2026 season dates,False
498,Bootjack,1,DB1214,Bootjack CWMU,,False
510,Blue Spring Hills,1,DB1211,Blue Spring Hills CWMU,Contact Operator for 2026 season dates,False
521,Two Bear,1,DB1304,Two Bear CWMU,Contact Operator for 2026 season dates,False
523,State Corner,1,DB1296,State Corner CWMU,,False
529,Boobe Hole,1,DB1213,Boobe Hole CWMU,Contact Operator for 2026 season dates,False
530,Grazing Pasture,1,DB1243,Grazing Pasture CWMU,Contact Operator for 2026 season dates,False
534,Oak Ranch,1,DB1271,Oak Ranch CWMU,Contact Operator for 2026 season dates,False
535,Old Woman Plateau,1,DB1272,Old Woman Plateau CWMU,Contact Operator for 2026 season dates,False
536,Round Valley,1,DB1284,Round Valley CWMU,,False
553,Three C,1,DB1301,Three C CWMU,Contact Operator for 2026 season dates,False
560,Causey Spring,1,DB1217,Causey Spring CWMU,Contact Operator for 2026 season dates,False
578,Skull Crack,1,DB1290,Skull Crack CWMU,Contact Operator for 2026 season dates,False
582,Bear Mountain,1,DB1206,Bear Mountain CWMU,Contact Operator for 2026 season dates,False
588,Chrises Creek,1,DB1220,Chrises Creek CWMU,,False
598,Buckhorn Ranch,1,DB1215,Buckhorn Ranch CWMU,Contact Operator for 2026 season dates,False
604,Bluebell,1,DB1212,Bluebell CWMU,Contact Operator for 2026 season dates,False
619,Manti/San Rafael,3,DB1062|DB1079|DB1503,Manti/San Rafael,Aug 15 2026 - Sept 11 2026|Oct 28 2026 - Nov 05 2026,True
641,New Harmony,1,DB1268,New Harmony CWMU,,False
667,"Book Cliffs, Bitter Creek (pronghorn)",5,BI1000|BI6532|BI6534|BI6535|BI6536,"Bison - Statewide Permit|Book Cliffs, Bitter Creek","Aug 1, 2026 - Jan 31, 2027|Aug 15 2026 - Sept 11 2026|Nov 14 2026 - Nov 29 2026|Oct 03 2026 - Oct 15 2026|Sept 12 2026 - Sept 20 2026",False
683,"Box Elder, Pilot Mtn B",5,CG0018|CG0019|CG1000|CG1003|CG9999,"Box Elder, Pilot Mtn|Cougar - Statewide|Cougar - Statewide Permit|Statewide Conservation|Statewide Spot and Stalk",,False
