row_number,hunt_code,hunt_name,species,sex_type,source_file,new_weapon,reason
1651,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1652,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1653,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1654,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1655,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1656,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1657,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1676,EA1255,5s,Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1677,EA1255,5s,Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1678,EA1255,5s,Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1679,EA1255,5s,Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1680,EA1255,5s,Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1681,EA1255,5s,Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1682,EA1255,5s,Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1683,EA1255,5s,Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1684,EA1255,5s,Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1685,EA1255,5s,Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1686,EA1255,5s,Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1687,EA1255,5s,Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1688,EA1255,5s,Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1689,EA1255,5s,Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1690,EA1255,5s,Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1691,EA1255,5s,Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1692,EA1255,5s,Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
1693,EA1255,5s,Elk,Antlerless,2022_PERMITS=2023_MODEL__ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
5195,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__YOUTH ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
5196,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__YOUTH ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
5197,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__YOUTH ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
5198,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__YOUTH ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
5199,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__YOUTH ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
5200,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__YOUTH ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
5201,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__YOUTH ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
5202,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__YOUTH ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
5203,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__YOUTH ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
5204,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__YOUTH ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
5205,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__YOUTH ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
5206,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__YOUTH ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
5207,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__YOUTH ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
5208,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__YOUTH ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
5209,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__YOUTH ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
5210,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__YOUTH ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
5211,EA1253,"Southwest Desert, Desert Experimental Range",Elk,Antlerless,2022_PERMITS=2023_MODEL__YOUTH ANTLERLESS BIG GAME DRAW RESULTS.pdf,Any Legal Weapon,exact hunt_code + hunt_name aligned to same weapon in long/canonical history
