draw_year,model_year,bible_folder_year,document_name,family_group,source_role,source_file,pipeline_file,suffix,size_bytes,sha256,copy_status,is_truth_source,is_derived
2023,2024,2023,YOUTH ANTLERLESS DRAW RESULTS,ANTLERLESS,truth_source_pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2023\.pdf\2023_PERMITS=2024_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,pipeline\RAW\hunt_unit_database\2023\bible_truth\pdf\2023_PERMITS=2024_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,.pdf,689163,adff51c9d620fd88c5bed4a1253293183db9563a2f292c3ec0bc9c0694218670,COPIED,true,false
2023,2024,2023,YOUTH D.H. DEER DRAW RESULTS,YOUTH,truth_source_pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2023\.pdf\2023_PERMITS=2024_MODEL__YOUTH D.H. DEER DRAW RESULTS.pdf,pipeline\RAW\hunt_unit_database\2023\bible_truth\pdf\2023_PERMITS=2024_MODEL__YOUTH D.H. DEER DRAW RESULTS.pdf,.pdf,148486,3375f3a323f061d4c91260df5ad858394bc1c46d31fb789af9f9961aeadd95cc,COPIED,true,false
2023,2024,2023,YOUTH ELK DRAW RESULTS,YOUTH,truth_source_pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2023\.pdf\2023_PERMITS=2024_MODEL__YOUTH ELK DRAW RESULTS.pdf,pipeline\RAW\hunt_unit_database\2023\bible_truth\pdf\2023_PERMITS=2024_MODEL__YOUTH ELK DRAW RESULTS.pdf,.pdf,76712,6766808ae7fe09786635cdeac27cefecda216df0ec3a05cc22609f5d0ec3da5e,COPIED,true,false
2023,2024,2023,YOUTH G.S. DEER DRAW RESULTS,YOUTH,truth_source_pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2023\.pdf\2023_PERMITS=2024_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,pipeline\RAW\hunt_unit_database\2023\bible_truth\pdf\2023_PERMITS=2024_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,.pdf,439421,5ad3362cc56651f423c09bb0454492a5a4c08ddd28aaa012ee2791451bd489f1,COPIED,true,false
2023,2024,2023,YOUTH TURKEY DRAW RESULTS,YOUTH,truth_source_pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2023\.pdf\2023_PERMITS=2024_MODEL__YOUTH TURKEY DRAW RESULTS.pdf,pipeline\RAW\hunt_unit_database\2023\bible_truth\pdf\2023_PERMITS=2024_MODEL__YOUTH TURKEY DRAW RESULTS.pdf,.pdf,126549,9dad81e22386d3692e9fe8ab856a4994137641ba4c13ba6fc725708259092dbd,COPIED,true,false
2023,2024,2023,2023_sportsman_hunt_codes_clean,SPORTSMAN,structured_extract_csv,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2023\2023_sportsman_hunt_codes_clean.csv,pipeline\RAW\hunt_unit_database\2023\bible_truth\csv\2023_sportsman_hunt_codes_clean.csv,.csv,1127,03dd61bb4ac45a209cbab4059d84fa2cd3a6c117edc1fb1942e1df4162409dfe,COPIED,false,true
2023,2024,2023,2023_sportsman_hunt_codes_clean_notes,SPORTSMAN,source_control_metadata,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2023\2023_sportsman_hunt_codes_clean_notes.md,pipeline\RAW\hunt_unit_database\2023\bible_truth\md\2023_sportsman_hunt_codes_clean_notes.md,.md,517,eec41619bbf7ad4e7167b0c654d774e532b0ca974448583401045a4e2b834430,COPIED,false,true
2024,2025,2024,ANTLERLESS DRAW RESULTS,ANTLERLESS,truth_source_pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2024\.pdf\2024_PERMITS=2025_MODEL__ANTLERLESS DRAW RESULTS.pdf,pipeline\RAW\hunt_unit_database\2024\bible_truth\pdf\2024_PERMITS=2025_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,732713,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,COPIED,true,false
2024,2025,2024,BEAR DRAW RESULTS,BEAR,truth_source_pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2024\.pdf\2024_PERMITS=2025_MODEL__BEAR DRAW RESULTS.pdf,pipeline\RAW\hunt_unit_database\2024\bible_truth\pdf\2024_PERMITS=2025_MODEL__BEAR DRAW RESULTS.pdf,.pdf,428653,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,COPIED,true,false
2024,2025,2024,D.H. DEER DRAW RESULTS,DEDICATED_HUNTER,truth_source_pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2024\.pdf\2024_PERMITS=2025_MODEL__D.H. DEER DRAW RESULTS.pdf,pipeline\RAW\hunt_unit_database\2024\bible_truth\pdf\2024_PERMITS=2025_MODEL__D.H. DEER DRAW RESULTS.pdf,.pdf,201098,13aa1539a3d350bbaeb3012275dde5767bed69d5c4ad4e94e8cef57e021a2c7d,COPIED,true,false
