row_number,hunt_code,record_kind,year_before,year_after,actual_draw_year_before,actual_draw_year_after,source_report_family_before,source_report_family_after,reported_draw_year_before,reported_draw_year_after,model_target_year_before,model_target_year_after,numeric_fields_changed
72,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
73,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
74,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
75,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
76,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
77,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
78,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
79,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
80,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
81,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
82,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
83,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
84,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
85,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
86,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
87,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
88,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
89,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
90,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
91,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
92,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
93,BR1009,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
94,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
95,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
96,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
97,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
98,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
99,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
100,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
101,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
102,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
103,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
104,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
105,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
106,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
107,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
108,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
109,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
110,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
111,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
112,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
113,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
114,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
115,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
116,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
117,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
118,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
119,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
120,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
121,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
122,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
123,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
124,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
125,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
126,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
127,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
128,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
129,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
130,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
131,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
132,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
133,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
134,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
135,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
136,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
137,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
138,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
139,BR1010,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
140,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
141,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
142,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
143,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
144,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
145,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
146,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
147,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
148,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
149,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
150,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
151,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
152,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
153,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
154,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
155,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
156,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
157,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
158,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
159,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
160,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
161,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
162,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
163,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
164,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
165,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
166,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
167,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
168,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
169,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
170,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
171,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
172,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
173,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
174,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
175,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
176,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
177,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
178,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
179,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
180,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
181,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
182,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
183,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
184,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
185,BR1011,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
186,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
187,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
188,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
189,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
190,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
191,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
192,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
193,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
194,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
195,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
196,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
197,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
198,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
199,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
200,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
201,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
202,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
203,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
204,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
205,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
206,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
207,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
208,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
209,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
210,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
211,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
212,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
213,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
214,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
215,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
216,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
217,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
218,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
219,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
220,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
221,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
222,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
223,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
224,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
225,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
226,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
227,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
228,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
229,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
230,BR1012,POINT_ROW,2025,2025,,2025,,BEAR_RESTRICTED_PURSUIT,2025,2025,2026,2026,false
