report_year,draw_year,model_year,source_file,source_extension,source_location,source_label,source_family,hunt_code_raw,comparison_hunt_code,prefix,species_from_prefix,hunt_title_or_row_text,unit_or_area_inferred,weapon_or_last_segment_inferred,sex_type,hunt_type,weapon,resident_permits_drawn,nonresident_permits_drawn,total_permits_drawn,permit_parse_status,hunt_code_review_status,candidate_normalized_hunt_code,source_priority
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_29,ANTLERLESS DRAW RESULTS,ANTLERLESS,DA1046,DA1046,DA,Antlerless Deer,"Hunt: DA1046 Antlerless Deer - Nine Mile, Price River Valley - Archery, Mzldr, Shotgn Only","Nine Mile, Price River Valley","Archery, Mzldr, Shotgn Only",Antlerless,Antlerless,"Archery, Mzldr, Shotgn Only",20,0,20,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_32,ANTLERLESS DRAW RESULTS,ANTLERLESS,EA1004,EA1004,EA,Antlerless Elk,"Hunt: EA1004 Antlerless Elk - Book Cliffs, Little Creek Roadless - Any Legal Weapon","Book Cliffs, Little Creek Roadless",Any Legal Weapon,Antlerless,Antlerless,Any Legal Weapon,22,3,25,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_33,ANTLERLESS DRAW RESULTS,ANTLERLESS,EA1007,EA1007,EA,Antlerless Elk,"Hunt: EA1007 Antlerless Elk - Box Elder, Grouse Creek - Any Legal Weapon","Box Elder, Grouse Creek",Any Legal Weapon,Antlerless,Antlerless,Any Legal Weapon,4,1,5,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_34,ANTLERLESS DRAW RESULTS,ANTLERLESS,EA1008,EA1008,EA,Antlerless Elk,"Hunt: EA1008 Antlerless Elk - Box Elder, Grouse Creek - Any Legal Weapon","Box Elder, Grouse Creek",Any Legal Weapon,Antlerless,Antlerless,Any Legal Weapon,4,1,5,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_35,ANTLERLESS DRAW RESULTS,ANTLERLESS,EA1009,EA1009,EA,Antlerless Elk,"Hunt: EA1009 Antlerless Elk - Cache, East - Any Legal Weapon","Cache, East",Any Legal Weapon,Antlerless,Antlerless,Any Legal Weapon,349,40,389,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_36,ANTLERLESS DRAW RESULTS,ANTLERLESS,EA1010,EA1010,EA,Antlerless Elk,"Hunt: EA1010 Antlerless Elk - Cache, Rich - Any Legal Weapon","Cache, Rich",Any Legal Weapon,Antlerless,Antlerless,Any Legal Weapon,51,4,55,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_37,ANTLERLESS DRAW RESULTS,ANTLERLESS,EA1011,EA1011,EA,Antlerless Elk,"Hunt: EA1011 Antlerless Elk - Cache, Richards Hollow - Any Legal Weapon","Cache, Richards Hollow",Any Legal Weapon,Antlerless,Antlerless,Any Legal Weapon,32,4,36,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_38,ANTLERLESS DRAW RESULTS,ANTLERLESS,EA1012,EA1012,EA,Antlerless Elk,"Hunt: EA1012 Antlerless Elk - Cache, Richmond Hyde Park - Any Legal Weapon","Cache, Richmond Hyde Park",Any Legal Weapon,Antlerless,Antlerless,Any Legal Weapon,11,1,12,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_39,ANTLERLESS DRAW RESULTS,ANTLERLESS,EA1013,EA1013,EA,Antlerless Elk,"Hunt: EA1013 Antlerless Elk - Central Mtns, Central Manti - Any Legal Weapon","Central Mtns, Central Manti",Any Legal Weapon,Antlerless,Antlerless,Any Legal Weapon,8,1,9,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_40,ANTLERLESS DRAW RESULTS,ANTLERLESS,EA1015,EA1015,EA,Antlerless Elk,"Hunt: EA1015 Antlerless Elk - Central Mtns, Ferron Canyon - Any Legal Weapon","Central Mtns, Ferron Canyon",Any Legal Weapon,Antlerless,Antlerless,Any Legal Weapon,8,1,9,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_41,ANTLERLESS DRAW RESULTS,ANTLERLESS,EA1017,EA1017,EA,Antlerless Elk,"Hunt: EA1017 Antlerless Elk - Central Mtns, Gordon Creek-price Canyon - Any Legal Weapon","Central Mtns, Gordon Creek-price Canyon",Any Legal Weapon,Antlerless,Antlerless,Any Legal Weapon,8,1,9,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_42,ANTLERLESS DRAW RESULTS,ANTLERLESS,EA1018,EA1018,EA,Antlerless Elk,"Hunt: EA1018 Antlerless Elk - Central Mtns, Horn Mtn - Any Legal Weapon","Central Mtns, Horn Mtn",Any Legal Weapon,Antlerless,Antlerless,Any Legal Weapon,4,1,5,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_43,ANTLERLESS DRAW RESULTS,ANTLERLESS,EA1020,EA1020,EA,Antlerless Elk,"Hunt: EA1020 Antlerless Elk - Central Mtns, Mohrland-stump Flat - Any Legal Weapon","Central Mtns, Mohrland-stump Flat",Any Legal Weapon,Antlerless,Antlerless,Any Legal Weapon,8,1,9,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_44,ANTLERLESS DRAW RESULTS,ANTLERLESS,EA1021,EA1021,EA,Antlerless Elk,"Hunt: EA1021 Antlerless Elk - Central Mtns, Nebo - Any Legal Weapon","Central Mtns, Nebo",Any Legal Weapon,Antlerless,Antlerless,Any Legal Weapon,53,7,60,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_45,ANTLERLESS DRAW RESULTS,ANTLERLESS,EA1022,EA1022,EA,Antlerless Elk,"Hunt: EA1022 Antlerless Elk - Central Mtns, North Manti - Any Legal Weapon","Central Mtns, North Manti",Any Legal Weapon,Antlerless,Antlerless,Any Legal Weapon,107,12,119,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_46,ANTLERLESS DRAW RESULTS,ANTLERLESS,EA1023,EA1023,EA,Antlerless Elk,"Hunt: EA1023 Antlerless Elk - Central Mtns, South Manti - Any Legal Weapon","Central Mtns, South Manti",Any Legal Weapon,Antlerless,Antlerless,Any Legal Weapon,29,4,33,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_47,ANTLERLESS DRAW RESULTS,ANTLERLESS,EA1024,EA1024,EA,Antlerless Elk,"Hunt: EA1024 Antlerless Elk - Central Mtns, South Manti - Any Legal Weapon","Central Mtns, South Manti",Any Legal Weapon,Antlerless,Antlerless,Any Legal Weapon,8,1,9,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_48,ANTLERLESS DRAW RESULTS,ANTLERLESS,EA1025,EA1025,EA,Antlerless Elk,"Hunt: EA1025 Antlerless Elk - Central Mtns, West Manti - Any Legal Weapon","Central Mtns, West Manti",Any Legal Weapon,Antlerless,Antlerless,Any Legal Weapon,51,6,57,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_49,ANTLERLESS DRAW RESULTS,ANTLERLESS,EA1026,EA1026,EA,Antlerless Elk,Hunt: EA1026 Antlerless Elk - Chalk Creek - Any Legal Weapon,Chalk Creek,Any Legal Weapon,Antlerless,Antlerless,Any Legal Weapon,290,21,311,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_50,ANTLERLESS DRAW RESULTS,ANTLERLESS,EA1030,EA1030,EA,Antlerless Elk,"Hunt: EA1030 Antlerless Elk - Fillmore, Pahvant - Any Legal Weapon","Fillmore, Pahvant",Any Legal Weapon,Antlerless,Antlerless,Any Legal Weapon,18,3,21,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2021,2021,2022,2021/.pdf/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,pdf_page_51,ANTLERLESS DRAW RESULTS,ANTLERLESS,EA1031,EA1031,EA,Antlerless Elk,"Hunt: EA1031 Antlerless Elk - Fillmore, Pahvant - Any Legal Weapon","Fillmore, Pahvant",Any Legal Weapon,Antlerless,Antlerless,Any Legal Weapon,18,3,21,PARSED_FROM_PAGE_TOTALS,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
