hunt_code,hunt_name,species,sex_type,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,has_permit_value,permit_count_status,hunt_code_mapping_status,boundary_id,boundary_id_mapping_status,source_role,source_file,source_row_number
BI6538,"Nine Mile, Private Lands Only",Bison,Hunters Choice,Any Legal Weapon,General Season,"Aug 1, 2025 - Jan 31, 2026 | Harvest survey due by Feb 15, 2026 Visit: http://wildlife.utah.gov/harvest to submit your survey",,,,false,NO_PUBLISHED_NUMERIC_PERMIT,REVIEWED_CURRENT_HUNT_CODE,615,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 bison reviewed res-nr-total.csv,14
BR1000,Black Bear - Statewide Permit,Black Bear,Either Sex,Any Legal Weapon,Statewide,,,,1,true,TOTAL_ONLY,REVIEWED_CURRENT_HUNT_CODE,5001,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv,2
BR1001,Black Bear Harvest Objective Units,Black Bear,Either Sex,Any Legal Weapon,Harvest Objective,,,,,false,NO_PUBLISHED_NUMERIC_PERMIT,REVIEWED_CURRENT_HUNT_CODE,5002,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv,3
BR1007,Black Bear Pursuit - Resident,Black Bear,Either Sex,Pursuit Only,Pursuit,"Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026",,,,false,NO_PUBLISHED_NUMERIC_PERMIT,REVIEWED_CURRENT_HUNT_CODE,5003,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv,4
BR1008,Book Cliffs,Black Bear,Either Sex,Pursuit Only,Restricted Pursuit - Summer,"July 5 - 16, 2026",26,2,28,true,FULL_SPLIT,REVIEWED_CURRENT_HUNT_CODE,7,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv,5
BR1009,La Sal,Black Bear,Either Sex,Pursuit Only,Restricted Pursuit - Summer,"July 5 - 16, 2026",14,1,15,true,FULL_SPLIT,REVIEWED_CURRENT_HUNT_CODE,684,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv,6
BR1010,San Juan,Black Bear,Either Sex,Pursuit Only,Restricted Pursuit - Summer,"July 5 - 16, 2026",14,1,15,true,FULL_SPLIT,REVIEWED_CURRENT_HUNT_CODE,710,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv,7
BR1011,Book Cliffs,Black Bear,Either Sex,Pursuit Only,Restricted Pursuit - Late Summer,"July 18 - July 31, 2026",26,2,28,true,FULL_SPLIT,REVIEWED_CURRENT_HUNT_CODE,7,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv,8
BR1012,La Sal,Black Bear,Either Sex,Pursuit Only,Restricted Pursuit - Late Summer,"July 18 - July 31, 2026",14,1,15,true,FULL_SPLIT,REVIEWED_CURRENT_HUNT_CODE,684,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv,9
BR1013,San Juan,Black Bear,Either Sex,Pursuit Only,Restricted Pursuit - Late Summer,"July 18 - July 31, 2026",14,1,15,true,FULL_SPLIT,REVIEWED_CURRENT_HUNT_CODE,710,DATABASE_BOUNDARY_ID,REVIEWED_FAMILY,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv,10
