hunt_code,hunt_name,species,usable_reviewed_source_count,usable_reviewed_value_source_count,usable_reviewed_unique_value_count,reviewed_consensus_res,reviewed_consensus_nr,reviewed_consensus_total,reviewed_consensus_source_count,reviewed_consensus_status,all_reviewed_values,usable_source_files,all_source_roles
BI6529,"Book Cliffs, Little Creek/South",Bison,2,2,1,8,0,8,2,REVIEWED_CONSENSUS,8/0/8:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 bison cow only reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER
BI6531,"Book Cliffs, Little Creek/South",Bison,2,2,1,10,0,10,2,REVIEWED_CONSENSUS,10/0/10:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 bison reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER
BI6532,"Book Cliffs, Bitter Creek",Bison,2,2,1,6,0,6,2,REVIEWED_CONSENSUS,6/0/6:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 bison reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER
BI6534,"Book Cliffs, Bitter Creek",Bison,2,2,1,10,0,10,2,REVIEWED_CONSENSUS,10/0/10:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 bison reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER
BI6535,"Book Cliffs, Bitter Creek",Bison,2,2,1,8,0,8,2,REVIEWED_CONSENSUS,8/0/8:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 bison reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER
BI6536,"Book Cliffs, Bitter Creek",Bison,2,2,1,15,0,15,2,REVIEWED_CONSENSUS,15/0/15:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 bison cow only reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER
BI6537,"Book Cliffs, Little Creek/South",Bison,2,2,1,8,7,15,2,REVIEWED_CONSENSUS,8/7/15:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 bison reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER
BI6538,"Nine Mile, Private Lands Only",Bison,2,0,0,,,,0,NO_REVIEWED_VALUE,,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 bison reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER
BI6539,Henry Mtns,Bison,2,2,1,11,0,11,2,REVIEWED_CONSENSUS,11/0/11:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 bison cow only reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER
BR1000,Black Bear - Statewide Permit,Black Bear,2,2,1,,,1,2,REVIEWED_CONSENSUS,//1:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR1001,Black Bear Harvest Objective Units,Black Bear,2,0,0,,,,0,NO_REVIEWED_VALUE,,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR1007,Black Bear Pursuit - Resident,Black Bear,2,0,0,,,,0,NO_REVIEWED_VALUE,,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR1008,Book Cliffs,Black Bear,2,2,1,26,2,28,2,REVIEWED_CONSENSUS,26/2/28:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR1009,La Sal,Black Bear,2,2,1,14,1,15,2,REVIEWED_CONSENSUS,14/1/15:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR1010,San Juan,Black Bear,2,2,1,14,1,15,2,REVIEWED_CONSENSUS,14/1/15:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR1011,Book Cliffs,Black Bear,2,2,1,26,2,28,2,REVIEWED_CONSENSUS,26/2/28:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR1012,La Sal,Black Bear,2,2,1,14,1,15,2,REVIEWED_CONSENSUS,14/1/15:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR1013,San Juan,Black Bear,2,2,1,14,1,15,2,REVIEWED_CONSENSUS,14/1/15:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR1015,Book Cliffs,Black Bear,2,2,1,0,2,2,2,REVIEWED_CONSENSUS,0/2/2:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR1016,San Juan,Black Bear,2,2,1,0,2,2,2,REVIEWED_CONSENSUS,0/2/2:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR1017,La Sal,Black Bear,2,2,1,0,2,2,2,REVIEWED_CONSENSUS,0/2/2:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR1018,Black Bear Pursuit - Nonresident,Black Bear,2,0,0,,,,0,NO_REVIEWED_VALUE,,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7000,Beaver,Black Bear,2,2,1,9,1,10,2,REVIEWED_CONSENSUS,9/1/10:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7001,Book Cliffs Bitter Creek/South,Black Bear,2,2,1,49,5,54,2,REVIEWED_CONSENSUS,49/5/54:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7003,Manti North,Black Bear,2,2,1,17,2,19,2,REVIEWED_CONSENSUS,17/2/19:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7004,Manti South/San Rafael North,Black Bear,2,2,1,18,0,18,2,REVIEWED_CONSENSUS,18/0/18:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7005,Nebo,Black Bear,2,2,1,7,0,7,2,REVIEWED_CONSENSUS,7/0/7:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7007,Fillmore Pahvant,Black Bear,2,2,1,1,0,1,2,REVIEWED_CONSENSUS,1/0/1:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7009,Mt Dutton,Black Bear,2,2,1,4,0,4,2,REVIEWED_CONSENSUS,4/0/4:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7010,Panguitch Lake/Zion,Black Bear,2,2,1,9,0,9,2,REVIEWED_CONSENSUS,9/0/9:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7011,Paunsaugunt,Black Bear,2,2,1,4,0,4,2,REVIEWED_CONSENSUS,4/0/4:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7012,Boulder/Kaiparowits,Black Bear,2,2,1,20,2,22,2,REVIEWED_CONSENSUS,20/2/22:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7013,Fishlake/Thousand Lakes,Black Bear,2,2,1,7,0,7,2,REVIEWED_CONSENSUS,7/0/7:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7014,San Juan,Black Bear,2,2,1,35,3,38,2,REVIEWED_CONSENSUS,35/3/38:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7015,Diamond Mtn/Vernal/Bonanza,Black Bear,2,2,1,7,0,7,2,REVIEWED_CONSENSUS,7/0/7:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7016,Wasatch Mtns West-Central,Black Bear,2,2,1,36,4,40,2,REVIEWED_CONSENSUS,36/4/40:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7017,Cache/Ogden,Black Bear,2,2,1,2,0,2,2,REVIEWED_CONSENSUS,2/0/2:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7018,Kamas/North Slope Summit,Black Bear,2,2,1,5,0,5,2,REVIEWED_CONSENSUS,5/0/5:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7020,Monroe,Black Bear,2,2,1,1,0,1,2,REVIEWED_CONSENSUS,1/0/1:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7021,Dolores Triangle,Black Bear,2,2,1,2,0,2,2,REVIEWED_CONSENSUS,2/0/2:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7022,La Sal Mtns,Black Bear,2,2,1,40,3,43,2,REVIEWED_CONSENSUS,40/3/43:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7100,Beaver,Black Bear,2,2,1,9,1,10,2,REVIEWED_CONSENSUS,9/1/10:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7101,Book Cliffs Bitter Creek/South,Black Bear,2,2,1,14,1,15,2,REVIEWED_CONSENSUS,14/1/15:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7102,Book Cliffs Little Creek Roadless,Black Bear,2,2,1,5,0,5,2,REVIEWED_CONSENSUS,5/0/5:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7104,Manti North,Black Bear,2,2,1,17,1,18,2,REVIEWED_CONSENSUS,17/1/18:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7105,Manti South/San Rafael North,Black Bear,2,2,1,18,2,20,2,REVIEWED_CONSENSUS,18/2/20:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7106,Nebo,Black Bear,2,2,1,8,0,8,2,REVIEWED_CONSENSUS,8/0/8:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7109,Mt Dutton,Black Bear,2,2,1,3,0,3,2,REVIEWED_CONSENSUS,3/0/3:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7110,Nine Mile,Black Bear,2,2,1,18,2,20,2,REVIEWED_CONSENSUS,18/2/20:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7111,North Slope Three Corners/West Daggett,Black Bear,2,2,1,1,0,1,2,REVIEWED_CONSENSUS,1/0/1:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7112,Panguitch Lake/Zion,Black Bear,2,2,1,5,0,5,2,REVIEWED_CONSENSUS,5/0/5:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7113,Paunsaugunt,Black Bear,2,2,1,3,0,3,2,REVIEWED_CONSENSUS,3/0/3:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7114,Boulder/Kaiparowits,Black Bear,2,2,1,13,1,14,2,REVIEWED_CONSENSUS,13/1/14:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7115,Fishlake/Thousand Lakes,Black Bear,2,2,1,7,0,7,2,REVIEWED_CONSENSUS,7/0/7:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
BR7116,San Juan,Black Bear,2,2,1,22,2,24,2,REVIEWED_CONSENSUS,22/2/24:2,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits reviewed res-nr-total.csv|pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 reviewed permit truth master.csv,REVIEWED_FAMILY|REVIEWED_MASTER|SUPERSEDED_FRAGMENT_DO_NOT_USE_FOR_CANONICAL
