source_file,page,hunt_code,hunt_name,sections,rows,status
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,25,DB1799,Chalk Creek,4,6,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,26,DB1800,East Canyon,4,14,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,27,DB1801,Morgan-South Rich,2,4,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,28,DB1802,"Beaver, East",4,18,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,29,DB1803,"Beaver, West",4,14,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,30,DB1804,Cedar/Stansbury,2,10,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,31,DB1805,Oquirrh/Tintic,4,14,OK
2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,32,DB1806,"West Desert, Swasey",2,10,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,1,GDR,General Deer Preference Point,2,54,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,2,DB0008,Deer Extended Archery Only,4,14,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,3,DB1501,Box Elder,4,14,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,4,DB1502,Cache,4,16,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,5,DB1503,Manti/San Rafael,4,32,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,6,DB1504,Nebo,4,52,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,7,DB1506,Fillmore,4,26,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,8,DB1508,Kamas,4,14,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,9,DB1509,"La Sal, La Sal Mtns",4,16,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,10,DB1510,Monroe,4,20,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,11,DB1511,Mt Dutton,4,24,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,12,DB1512,Nine Mile,4,34,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,13,DB1513,North Slope,4,18,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,14,DB1514,Ogden,4,14,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,15,DB1516,Panguitch Lake,4,24,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,16,DB1517,Pine Valley,4,26,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,17,DB1518,Boulder/Kaiparowits,4,20,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,18,DB1519,Fishlake,4,26,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,19,DB1521,"San Juan, Abajo Mtns",4,18,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,20,DB1522,Vernal/Bonanza,4,18,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,21,DB1523,Yellowstone,4,16,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,22,DB1524,Southwest Desert,4,18,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,23,DB1525,"Wasatch Mtns, East",4,46,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,24,DB1526,"Wasatch Mtns, West",4,20,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,25,DB1529,Zion,4,26,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,26,DB1531,Box Elder,4,30,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,27,DB1533,Manti/San Rafael,4,36,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,28,DB1534,Nebo,4,32,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,29,DB1536,Fillmore,4,34,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,30,DB1538,Kamas,4,18,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,31,DB1539,"La Sal, La Sal Mtns",4,34,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,32,DB1540,Monroe,4,40,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,33,DB1541,Mt Dutton,4,32,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,34,DB1542,Nine Mile,4,24,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,35,DB1543,North Slope,4,28,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,36,DB1544,Ogden,4,30,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,37,DB1546,Panguitch Lake,4,32,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,38,DB1547,Pine Valley,4,46,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,39,DB1549,Fishlake,4,34,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,40,DB1551,"San Juan, Abajo Mtns",4,28,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,41,DB1552,Vernal/Bonanza,4,36,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,42,DB1553,Yellowstone,4,32,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,43,DB1554,Southwest Desert,4,32,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,44,DB1555,"Wasatch Mtns, East",4,30,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,45,DB1556,"Wasatch Mtns, West",4,32,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,46,DB1559,Zion,4,40,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,47,DB1561,Box Elder,4,12,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,48,DB1563,Manti/San Rafael,4,28,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,49,DB1564,Nebo,4,14,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,50,DB1566,Fillmore,4,16,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,51,DB1568,Kamas,4,14,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,52,DB1569,"La Sal, La Sal Mtns",4,16,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,53,DB1570,Monroe,4,20,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,54,DB1571,Mt Dutton,4,20,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,55,DB1572,Nine Mile,4,12,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,56,DB1573,North Slope,4,20,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,57,DB1574,Ogden,4,12,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,58,DB1576,Panguitch Lake,4,32,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,59,DB1577,Pine Valley,4,28,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,60,DB1579,Fishlake,4,20,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,61,DB1581,"San Juan, Abajo Mtns",4,38,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,62,DB1582,Vernal/Bonanza,4,20,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,63,DB1583,Yellowstone,4,16,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,64,DB1584,Southwest Desert,4,22,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,65,DB1585,"Wasatch Mtns, East",4,18,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,66,DB1586,"Wasatch Mtns, West",4,16,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,67,DB1589,Zion,4,18,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,68,DB1591,Fillmore,4,30,OK
2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,69,DB1592,Kamas,4,24,OK
