hunt_code,species_family,hunt_name,source_row_count,source_file,crosswalk_found,crosswalk_match_kind,crosswalk_current_code,xwalk_relationship,xwalk_confidence,xwalk_method,xwalk_recommendation,crosswalk_status,crosswalk_source,crosswalk_notes,retired_in_2026,retired_reason_notes,triage_status,triage_notes,ready_to_address_action
DB1223,Deer,"Cwmu Buck Deer - Conover-jensen - Any Legal Weapon 2023 Draw 5, Big Game Bonus Point Draw Results 05/31/2023",62,2023 DEER ODDS(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
DB1278,Deer,"Cwmu Buck Deer - Powder Mountain - Any Legal Weapon 2023 Draw 5, Big Game Bonus Point Draw Results 05/31/2023",62,2023 DEER ODDS(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
DB1297,Deer,"Cwmu Buck Deer - Stillman Creek Ranch - Any Legal Weapon 2023 Draw 5, Big Game Bonus Point Draw Results 05/31/2023",62,2023 DEER ODDS(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
DB1307,Deer,"Cwmu Buck Deer - Weber Florence Creek - Any Legal Weapon 2023 Draw 5, Big Game Bonus Point Draw Results 05/31/2023",62,2023 DEER ODDS(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
DB1339,Deer,"Cwmu Buck Deer - Double J Valley - Any Legal Weapon 2023 Draw 5, Big Game Bonus Point Draw Results 05/31/2023",62,2023 DEER ODDS(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
DB1340,Deer,"Cwmu Buck Deer - Tunnel Hollow - Any Legal Weapon 2023 Draw 5, Big Game Bonus Point Draw Results 05/31/2023",62,2023 DEER ODDS(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
DB1500,Deer,"Beaver - Archery 05/30/2023; Beaver - Archery 2023 Draw 5, Big Game Bonus Point Draw Results 05/30/2023",132,2023 Lifetime general-season deer draw results(1).pdf; 2023 Youth general-season deer draw results(1).pdf; 2023 draw results General Season Deer Draw Odds(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
DB1515,Deer,"Oquirrh-stansbury - Archery 2023 Draw 5, Big Game Bonus Point Draw Results 05/30/2023",132,2023 Lifetime general-season deer draw results(1).pdf; 2023 Youth general-season deer draw results(1).pdf; 2023 draw results General Season Deer Draw Odds(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
DB1520,Deer,"Plateau, Thousand Lakes - Archery 2023 Draw 5, Big Game Bonus Point Draw Results 05/30/2023",132,2023 Lifetime general-season deer draw results(1).pdf; 2023 Youth general-season deer draw results(1).pdf; 2023 draw results General Season Deer Draw Odds(1).pdf,YES,HISTORICAL_TO_CURRENT_MATCH,LD1108,PREFIX_SWAP_LD_TO_DB,MEDIUM,prefix_swap_same_numeric,USE_EXACT_HUNT_CODE_HISTORY,PROMOTED_PREFIX_SWAP_CANDIDATE,data_model/harvest_quality/raw_packages/unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected/full_joined_hunt_code_backcheck_2021_2026_conservation_annual_per_row.csv|data_model/harvest_quality/raw_packages/unknown_for_unknown_hunt_code_year_backcheck_outputs/hunt_code_backward_crosscheck_2026_from_harvest_history.csv|pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,mapping_status=; relationship=PREFIX_SWAP_LD_TO_DB; method=prefix_swap_same_numeric; confidence=MEDIUM; recommended_model_behavior=USE_EXACT_HUNT_CODE_HISTORY; crosswalk_status=PROMOTED_PREFIX_SWAP_CANDIDATE; backcheck_reason=POSSIBLE_RENAME_OR_SPLIT_MERGE; data_quality_grade=B.,NO,,CROSSWALK_MATCH,Matched via HISTORICAL_TO_CURRENT_MATCH: PREFIX_SWAP_LD_TO_DB; confidence=MEDIUM,SUPPLEMENT/CROSSWALK
DB1527,Deer,"West Desert, Tintic - Archery 2023 Draw 5, Big Game Bonus Point Draw Results 05/30/2023",132,2023 Lifetime general-season deer draw results(1).pdf; 2023 Youth general-season deer draw results(1).pdf; 2023 draw results General Season Deer Draw Odds(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
DB1528,Deer,"West Desert, West - Archery 2023 Draw 5, Big Game Bonus Point Draw Results 05/30/2023",88,2023 Lifetime general-season deer draw results(1).pdf; 2023 draw results General Season Deer Draw Odds(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
DB1530,Deer,"Beaver - Any Legal Weapon 2023 Draw 5, Big Game Bonus Point Draw Results 05/30/2023",132,2023 Lifetime general-season deer draw results(1).pdf; 2023 Youth general-season deer draw results(1).pdf; 2023 draw results General Season Deer Draw Odds(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
DB1532,Deer,"Cache - Any Legal Weapon 2023 Draw 5, Big Game Bonus Point Draw Results 05/30/2023",132,2023 Lifetime general-season deer draw results(1).pdf; 2023 Youth general-season deer draw results(1).pdf; 2023 draw results General Season Deer Draw Odds(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
DB1545,Deer,"Oquirrh-stansbury - Any Legal Weapon 2023 Draw 5, Big Game Bonus Point Draw Results 05/30/2023",132,2023 Lifetime general-season deer draw results(1).pdf; 2023 Youth general-season deer draw results(1).pdf; 2023 draw results General Season Deer Draw Odds(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
DB1548,Deer,"Plateau, Boulder/kaiparowits - Any Legal Weapon 2023 Draw 5, Big Game Bonus Point Draw Results 05/30/2023",132,2023 Lifetime general-season deer draw results(1).pdf; 2023 Youth general-season deer draw results(1).pdf; 2023 draw results General Season Deer Draw Odds(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
DB1550,Deer,"Plateau, Thousand Lakes - Any Legal Weapon 2023 Draw 5, Big Game Bonus Point Draw Results 05/30/2023",132,2023 Lifetime general-season deer draw results(1).pdf; 2023 Youth general-season deer draw results(1).pdf; 2023 draw results General Season Deer Draw Odds(1).pdf,YES,HISTORICAL_TO_CURRENT_MATCH,LD1108,PREFIX_SWAP_LD_TO_DB,MEDIUM,prefix_swap_same_numeric,USE_EXACT_HUNT_CODE_HISTORY,PROMOTED_PREFIX_SWAP_CANDIDATE,data_model/harvest_quality/raw_packages/unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected/full_joined_hunt_code_backcheck_2021_2026_conservation_annual_per_row.csv|data_model/harvest_quality/raw_packages/unknown_for_unknown_hunt_code_year_backcheck_outputs/hunt_code_backward_crosscheck_2026_from_harvest_history.csv|pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,mapping_status=; relationship=PREFIX_SWAP_LD_TO_DB; method=prefix_swap_same_numeric; confidence=MEDIUM; recommended_model_behavior=USE_EXACT_HUNT_CODE_HISTORY; crosswalk_status=PROMOTED_PREFIX_SWAP_CANDIDATE; backcheck_reason=POSSIBLE_RENAME_OR_SPLIT_MERGE; data_quality_grade=B.,NO,,CROSSWALK_MATCH,Matched via HISTORICAL_TO_CURRENT_MATCH: PREFIX_SWAP_LD_TO_DB; confidence=MEDIUM,SUPPLEMENT/CROSSWALK
DB1557,Deer,"West Desert, Tintic - Any Legal Weapon 2023 Draw 5, Big Game Bonus Point Draw Results 05/30/2023",132,2023 Lifetime general-season deer draw results(1).pdf; 2023 Youth general-season deer draw results(1).pdf; 2023 draw results General Season Deer Draw Odds(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
DB1558,Deer,"West Desert, West - Any Legal Weapon 2023 Draw 5, Big Game Bonus Point Draw Results 05/30/2023",132,2023 Lifetime general-season deer draw results(1).pdf; 2023 Youth general-season deer draw results(1).pdf; 2023 draw results General Season Deer Draw Odds(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
DB1560,Deer,"Beaver - Muzzleloader 2023 Draw 5, Big Game Bonus Point Draw Results 05/30/2023",132,2023 Lifetime general-season deer draw results(1).pdf; 2023 Youth general-season deer draw results(1).pdf; 2023 draw results General Season Deer Draw Odds(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
DB1562,Deer,"Cache - Muzzleloader 2023 Draw 5, Big Game Bonus Point Draw Results 05/30/2023",132,2023 Lifetime general-season deer draw results(1).pdf; 2023 Youth general-season deer draw results(1).pdf; 2023 draw results General Season Deer Draw Odds(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
DB1575,Deer,"Oquirrh-stansbury - Muzzleloader 2023 Draw 5, Big Game Bonus Point Draw Results 05/30/2023",132,2023 Lifetime general-season deer draw results(1).pdf; 2023 Youth general-season deer draw results(1).pdf; 2023 draw results General Season Deer Draw Odds(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
DB1578,Deer,"Plateau, Boulder/kaiparowits - Muzzleloader 2023 Draw 5, Big Game Bonus Point Draw Results 05/30/2023",132,2023 Lifetime general-season deer draw results(1).pdf; 2023 Youth general-season deer draw results(1).pdf; 2023 draw results General Season Deer Draw Odds(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
DB1580,Deer,"Plateau, Thousand Lakes - Muzzleloader 2023 Draw 5, Big Game Bonus Point Draw Results 05/30/2023",132,2023 Lifetime general-season deer draw results(1).pdf; 2023 Youth general-season deer draw results(1).pdf; 2023 draw results General Season Deer Draw Odds(1).pdf,YES,HISTORICAL_TO_CURRENT_MATCH,LD1108,PREFIX_SWAP_LD_TO_DB,MEDIUM,prefix_swap_same_numeric,USE_EXACT_HUNT_CODE_HISTORY,PROMOTED_PREFIX_SWAP_CANDIDATE,data_model/harvest_quality/raw_packages/unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected/full_joined_hunt_code_backcheck_2021_2026_conservation_annual_per_row.csv|data_model/harvest_quality/raw_packages/unknown_for_unknown_hunt_code_year_backcheck_outputs/hunt_code_backward_crosscheck_2026_from_harvest_history.csv|pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,mapping_status=; relationship=PREFIX_SWAP_LD_TO_DB; method=prefix_swap_same_numeric; confidence=MEDIUM; recommended_model_behavior=USE_EXACT_HUNT_CODE_HISTORY; crosswalk_status=PROMOTED_PREFIX_SWAP_CANDIDATE; backcheck_reason=POSSIBLE_RENAME_OR_SPLIT_MERGE; data_quality_grade=B.,NO,,CROSSWALK_MATCH,Matched via HISTORICAL_TO_CURRENT_MATCH: PREFIX_SWAP_LD_TO_DB; confidence=MEDIUM,SUPPLEMENT/CROSSWALK
DB1587,Deer,"West Desert, Tintic - Muzzleloader 2023 Draw 5, Big Game Bonus Point Draw Results 05/30/2023",132,2023 Lifetime general-season deer draw results(1).pdf; 2023 Youth general-season deer draw results(1).pdf; 2023 draw results General Season Deer Draw Odds(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
DB1588,Deer,"West Desert, West - Muzzleloader 2023 Draw 5, Big Game Bonus Point Draw Results 05/30/2023",132,2023 Lifetime general-season deer draw results(1).pdf; 2023 Youth general-season deer draw results(1).pdf; 2023 draw results General Season Deer Draw Odds(1).pdf,NO,,,,,,,,,,NO,,MANUAL_REVIEW,No current/historical crosswalk match found in current_to_historical_hunt_code_crosswalk_2026.csv,MANUAL_CROSSWALK
