year,title,url,official_basename,download_path,http_status,content_type,size_bytes,sha256
2023,Youth Dedicated Hunter deer draw results,https://wildlife.utah.gov/pdf/bg/2023/23_youth_dh_odds.pdf,23_youth_dh_odds.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2023__23_youth_dh_odds.pdf,200,application/pdf,148486,3375f3a323f061d4c91260df5ad858394bc1c46d31fb789af9f9961aeadd95cc
2023,Sportsman draw odds report,https://wildlife.utah.gov/pdf/bg/2023/23-24_sportsman_odds.pdf,23-24_sportsman_odds.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2023__23-24_sportsman_odds.pdf,200,application/pdf,102242,7899bf807dd1320f11b65aa568230f4e3c4120f5be7719b2d1376b6d3d7f4679
2022,General-season buck deer draw results,https://wildlife.utah.gov/pdf/bg/2022/22_deer_odds.pdf,22_deer_odds.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2022__22_deer_odds.pdf,200,application/pdf,1500660,cfdb6bed1a28fc84d3ab5ae39f5160f08f6159f68c77a7c71e30b76cf9093f17
2022,Lifetime general-season deer draw results,https://wildlife.utah.gov/pdf/bg/2022/22_lifetime_deer.pdf,22_lifetime_deer.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2022__22_lifetime_deer.pdf,200,application/pdf,1354334,23e8778e70b4adb9a88a1828d9a1c6eed6aaf38ce4f382fac46837ba8092edb2
2022,Youth draw-only elk bonus point draw results,https://wildlife.utah.gov/pdf/bg/2022/22_youth_bull_elk.pdf,22_youth_bull_elk.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2022__22_youth_bull_elk.pdf,200,application/pdf,89441,beb5123415ccda77a2a8100937b1d35a36c07eeee01167991fb60b63abb8cd2a
2022,Youth general-season deer draw results,https://wildlife.utah.gov/pdf/bg/2022/22_youth_deer.pdf,22_youth_deer.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2022__22_youth_deer.pdf,200,application/pdf,1428906,55a1561fb7778ebdb1291099042a147c8fed1a3c9b567066c2700ce767a86e6f
2022,Big game limited-entry & once-in-a-lifetime draw results,https://wildlife.utah.gov/pdf/bg/2022/22_bg-odds.pdf,22_bg-odds.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2022__22_bg-odds.pdf,200,application/pdf,2858441,c968a1effccb63a71d04e3bd507273a413b8dcea938fa6184798fd0a60ae3de7
2022,Antlerless big game draw results,https://wildlife.utah.gov/pdf/bg/2022/22_antlerless_drawing_odds_report.pdf,22_antlerless_drawing_odds_report.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2022__22_antlerless_drawing_odds_report.pdf,200,application/pdf,2903402,090ba19e450f95fcb01e6a00d0d24ba75dcced764065a80b23a01d8b0e8b4195
2022,Youth antlerless big game draw results,https://wildlife.utah.gov/pdf/bg/2022/22_youth_antlerless_drawing_odds_report.pdf,22_youth_antlerless_drawing_odds_report.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2022__22_youth_antlerless_drawing_odds_report.pdf,200,application/pdf,2454255,dec85a133d57b0053474a184b719faa3111088afe51957bfa61d8cf414f3c897
2022,Dedicated Hunter deer draw results,https://wildlife.utah.gov/pdf/bg/2022/22_dh_odds.pdf,22_dh_odds.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2022__22_dh_odds.pdf,200,application/pdf,532488,610d6af098d9d680aaa1a168a9ea427b86dfd49224e0bd9f34da583988b3d0e1
