actual_draw_year,model_target_year,hunt_code,residency,points,record_type,source_file
2026,2027,DB1510,Nonresident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1510,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1510,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1511,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1511,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1512,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1512,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1512,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1513,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1513,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1513,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1513,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1514,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1514,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1516,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1516,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1516,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1516,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1517,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1517,Nonresident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1517,Nonresident,3,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1517,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1517,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1518,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1518,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1519,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1519,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1519,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1521,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1521,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1521,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1522,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1522,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1522,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1523,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1523,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1523,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1524,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1524,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1524,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1525,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1525,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1526,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1526,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1526,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1529,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1529,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1529,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1531,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1531,Nonresident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1531,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1531,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1531,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1531,Resident,4,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1533,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1533,Nonresident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1533,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1533,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1533,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1533,Resident,3,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1534,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1534,Nonresident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1534,Nonresident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1534,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1534,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1534,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1534,Resident,3,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1536,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1536,Nonresident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1536,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1536,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1536,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1536,Resident,3,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1536,Resident,4,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1538,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1538,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1539,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1539,Nonresident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1539,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1539,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1539,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1540,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1540,Nonresident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1540,Nonresident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1540,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1540,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1540,Resident,3,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1541,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1541,Nonresident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1541,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1541,Resident,2,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1541,Resident,3,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1541,Resident,4,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1542,Nonresident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1542,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1542,Resident,1,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1543,Nonresident,4,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
2026,2027,DB1543,Resident,0,point_level_draw_result,UtahDraws live DrawOddsData: Big Game:General-Season
