path,size_bytes,columns
data_truth\draw_results_truth\normalized\draw_results_2026_for_2027_candidate_promotion_file_records_CANONICAL_SCORABLE_CANDIDATE.csv,22806109,84
data_truth\draw_results_truth\normalized\draw_results_2026_for_2027_candidate_promotion_hunt_code_rollup.csv,187562,33
data_truth\draw_results_truth\normalized\draw_results_2026_point_bank_family_reference.csv,419713,45
data_truth\draw_results_truth\normalized\draw_results_long.csv,189809318,77
data_truth\draw_results_truth\normalized\draw_results_long_apply_backup.csv,82666674,43
data_truth\draw_results_truth\normalized\draw_results_long_identity_fixed_20260607_004807.csv,82557409,43
data_truth\draw_results_truth\normalized\le_deer_2025_draw_results_model_target_2026_permit_totals.csv,77648,27
data_truth\draw_results_truth\normalized\oil_2025_draw_results_model_target_2026_permit_totals.csv,41221,27
data_truth\draw_results_truth\normalized\sportsman_2022_23_draw_odds_model_target_2024.csv,6444,30
data_truth\draw_results_truth\normalized\turkey_bonus_2023_draw_results_model_target_2024_long.csv,111202,24
data_truth\draw_results_truth\normalized\turkey_bonus_2023_draw_results_model_target_2024_permit_totals.csv,3804,30
data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,22659369,70
data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2020_for_2021_canonical_yearly_draw_results.csv,24301344,71
data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2021_for_2022_canonical_yearly_draw_results.csv,19893908,70
data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2022_for_2023_canonical_yearly_draw_results.csv,19296948,71
data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2023_for_2024_canonical_yearly_draw_results.csv,32711646,70
data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2024_for_2025_canonical_yearly_draw_results.csv,31453899,71
data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2025_for_2026_canonical_yearly_draw_results.csv,21319588,54
data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2026_for_2027_canonical_yearly_draw_results.csv,15387563,52
data_truth\draw_results_truth\normalized\engine_ready_by_year\draw_results_engine_ready_2019_2022.csv,156189799,55
processed_data\boundary_id_5000plus_resolution_audit.csv,9908,12
processed_data\cwmu_boundary_fill_from_truth_applied.csv,16896,7
processed_data\cwmu_safe_fill_integrity_check.csv,1917,7
processed_data\cwmu_safe_fill_integrity_check_v2.csv,1882,7
processed_data\draw_reality_engine.csv,95041150,24
processed_data\draw_reality_engine_v2.csv,47547895,25
processed_data\hunt-master-canonical-2026-source-of-truth.csv,1315638,69
processed_data\hunt_boundary_crosswalk_2026.csv,143088,10
processed_data\hunt_master_canonical_2026_RESOLVED_WITH_2026_black_bear_2_20260507.csv,724275,43
processed_data\hunt_master_canonical_2026_SOURCE_OF_TRUTH_FINAL_COMPLETE_NO_PARTIALS.csv,569260,43
processed_data\hunt_master_enriched.csv,28913318,50
processed_data\hunt_unit_reference_linked.csv,2729910,89
processed_data\point_ladder_view.csv,149877610,157
processed_data\unresolved_hunt_boundaries_2026.csv,66,7
processed_data\audits\DATABASE_permit_model_year_display_headers.csv,450956,23
processed_data\audits\hunt_research_2026_ladder_unclassified.csv,46064532,91
processed_data\audits\hunt_research_2026_ladder_unclassified_classifier_exact.csv,43967059,92
processed_data\backups\DATABASE_before_allotment_reconciliation_20260604T052517Z.csv,747980,41
processed_data\backups\DATABASE_before_allotment_reconciliation_20260604T052630Z.csv,747980,41
processed_data\backups\DATABASE_before_allotment_truth_sync_20260530_035402.csv,648836,45
processed_data\backups\DATABASE_before_allotment_truth_sync_20260530_035504.csv,648836,45
processed_data\backups\DATABASE_before_confirmed_moose_permit_patch_20260604T061441Z.csv,758420,41
processed_data\backups\DATABASE_before_confirmed_remaining_permit_patch_20260604T061123Z.csv,758373,41
processed_data\backups\DATABASE_before_conservation_pdf_ingest_20260530_074022.csv,605376,35
processed_data\backups\DATABASE_before_drop_permits_2025_draw_family_20260530_073655.csv,633255,39
processed_data\backups\DATABASE_before_drop_permits_2026_columns_20260530_072345.csv,650320,45
processed_data\backups\DATABASE_before_drop_permits_2026_draw_res_20260530_073056.csv,640075,42
processed_data\backups\DATABASE_before_elk_antlerless_recommended_patch_20260604T055934Z.csv,757561,41
processed_data\backups\DATABASE_before_final_reviewed_permit_overrides_20260604T062018Z.csv,758306,41
processed_data\backups\DATABASE_before_pd1025_retirement_20260604T062301Z.csv,758320,41
processed_data\backups\DATABASE_before_permit_model_field_clean_20260604T063500Z.csv,758341,41
processed_data\hard_data_exports\extended_archery_permits.csv,1200,36
processed_data\hard_data_exports\general_bull_any_bull_permits.csv,4286,36
processed_data\hard_data_exports\spike_only_permits.csv,1961,36
processed_data\hard_data_exports\statewide_permits.csv,4935,36
processed_data\hard_data_exports\unit_specific_conservation_expo_bundles.csv,3438,36
processed_data\hard_data_exports\youth_permits.csv,3486,36
processed_data\library\canonical_current_hunts_2026.csv,748242,41
processed_data\public_contracts\hunt_odds_history.csv,93713589,22
processed_data\research_page\hunt_application_outlook.csv,2033608,45
processed_data\audits\current_2026_reviewed_permit_file_crosscheck\reviewed_2026_permit_sources_normalized.csv,991548,18
processed_data\backups\current_year_allotment_overlay_20260523_071315\draw_reality_engine.csv,13334737,50
processed_data\backups\current_year_allotment_overlay_20260523_071315\hunt_master_enriched.csv,24431046,56
processed_data\backups\current_year_allotment_overlay_20260523_071315\hunt_unit_reference_linked.csv,1695795,74
processed_data\backups\permit_allocations_2026_20260510_160357\processed_data\hunt_master_enriched.csv,21320177,42
processed_data\backups\permit_allocations_2026_20260510_160357\processed_data\hunt_unit_reference_linked.csv,1482607,59
processed_data\backups\permit_allocations_2026_20260523_082859\processed_data\draw_reality_engine.csv,17700713,56
processed_data\backups\permit_allocations_2026_20260523_082859\processed_data\hunt_master_enriched.csv,31887607,62
processed_data\backups\permit_allocations_2026_20260523_082859\processed_data\hunt_unit_reference_linked.csv,2057168,80
processed_data\backups\permit_allocations_2026_20260523_083028\processed_data\draw_reality_engine.csv,17727621,56
processed_data\backups\permit_allocations_2026_20260523_083028\processed_data\hunt_master_enriched.csv,32105793,62
processed_data\backups\permit_allocations_2026_20260523_083028\processed_data\hunt_unit_reference_linked.csv,2063908,80
processed_data\backups\rac_current_year_database_promotion_20260523_075526\data\hunt-master-canonical-2026-database-candidate.csv,739463,53
processed_data\backups\rac_current_year_database_promotion_20260523_075526\data\hunt-master-canonical-2026-source-of-truth.csv,772444,61
processed_data\backups\rac_current_year_database_promotion_20260523_075526\processed_data\hunt-master-canonical-2026-source-of-truth.csv,578315,43
processed_data\backups\rac_current_year_database_promotion_20260523_075526\pipeline\RAW\hunt_unit_database\2026\csv\DATABASE.csv,180890,16
processed_data\backups\rac_current_year_database_promotion_20260523_080350\processed_data\hunt-master-canonical-2026-source-of-truth.csv,737388,50
processed_data\backups\rac_current_year_database_promotion_20260523_080350\pipeline\RAW\hunt_unit_database\2026\csv\DATABASE.csv,285161,23
processed_data\backups\research_feeder_sync_20260604T064259Z\processed_data\draw_reality_engine.csv,20594722,64
processed_data\backups\research_feeder_sync_20260604T064259Z\processed_data\hunt_master_enriched.csv,46220759,77
processed_data\backups\research_feeder_sync_20260604T064259Z\processed_data\hunt_unit_reference_linked.csv,2223630,85
processed_data\backups\research_feeder_sync_20260604T064259Z\processed_data\point_ladder_view.csv,132456166,155
