row,hunt_code,database_hunt_name,canonical_hunt_name,source_file
286,DB1058,Paunsaugunt Cactus,Paunsaugunt,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
287,DB1073,Paunsaugunt Management,Paunsaugunt,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
288,DB1074,Paunsaugunt Management,Paunsaugunt,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
326,EB3019,San Juan,San Juan Bull Elk,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
327,EB3066,San Juan,San Juan Bull Elk,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
328,EB3067,San Juan,San Juan Bull Elk,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
329,EB3097,San Juan,San Juan Bull Elk,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
330,EB3121,San Juan,San Juan Bull Elk,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
331,EB3193,San Juan,San Juan Bull Elk,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
332,EB3194,San Juan,San Juan Bull Elk,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
432,BR7018,Kamas/North Slope Summit,"Kamas/North Slope, Summit",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
434,DB1105,HAMSS,East Canyon,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
454,BR7111,North Slope Three Corners/West Daggett,"North Slope, Three Corners/West Daggett",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
455,BR7212,North Slope Three Corners/West Daggett,"North Slope, Three Corners/West Daggett",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
456,BR7308,North Slope Three Corners/West Daggett,"North Slope, Three Corners/West Daggett",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
461,DB1090,HAMSS,"Book Cliffs, Floy Canyon",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
467,DB1091,HAMSS,Kaiparowits,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
476,BR7120,Wasatch Mtns West-Central,"Wasatch Mtns, West-Central",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
477,BR7221,Wasatch Mtns West-Central,"Wasatch Mtns, West-Central",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
478,BR7316,Wasatch Mtns West-Central,"Wasatch Mtns, West-Central",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
480,BR7001,Book Cliffs Bitter Creek/South,"Book Cliffs, Bitter Creek/South",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
481,BR7101,Book Cliffs Bitter Creek/South,"Book Cliffs, Bitter Creek/South",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
482,BR7201,Book Cliffs Bitter Creek/South,"Book Cliffs, Bitter Creek/South",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
483,BR7300,Book Cliffs Bitter Creek/South,"Book Cliffs, Bitter Creek/South",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
489,TK0001,Statewide,Sportsman Bearded Turkey,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
510,BR7119,Wasatch Mtns Avintaquin/Currant Creek,"Wasatch Mtns, Avintaquin/Currant Creek",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
511,BR7220,Wasatch Mtns Avintaquin/Currant Creek,"Wasatch Mtns, Avintaquin/Currant Creek",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
512,BR7315,Wasatch Mtns Avintaquin/Currant Creek,"Wasatch Mtns, Avintaquin/Currant Creek",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
516,EA1147,Little Red Creek,Little Red Creek CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
519,EA1151,Moon Ranch,Moon Ranch CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
524,EA1235,Sharp Mountain,Sharp Mountain CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
527,EA1167,South Canyon,South Canyon CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
544,EA1125,Coldwater Ranch,Coldwater Ranch CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
546,DA1050,The Rose of Snowville,The Rose of Snowville CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
549,PD1048,The Rose of Snowville,The Rose of Snowville CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
556,EA1130,Double Cone,Double Cone CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
558,EA1158,Cactus Ranch LLC,Cactus Ranch LLC CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
563,EA1132,East Fork Chalk Creek,East Fork Chalk Creek CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
569,EA1134,Ensign Ranches,Ensign Ranches CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
572,EA1263,Weber Florence Creek/Stillman Creek,Weber Florence Creek/Stillman Creek CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
576,EA1136,Grass Valley/Clark Canyon,Grass Valley/Clark Canyon CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
579,DB1200,Alton - Premium Buck,Alton,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
580,DB1201,Alton - Management Buck,Alton,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
581,DB1334,Alton - Cactus Buck,Alton,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
582,EA1118,Alton,Alton CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
585,EA1119,Bar J Ranch,Bar J Ranch CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
588,EA1121,Boobe Hole,Boobe Hole CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
591,EA1137,Grazing Pasture,Grazing Pasture CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
594,EA1145,Johnson Mountain Ranch,Johnson Mountain Ranch CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
596,DA1013,Mt Carmel,Mt Carmel CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
600,EA1153,Old Woman Plateau,Old Woman Plateau CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
605,EA1161,Scofield Canyons,Scofield Canyons CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
607,EA1162,Scofield East,Scofield East CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
610,EA1163,Scofield West,Scofield West CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
613,EA1156,Preston Nutter Ranch,Preston Nutter Ranch CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
616,EA1159,Roan Cliffs,Roan Cliffs CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
621,EA1168,Spring Creek/Dodge,Spring Creek/Dodge CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
624,EA1171,Summit Point,Summit Point CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
627,EA1157,Redd Ranches,Redd Ranches CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
630,EA1143,Circle E Ranch,Circle E Ranch CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
633,EA1141,Hiawatha,Hiawatha CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
636,EA1149,Minnie Maud Ridge,Minnie Maud Ridge CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
639,EA1166,Soldier Summit,Soldier Summit CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
642,EA1172,Three C,Three C CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
645,EA1200,Double R Ranch,Double R Ranch CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
648,EA1140,Heaston East,Heaston East CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
651,EA1256,Little Pole Canyon,Little Pole Canyon CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
656,PD1031,Westlake,Westlake CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
659,EA1122,Causey Spring,Causey Spring CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
665,EA1170,Strawberry Ridge,Strawberry Ridge CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
670,EA1131,Durst Mountain,Durst Mountain CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
673,EA1129,Deseret,Deseret CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
675,MA1010,Deseret,Deseret CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
679,EA1257,Tunnel Hollow,Tunnel Hollow CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
682,EA1177,Woodruff Creek South,Woodruff Creek South CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
687,EA1138,Guildersleeve,Guildersleeve CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
691,EA1198,Bear Springs,Bear Springs CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
693,EA1164,SJ Ranch,SJ Ranch CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
696,EA1139,Hardscrabble,Hardscrabble CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
700,EA1165,Skull Crack,Skull Crack CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
704,EA1135,Folley Ridge,Folley Ridge CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
711,PD1047,Antelope Creek,Antelope Creek CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
713,EA1120,Bear Mountain,Bear Mountain CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
718,EA1175,Wallsburg,Wallsburg CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
720,DA1012,Junction Valley,Junction Valley CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
729,EA1233,Avintaquin Canyon,Avintaquin Canyon CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
848,DB1509,La Sal Mtns,"La Sal, La Sal Mtns",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
849,DB1539,La Sal Mtns,"La Sal, La Sal Mtns",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
850,DB1569,La Sal Mtns,"La Sal, La Sal Mtns",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
851,DB1778,La Sal Mtns,"La Sal, La Sal Mtns",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
854,EA2009,La Sal Mtns,"La Sal, La Sal Mtns",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
893,EA2012,"Wasatch Mtns, West-Central","Wasatch Mtns, West",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1133,EA1124,Chimney Rock,Chimney Rock CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1136,EA1146,Jump Creek,Jump Creek CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1139,EA1142,Indian Head,Indian Head CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1144,EA1160,Sand Creek,Sand Creek CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1148,BR7004,Manti South/San Rafael North,"Manti, South/San Rafael, North",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1149,BR7105,Manti South/San Rafael North,"Manti, South/San Rafael, North",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1150,BR7204,Manti South/San Rafael North,"Manti, South/San Rafael, North",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1151,BR7304,Manti South/San Rafael North,"Manti, South/San Rafael, North",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1169,DA1011,George Creek,George Creek CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1175,EA1261,Blackhawk,Blackhawk CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1178,EA2014,"Wasatch Mtns, Avintaquin-White River","Wasatch Mtns, Avintaquin - White River",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1183,PD1050,Cottonwood Ridge,Cottonwood Ridge CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1185,EA1192,Pahvant Ensign,Pahvant Ensign CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1196,BR7016,Wasatch Mtns West-Central,"Wasatch Mtns, West-Central",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1199,EA1201,Mountain Sky Ranch,Mountain Sky Ranch CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1246,EA1260,West Ridge,West Ridge CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1253,EA1280,"La Sal, La Sal Mtns-North","La Sal, La Sal Mtns-north",draw_results_2025_for_2026_canonical_yearly_draw_results.csv
1309,PD1053,Green River Flat,Green River Flat CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1315,EA1269,Ogden (excludes Hyrum),Ogden (Excludes Hyrum),draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1341,DB1116,HAMSS,"San Juan, Mancos Mesa",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1348,EA1278,"Manti, Ferron-Nelson Mtn","Manti, Ferron-nelson Mtn",draw_results_2025_for_2026_canonical_yearly_draw_results.csv
1349,EA1279,"Manti, Ferron-Nelson Mtn","Manti, Ferron-nelson Mtn",draw_results_2025_for_2026_canonical_yearly_draw_results.csv
1354,BI1000,Statewide,Sportsman Bison,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1355,BR1000,Statewide,Sportsman Black Bear,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1359,BR7123,Kamas/North Slope Summit,"Kamas/North Slope, Summit",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1360,BR7229,Kamas/North Slope Summit,"Kamas/North Slope, Summit",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1361,BR7321,Kamas/North Slope Summit,"Kamas/North Slope, Summit",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1362,CG9999,Statewide,Cougar - Statewide,draw_results_2025_for_2026_canonical_yearly_draw_results.csv
1363,DB0007,Statewide,Sportsman Buck Deer,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1364,DB0008,Extended Archery,Deer Extended Archery Only,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1365,DS1000,Statewide,Sportsman Desert Bighorn Sheep,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1366,EA1180,La Sal,La Sal (Conservation),draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1369,EA1270,Fishlake,Fishlake (Conservation),draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1370,EA1271,Manti,Manti (Conservation),draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1372,EA2041,Cache,Cache (Conservation),draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1373,EA2045,Wasatch Mtns,Wasatch Mtns (Conservation),draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1374,EB1000,Statewide,Sportsman Bull Elk,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1380,EB1007,Youth Any Bull Units,Youth Any Bull/Hunter's Choice Elk,draw_results_2025_for_2026_canonical_yearly_draw_results.csv
1386,GO1000,Statewide,Sportsman Mountain Goat,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1387,MB1000,Statewide,Sportsman Bull Moose,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1388,PB1000,Statewide,Sportsman Buck Pronghorn,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1389,RS0001,Statewide,Sportsman Rocky Mountain Bighorn Sheep,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1397,BR7019,Chalk Creek/East Canyon/Morgan-South Rich,Chalk Creek/east Canyon/morgan-south Rich,draw_results_2024_for_2025_canonical_yearly_draw_results.csv
1400,BI6530,"Book Cliffs, Little Creek/South","Book Cliffs, Little Creek/south",draw_results_2024_for_2025_canonical_yearly_draw_results.csv
1404,DB1082,Oquirrh-Stansbury,Oquirrh-stansbury,draw_results_2024_for_2025_canonical_yearly_draw_results.csv
1414,DB1345,Diamond Mountain,Diamond Mountain Cwmu,draw_results_2025_for_2026_canonical_yearly_draw_results.csv
1417,EA1040,"Monroe, Koosharem Valley","Antlerless Elk - Monroe, Koosharem Valley",draw_results_2024_for_2025_canonical_yearly_draw_results.csv
1418,EA1074,Pine Valley,Antlerless Elk - Pine Valley,draw_results_2024_for_2025_canonical_yearly_draw_results.csv
1419,EA1116,Zion,Antlerless Elk - Zion,draw_results_2024_for_2025_canonical_yearly_draw_results.csv
1421,EA1176,Weber Florence Creek,Weber Florence Creek/stillman Creek,draw_results_2024_for_2025_canonical_yearly_draw_results.csv
1422,EA1252,"Southwest Desert, Burbank/Garrison","Antlerless Elk - Southwest Desert, Burbank/garrison",draw_results_2024_for_2025_canonical_yearly_draw_results.csv
1426,EB3617,Diamond Mountain,Diamond Mountain Cwmu,draw_results_2025_for_2026_canonical_yearly_draw_results.csv
1427,MA1006,"Wasatch Mtns, West","Antlerless Moose - Wasatch Mtns, West",draw_results_2024_for_2025_canonical_yearly_draw_results.csv
1436,MB6254,SJ Ranch,Sj Ranch,draw_results_2024_for_2025_canonical_yearly_draw_results.csv
1442,PD1006,Parker Mtn,Doe Pronghorn - Parker Mtn,draw_results_2024_for_2025_canonical_yearly_draw_results.csv
1443,PD1016,Zane,Zane CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1445,PD1026,Pahvant Ensign,Pahvant Ensign CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1447,PD1045,The Rose of Snowville,The Rose Of Snowville,draw_results_2024_for_2025_canonical_yearly_draw_results.csv
1468,EA1301,The Dirty Dozen,The Dirty Dozen CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1469,MA1011,Beaver Hollow,Beaver Hollow CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1470,PD1011,Deseret,Deseret CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1472,PD1041,Heist,Heist CWMU,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
