row,hunt_code,database_hunt_name
1075,EL3130,Box Elder Pilot Mtn
1095,EL3000,Beaver East
1096,EL3024,Beaver East
1097,EL3025,Beaver East
1098,EL3077,Beaver East
1099,EL3158,Beaver East
1100,EL3159,Beaver East
1101,LO1611,"Beaver, East"
1102,LO1612,"Beaver, East"
1103,LO1613,"Beaver, East"
1152,LP5031,"Box Elder, West"
1163,LO1506,Fillmore
1164,LO1536,Fillmore
1165,LO1566,Fillmore
1166,LO1591,Fillmore
1180,RS1006,"Nine Mile, Gray Canyon"
1204,DB0004,Southern Navajo
1205,DB0005,Southern Navajo
1206,DB0006,Southern Navajo
1207,DB0010,Southern Paiute
1208,DB0011,Southern Paiute
1209,DB0012,Southern Paiute
1210,DB0013,Southern Paiute
1211,DB0001,Southeastern Navajo
1212,DB0002,Southeastern Navajo
1213,DB0003,Southeastern Navajo
1214,EB3128,"Box Elder, Grouse Creek"
1218,EL3147,Box Elder Grouse Creek
1219,EL3150,Box Elder Grouse Creek
1220,EL3153,Box Elder Grouse Creek
1224,EL3135,Barney Top/Kaiparowits
1225,EL3142,Barney Top/Kaiparowits
1228,EL3136,Southwest Desert North
1229,EL3143,Southwest Desert North
1237,EL3146,Southwest Desert South
1238,EL3149,Southwest Desert South
1239,EL3152,Southwest Desert South
1240,EL3155,Southwest Desert South
1241,EL3197,Southwest Desert South
1242,EL3198,Southwest Desert South
1258,TK1015,Southeastern Area
1260,TK1016,Southern Area
1262,TK1013,Northeastern Area
1264,TK1012,Central Area
1266,TK1014,Northern Area
1276,TK1020,Central Region
1284,EL3160,Book Cliffs Bitter Creek/East
1285,EL3161,Book Cliffs Bitter Creek/East
1286,EL3162,Book Cliffs Bitter Creek/East
1287,EL3163,Book Cliffs Bitter Creek/East
1288,EL3164,Book Cliffs Bitter Creek/East
1289,EL3166,Book Cliffs Bitter Creek/East
1297,EL3173,Nebo/San Pitch Mtns
1298,EL3174,Nebo/San Pitch Mtns
1299,EL3175,Nebo/San Pitch Mtns
1300,EL3176,Nebo/San Pitch Mtns
1301,EL3177,Nebo/San Pitch Mtns
1302,EL3179,Nebo/San Pitch Mtns
1321,LO1623,Cedar/Stansbury
1322,LO1624,Cedar/Stansbury
1323,LO1625,Cedar/Stansbury
1329,LO1617,"West Desert, Swasey"
1330,LO1618,"West Desert, Swasey"
1331,LO1619,"West Desert, Swasey"
1337,LO1620,Oquirrh/Tintic
1338,LO1621,Oquirrh/Tintic
1339,LO1622,Oquirrh/Tintic
1343,EB1012,Uinta Basin
1356,BR1001,Black Bear Harvest Objective Units
1357,BR1007,Black Bear Pursuit - Resident
1358,BR1018,Black Bear Pursuit - Nonresident
1375,EB1001,Any Bull Elk Units
1376,EB1002,Any Bull Elk Units
1377,EB1003,Spike Only Units
1378,EB1004,Spike Only Units
1379,EB1005,Any Bull Units
1381,EB1009,Spike Only Elk Units
1382,EB1010,Any Bull Elk Units
1383,EB1011,Youth General Season Units
1384,EB3209,"Box Elder, Pilot Mtn"
1385,EX1000,Elk Extended Archery
1390,TK1001,Northern Region
1391,TK1019,Southeastern Region - Select areas only
1392,TK1022,Southern Region - Select areas only
1393,DS1003,"Kaiparowits, Escalante East/West"
