hunt_code,candidate_extra_rows,hunt_names,species,residency_counts,points,source_files
BR7016,3,"Wasatch Mtns, West-Central",Bear Spring,Resident:3,"0, 5, 6",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7017,1,Cache/Ogden,Bear Spring,Resident:1,2,UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7022,8,La Sal Mtns,Bear Spring,Nonresident:1; Resident:7,"0, 1, 2, 3, 5, 6, 7, 9",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7100,2,Beaver,Bear Summer,Resident:2,"0, 8",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7101,6,"Book Cliffs, Bitter Creek/South",Bear Summer,Resident:6,"0, 1, 4, 6, 7, 8",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7102,1,"Book Cliffs, Little Creek Roadless",Bear Summer,Resident:1,8,UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7104,4,"Manti, North",Bear Summer,Resident:4,"1, 2, 5, 7",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7105,3,"Manti, South/San Rafael, North",Bear Summer,Resident:3,"4, 5, 9",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7106,2,Nebo,Bear Summer,Resident:2,"1, 14",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7109,1,Mt Dutton,Bear Summer,Resident:1,3,UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7110,3,Nine Mile,Bear Summer,Resident:3,"1, 4, 5",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7112,2,Panguitch Lake/Zion,Bear Summer,Resident:2,"6, 8",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7113,1,Paunsaugunt,Bear Summer,Resident:1,3,UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7114,5,Boulder/Kaiparowits,Bear Summer,Resident:5,"0, 4, 5, 6, 7",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7115,3,Fishlake/Thousand Lakes,Bear Summer,Resident:3,"1, 3, 4",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7116,9,San Juan,Bear Summer,Resident:9,"0, 1, 2, 3, 6, 7, 8, 9, 10",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7117,3,Diamond Mtn/Vernal/Bonanza,Bear Summer,Resident:3,"3, 4, 11",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7118,2,Yellowstone,Bear Summer,Resident:2,"7, 10",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7119,1,"Wasatch Mtns, Avintaquin/Currant Creek",Bear Summer,Resident:1,11,UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7120,8,"Wasatch Mtns, West-Central",Bear Summer,Resident:8,"2, 3, 5, 6, 8, 10, 13, 14",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7122,1,Chalk Creek/East Canyon/Morgan-South Rich,Bear Summer,Resident:1,6,UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7123,1,"Kamas/North Slope, Summit",Bear Summer,Resident:1,2,UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7124,1,"Fillmore, Pahvant",Bear Summer,Resident:1,4,UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7127,5,La Sal Mtns,Bear Summer,Resident:5,"1, 2, 4, 5, 6",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7200,2,Beaver,Bear Fall,Resident:2,"2, 3",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7201,1,"Book Cliffs, Bitter Creek/South",Bear Fall,Resident:1,1,UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7203,3,"Manti, North",Bear Fall,Resident:3,"1, 2, 6",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7204,6,"Manti, South/San Rafael, North",Bear Fall,Resident:6,"1, 2, 3, 7, 9, 11",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7213,1,Panguitch Lake/Zion,Bear Fall,Resident:1,1,UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7214,2,Paunsaugunt,Bear Fall,Resident:2,"0, 2",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7215,2,Boulder/Kaiparowits,Bear Fall,Resident:2,"0, 1",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7217,1,San Juan,Bear Fall,Resident:1,7,UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7218,1,Diamond Mtn/Vernal/Bonanza,Bear Fall,Resident:1,5,UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7219,1,Yellowstone,Bear Fall,Resident:1,0,UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7220,1,"Wasatch Mtns, Avintaquin/Currant Creek",Bear Fall,Resident:1,4,UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7221,4,"Wasatch Mtns, West-Central",Bear Fall,Resident:4,"1, 5, 6, 7",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7224,3,"Book Cliffs, Little Creek Roadless",Bear Spring,Nonresident:1; Resident:2,"1, 3",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7225,2,"Book Cliffs, Little Creek Roadless",Bear Spot And Stalk,Resident:2,"0, 6",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7239,3,La Sal Mtns,Bear Fall,Resident:3,"5, 8, 10",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7300,2,"Book Cliffs, Bitter Creek/South",Bear Multi-season,Resident:2,"13, 16",UtahDraws live DrawOddsData: Black Bear:Limited-Entry Multi Season
BR7303,4,"Manti, North",Bear Multi-season,Resident:4,"0, 8, 9, 14",UtahDraws live DrawOddsData: Black Bear:Limited-Entry Multi Season
BR7304,7,"Manti, South/San Rafael, North",Bear Multi-season,Resident:7,"1, 2, 3, 5, 10, 11, 12",UtahDraws live DrawOddsData: Black Bear:Limited-Entry Multi Season
BR7305,2,Nebo,Bear Multi-season,Resident:2,"3, 14",UtahDraws live DrawOddsData: Black Bear:Limited-Entry Multi Season
BR7309,2,Panguitch Lake/Zion,Bear Multi-season,Resident:2,"7, 11",UtahDraws live DrawOddsData: Black Bear:Limited-Entry Multi Season
BR7310,1,Boulder/Kaiparowits,Bear Multi-season,Resident:1,12,UtahDraws live DrawOddsData: Black Bear:Limited-Entry Multi Season
BR7311,2,Fishlake/Thousand Lakes,Bear Multi-season,Resident:2,"6, 17",UtahDraws live DrawOddsData: Black Bear:Limited-Entry Multi Season
BR7312,3,San Juan,Bear Multi-season,Resident:3,"5, 10, 16",UtahDraws live DrawOddsData: Black Bear:Limited-Entry Multi Season
BR7313,1,Diamond Mtn/Vernal/Bonanza,Bear Multi-season,Resident:1,3,UtahDraws live DrawOddsData: Black Bear:Limited-Entry Multi Season
BR7314,1,Yellowstone,Bear Multi-season,Resident:1,8,UtahDraws live DrawOddsData: Black Bear:Limited-Entry Multi Season
BR7315,1,"Wasatch Mtns, Avintaquin/Currant Creek",Bear Multi-season,Resident:1,15,UtahDraws live DrawOddsData: Black Bear:Limited-Entry Multi Season
BR7316,3,"Wasatch Mtns, West-Central",Bear Multi-season,Resident:3,"3, 13, 15",UtahDraws live DrawOddsData: Black Bear:Limited-Entry Multi Season
BR7317,1,Nine Mile,Bear Multi-season,Resident:1,1,UtahDraws live DrawOddsData: Black Bear:Limited-Entry Multi Season
BR7318,1,Beaver,Bear Multi-season,Resident:1,7,UtahDraws live DrawOddsData: Black Bear:Limited-Entry Multi Season
BR7321,1,"Kamas/North Slope, Summit",Bear Multi-season,Resident:1,9,UtahDraws live DrawOddsData: Black Bear:Limited-Entry Multi Season
BR7326,7,La Sal Mtns,Bear Multi-season,Resident:7,"0, 3, 7, 10, 12, 13, 18",UtahDraws live DrawOddsData: Black Bear:Limited-Entry Multi Season
DB0007,1,Sportsman Buck Deer,Deer,Resident:1,0,UtahDraws live DrawOddsData: Sportsman:Sportsman
DB0008,3,Deer Extended Archery Only,Deer,Nonresident:1; Resident:2,"0, 2",UtahDraws live DrawOddsData: Big Game:General-Season
DB1000,3,Henry Mtns,Deer,Nonresident:1; Resident:2,"13, 14, 17",UtahDraws live DrawOddsData: Big Game:Premium
DB1001,8,Paunsaugunt,Deer,Nonresident:1; Resident:7,"6, 8, 13, 15, 17, 18, 19, 20",UtahDraws live DrawOddsData: Big Game:Premium
DB1002,1,Antelope Island,Deer,Resident:1,22,UtahDraws live DrawOddsData: Big Game:Premium
DB1003,8,Henry Mtns,Deer,Nonresident:2; Resident:6,"2, 5, 11, 13, 15, 16, 19, 29",UtahDraws live DrawOddsData: Big Game:Premium
DB1004,17,Paunsaugunt,Deer,Nonresident:3; Resident:14,"1, 3, 5, 8, 9, 10, 12, 13, 14, 15, 17, 19, 21, 22, 23, 24",UtahDraws live DrawOddsData: Big Game:Premium
DB1005,5,Henry Mtns,Deer,Nonresident:1; Resident:4,"7, 11, 13, 14, 15",UtahDraws live DrawOddsData: Big Game:Premium
DB1006,9,Paunsaugunt,Deer,Nonresident:2; Resident:7,"0, 5, 6, 9, 11, 18, 21, 22, 28",UtahDraws live DrawOddsData: Big Game:Premium
DB1007,1,Henry Mtns,Deer,Resident:1,7,UtahDraws live DrawOddsData: Big Game:Premium
DB1008,2,Paunsaugunt,Deer,Nonresident:1; Resident:1,"11, 17",UtahDraws live DrawOddsData: Big Game:Premium
DB1009,4,Henry Mtns,Deer,Nonresident:1; Resident:3,"1, 3, 17, 19",UtahDraws live DrawOddsData: Big Game:Management
DB1010,11,Paunsaugunt,Deer,Nonresident:2; Resident:9,"1, 4, 6, 8, 9, 11, 13, 14, 15, 22",UtahDraws live DrawOddsData: Big Game:Management
DB1011,12,Book Cliffs,Deer,Nonresident:2; Resident:10,"0, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1012,6,"Fillmore, Oak Creek LE",Deer,Nonresident:1; Resident:5,"6, 8, 10, 11, 15, 16",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1014,6,"San Juan, Elk Ridge",Deer,Nonresident:1; Resident:5,"6, 8, 9, 15, 16, 25",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1015,4,Diamond Mtn,Deer,Nonresident:1; Resident:3,"5, 7, 8",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1016,8,"West Desert, Vernon",Deer,Resident:8,"1, 2, 3, 5, 6, 7, 9, 11",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1017,17,"Book Cliffs, North",Deer,Nonresident:4; Resident:13,"1, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 21",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1018,10,"Book Cliffs, South",Deer,Nonresident:1; Resident:9,"2, 3, 4, 5, 7, 9, 10, 11, 13",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1019,14,"Fillmore, Oak Creek LE",Deer,Nonresident:3; Resident:11,"3, 4, 6, 7, 8, 9, 15, 16, 17, 19, 24, 27",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1020,4,Dolores Triangle,Deer,Resident:4,"2, 6, 9, 13",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1022,13,"San Juan, Elk Ridge",Deer,Nonresident:2; Resident:11,"3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1023,13,Diamond Mtn,Deer,Nonresident:3; Resident:10,"0, 4, 5, 6, 7, 9, 10, 12, 13, 14, 18",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1024,21,"West Desert, Vernon",Deer,Nonresident:6; Resident:15,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 20",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1025,12,Book Cliffs,Deer,Nonresident:1; Resident:11,"1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 13, 17",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1026,1,"Cache, Crawford Mtn",Deer,Resident:1,8,UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1028,1,Fillmore,Deer,Resident:1,5,UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1029,5,"Fillmore, Oak Creek LE",Deer,Nonresident:1; Resident:4,"4, 13, 19, 20",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1031,2,Dolores Triangle,Deer,Resident:2,"16, 20",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1033,1,Nine Mile,Deer,Resident:1,9,UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1034,3,Pine Valley,Deer,Resident:3,"4, 6, 7",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1037,5,"San Juan, Elk Ridge",Deer,Resident:5,"2, 8, 10, 12, 15",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1038,5,Diamond Mtn,Deer,Nonresident:1; Resident:4,"1, 3, 5, 13, 19",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1039,1,Yellowstone,Deer,Resident:1,4,UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1041,7,"Wasatch Mtns, East",Deer,Resident:7,"1, 3, 4, 5, 6, 7, 8",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1042,7,"West Desert, Vernon",Deer,Resident:7,"1, 5, 6, 7, 11, 12, 14",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1043,1,Zion,Deer,Resident:1,4,UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1044,2,Book Cliffs,Deer,Nonresident:1; Resident:1,"11, 17",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1045,1,"Fillmore, Oak Creek LE",Deer,Resident:1,21,UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1047,1,Diamond Mtn,Deer,Resident:1,14,UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1048,1,"West Desert, Vernon",Deer,Resident:1,16,UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1054,5,Ogden,Deer,Resident:5,"0, 1, 3, 4, 5",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1055,3,Fishlake,Deer,Nonresident:1; Resident:2,"0, 4, 14",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1058,4,Paunsaugunt,Deer,Nonresident:1; Resident:3,"2, 3, 4",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1065,2,North Slope,Deer,Resident:2,"2, 8",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1073,4,Paunsaugunt,Deer,Nonresident:1; Resident:3,"4, 5, 6, 12",UtahDraws live DrawOddsData: Big Game:Management
DB1074,4,Paunsaugunt,Deer,Resident:4,"0, 2, 6, 8",UtahDraws live DrawOddsData: Big Game:Management
DB1077,2,Box Elder,Deer,Resident:2,"0, 4",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1078,7,Cache,Deer,Nonresident:1; Resident:6,"0, 5, 6, 8, 9, 12, 13",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1079,9,Manti/San Rafael,Deer,Nonresident:1; Resident:8,"2, 3, 4, 5, 7, 8, 9, 10",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1080,3,Nebo,Deer,Resident:3,"0, 6, 7",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1083,3,Panguitch Lake,Deer,Nonresident:1; Resident:2,"1, 8, 13",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1084,4,Boulder/Kaiparowits,Deer,Nonresident:1; Resident:3,"0, 1, 6, 7",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1085,1,"San Juan, Abajo Mtns",Deer,Resident:1,1,UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1086,2,Vernal/Bonanza,Deer,Resident:2,"1, 6",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1087,3,"Wasatch Mtns, West",Deer,Resident:3,"0, 1, 2",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1091,3,Kaiparowits HAMSS,Deer,Nonresident:1; Resident:2,"0, 12, 14",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1100,2,Chalk Creek,Deer,Resident:2,"6, 7",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1101,1,East Canyon,Deer,Resident:1,2,UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1103,3,Morgan-South Rich,Deer,Resident:3,"1, 2, 5",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1105,2,East Canyon,Deer,Resident:2,"5, 9",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1108,3,Thousand Lakes,Deer,Resident:3,"0, 1, 2",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1110,1,"Beaver, East",Deer,Resident:1,2,UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1111,1,"Beaver, West",Deer,Resident:1,11,UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1112,1,"West Desert, Swasey",Deer,Resident:1,3,UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1113,4,Oquirrh/Tintic,Deer,Resident:4,"4, 5, 8, 9",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1114,1,Cedar/Stansbury,Deer,Resident:1,7,UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1115,2,Little Rockies,Deer,Resident:2,"2, 18",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1119,3,Moab Valley,Deer,Nonresident:1; Resident:2,"1, 5, 6",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1120,3,Castle Valley,Deer,Resident:3,"0, 4, 6",UtahDraws live DrawOddsData: Big Game:Limited-Entry
DB1200,1,Alton,Deer,Resident:1,22,UtahDraws live DrawOddsData: Big Game:CWMU
DB1201,1,Alton,Deer,Resident:1,14,UtahDraws live DrawOddsData: Big Game:CWMU
DB1204,1,Bally Watts,Deer,Resident:1,16,UtahDraws live DrawOddsData: Big Game:CWMU
DB1227,1,Deer Haven,Deer,Resident:1,17,UtahDraws live DrawOddsData: Big Game:CWMU
DB1228,3,Deseret,Deer,Resident:3,"4, 16, 17",UtahDraws live DrawOddsData: Big Game:CWMU
DB1237,1,Ensign Ranches,Deer,Resident:1,1,UtahDraws live DrawOddsData: Big Game:CWMU
DB1241,1,Golden Spike,Deer,Resident:1,3,UtahDraws live DrawOddsData: Big Game:CWMU
DB1242,2,Grass Valley/Clark Canyon,Deer,Resident:2,"6, 11",UtahDraws live DrawOddsData: Big Game:CWMU
DB1248,1,Heaston East,Deer,Resident:1,17,UtahDraws live DrawOddsData: Big Game:CWMU
DB1249,1,Hiawatha,Deer,Resident:1,1,UtahDraws live DrawOddsData: Big Game:CWMU
DB1251,1,Indian Head,Deer,Resident:1,7,UtahDraws live DrawOddsData: Big Game:CWMU
DB1256,1,Junction Valley,Deer,Resident:1,7,UtahDraws live DrawOddsData: Big Game:CWMU
DB1261,1,Minnie Maud Ridge,Deer,Resident:1,10,UtahDraws live DrawOddsData: Big Game:CWMU
DB1266,1,Mt Carmel,Deer,Resident:1,13,UtahDraws live DrawOddsData: Big Game:CWMU
DB1273,2,Park Valley Hereford,Deer,Resident:2,"0, 2",UtahDraws live DrawOddsData: Big Game:CWMU
DB1275,1,Pine Canyon,Deer,Resident:1,3,UtahDraws live DrawOddsData: Big Game:CWMU
DB1280,1,Promontory Point,Deer,Resident:1,6,UtahDraws live DrawOddsData: Big Game:CWMU
DB1286,1,Pisgah Mountain,Deer,Resident:1,4,UtahDraws live DrawOddsData: Big Game:CWMU
DB1289,1,Sharp Mountain,Deer,Resident:1,4,UtahDraws live DrawOddsData: Big Game:CWMU
DB1295,1,Spring Creek/Dodge,Deer,Resident:1,5,UtahDraws live DrawOddsData: Big Game:CWMU
DB1298,1,Strawberry Ridge,Deer,Resident:1,6,UtahDraws live DrawOddsData: Big Game:CWMU
DB1300,1,Thatcher Mountain,Deer,Resident:1,6,UtahDraws live DrawOddsData: Big Game:CWMU
DB1308,1,West Hills,Deer,Resident:1,9,UtahDraws live DrawOddsData: Big Game:CWMU
DB1309,3,West Willow Creek Ranch,Deer,Resident:3,"14, 15, 16",UtahDraws live DrawOddsData: Big Game:CWMU
DB1332,1,West Ridge,Deer,Resident:1,6,UtahDraws live DrawOddsData: Big Game:CWMU
DB1337,1,Little Pole Canyon,Deer,Resident:1,3,UtahDraws live DrawOddsData: Big Game:CWMU
DB1349,1,Weber Florence Creek/Stillman Creek,Deer,Resident:1,4,UtahDraws live DrawOddsData: Big Game:CWMU
DB1501,1,Box Elder,Deer,Resident:1,0,UtahDraws live DrawOddsData: Big Game:General-Season
DB1502,1,Cache,Deer,Resident:1,0,UtahDraws live DrawOddsData: Big Game:General-Season
DB1503,3,Manti/San Rafael,Deer,Nonresident:1; Resident:2,"0, 1",UtahDraws live DrawOddsData: Big Game:General-Season
DB1504,1,Nebo,Deer,Resident:1,0,UtahDraws live DrawOddsData: Big Game:General-Season
DB1506,3,Fillmore,Deer,Nonresident:1; Resident:2,"0, 1",UtahDraws live DrawOddsData: Big Game:General-Season
DB1508,2,Kamas,Deer,Resident:2,"0, 1",UtahDraws live DrawOddsData: Big Game:General-Season
DB1509,1,"La Sal, La Sal Mtns",Deer,Resident:1,0,UtahDraws live DrawOddsData: Big Game:General-Season
DB1510,2,Monroe,Deer,Resident:2,"0, 1",UtahDraws live DrawOddsData: Big Game:General-Season
DB1511,1,Mt Dutton,Deer,Resident:1,1,UtahDraws live DrawOddsData: Big Game:General-Season
DB1512,4,Nine Mile,Deer,Nonresident:3; Resident:1,"2, 4, 5",C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf
DB1513,2,North Slope,Deer,Resident:2,"0, 1",UtahDraws live DrawOddsData: Big Game:General-Season
DB1514,1,Ogden,Deer,Resident:1,1,UtahDraws live DrawOddsData: Big Game:General-Season
DB1516,5,Panguitch Lake,Deer,Nonresident:2; Resident:3,"0, 1, 2, 5",UtahDraws live DrawOddsData: Big Game:General-Season
DB1517,3,Pine Valley,Deer,Nonresident:1; Resident:2,"0, 3",UtahDraws live DrawOddsData: Big Game:General-Season
DB1518,3,Boulder/Kaiparowits,Deer,Nonresident:1; Resident:2,"0, 1",UtahDraws live DrawOddsData: Big Game:General-Season
DB1519,3,Fishlake,Deer,Nonresident:1; Resident:2,"0, 1",UtahDraws live DrawOddsData: Big Game:General-Season
DB1521,5,"San Juan, Abajo Mtns",Deer,Nonresident:2; Resident:3,"0, 1, 2",UtahDraws live DrawOddsData: Big Game:General-Season
DB1522,4,Vernal/Bonanza,Deer,Resident:4,"0, 1, 2, 4",UtahDraws live DrawOddsData: Big Game:General-Season
