year,model_year,hunt_code,hunt_name,species,hunt_type,draw_design,residency,applicants_total,bonus_permits,regular_permits,permits_total,success_ratio,success_rate,record_type,source_file,source_scope,source_pdf_page
2021,2022,DB1014,"Limited-entry Archery Buck Deer - San Juan, Elk Ridge - Archery",ELK,L.E.,BONUS_POINT,Nonresident,271,0,1,1,1 in 271.0,0.36900369,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,16
2021,2022,DB1015,"Limited-entry Archery Buck Deer - South Slope, Diamond Mtn - Archery",DEER,L.E.,BONUS_POINT,Resident,292,9,8,17,1 in 17.2,5.81395349,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,17
2021,2022,DB1015,"Limited-entry Archery Buck Deer - South Slope, Diamond Mtn - Archery",DEER,L.E.,BONUS_POINT,Nonresident,114,1,1,2,1 in 57.0,1.75438596,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,17
2021,2022,DB1016,"Limited-entry Archery Buck Deer - West Desert, Vernon - Archery",DEER,L.E.,BONUS_POINT,Resident,386,20,20,40,1 in 9.7,10.30927835,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,18
2021,2022,DB1016,"Limited-entry Archery Buck Deer - West Desert, Vernon - Archery",DEER,L.E.,BONUS_POINT,Nonresident,129,2,2,4,1 in 32.3,3.09597523,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,18
2021,2022,DB1017,"Limited-entry Alw (rifle) Buck Deer - Book Cliffs, North - Any Legal Weapon",DEER,L.E.,BONUS_POINT,Resident,2427,51,51,102,1 in 23.8,4.20168067,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,19
2021,2022,DB1017,"Limited-entry Alw (rifle) Buck Deer - Book Cliffs, North - Any Legal Weapon",DEER,L.E.,BONUS_POINT,Nonresident,811,5,4,9,1 in 90.1,1.10987791,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,19
2021,2022,DB1018,"Limited-entry Alw (rifle) Buck Deer - Book Cliffs, South - Any Legal Weapon",DEER,L.E.,BONUS_POINT,Resident,793,12,12,24,1 in 33.0,3.03030303,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,20
2021,2022,DB1018,"Limited-entry Alw (rifle) Buck Deer - Book Cliffs, South - Any Legal Weapon",DEER,L.E.,BONUS_POINT,Nonresident,285,1,1,2,1 in 142.5,0.70175439,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,20
2021,2022,DB1019,"Limited-entry Alw (rifle) Buck Deer - Fillmore, Oak Creek Le - Any Legal Weapon",DEER,L.E.,BONUS_POINT,Resident,2088,10,10,20,1 in 104.4,0.95785441,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,21
2021,2022,DB1019,"Limited-entry Alw (rifle) Buck Deer - Fillmore, Oak Creek Le - Any Legal Weapon",DEER,L.E.,BONUS_POINT,Nonresident,965,1,1,2,1 in 482.5,0.20725389,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,21
2021,2022,DB1020,"Limited-entry Alw (rifle) Buck Deer - La Sal, Dolores Triangle - Any Legal Weapon",DEER,L.E.,BONUS_POINT,Resident,543,5,5,10,1 in 54.3,1.84162063,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,22
2021,2022,DB1020,"Limited-entry Alw (rifle) Buck Deer - La Sal, Dolores Triangle - Any Legal Weapon",DEER,L.E.,BONUS_POINT,Nonresident,512,0,1,1,1 in 512.0,0.1953125,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,22
2021,2022,DB1022,"Limited-entry Alw (rifle) Buck Deer - San Juan, Elk Ridge - Any Legal Weapon",ELK,L.E.,BONUS_POINT,Resident,872,15,15,30,1 in 29.1,3.43642612,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,23
2021,2022,DB1022,"Limited-entry Alw (rifle) Buck Deer - San Juan, Elk Ridge - Any Legal Weapon",ELK,L.E.,BONUS_POINT,Nonresident,512,2,1,3,1 in 170.7,0.58582308,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,23
2021,2022,DB1023,"Limited-entry Alw (rifle) Buck Deer - South Slope, Diamond Mtn - Any Legal Weapon",DEER,L.E.,BONUS_POINT,Resident,1337,24,24,48,1 in 27.9,3.58422939,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,24
2021,2022,DB1023,"Limited-entry Alw (rifle) Buck Deer - South Slope, Diamond Mtn - Any Legal Weapon",DEER,L.E.,BONUS_POINT,Nonresident,314,3,2,5,1 in 62.8,1.59235669,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,24
