year,model_year,hunt_code,hunt_name,species,hunt_type,draw_design,residency,point_level,applicants,bonus_permits,regular_permits,permits,success_ratio,success_rate,record_type,source_file,source_scope,source_pdf_page,point_label
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Nonresident,16,8,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Resident,15,11,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Nonresident,15,9,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Resident,14,22,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Nonresident,14,7,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Resident,13,17,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Nonresident,13,13,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Resident,12,25,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Nonresident,12,110,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Resident,11,22,0,1,1,1 in 22.0,4.54545455,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Nonresident,11,44,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
