"source","year","title","status","bytes","file","url","error"
"utah_wildlife_biggame_odds_archive","2024","Youth Dedicated Hunter deer draw results","ok","181643","older_years_biggame_odds/2024/24_youth_dh_odds.pdf","https://wildlife.utah.gov/pdf/bg/2024/24_youth_dh_odds.pdf",""
"utah_wildlife_biggame_odds_archive","2024","Sportsman draw odds report","ok","113472","older_years_biggame_odds/2024/24-25_sportsman_odds.pdf","https://wildlife.utah.gov/pdf/bg/2024/24-25_sportsman_odds.pdf",""
"utah_wildlife_biggame_odds_archive","2023","General-season deer draw results","ok","463470","older_years_biggame_odds/2023/23_deer_odds.pdf","https://wildlife.utah.gov/pdf/bg/2023/23_deer_odds.pdf",""
"utah_wildlife_biggame_odds_archive","2023","Lifetime general-season deer draw results","ok","412919","older_years_biggame_odds/2023/23_lifetime_deer.pdf","https://wildlife.utah.gov/pdf/bg/2023/23_lifetime_deer.pdf",""
"utah_wildlife_biggame_odds_archive","2023","Youth general-season deer draw results","ok","439421","older_years_biggame_odds/2023/23_youth_deer.pdf","https://wildlife.utah.gov/pdf/bg/2023/23_youth_deer.pdf",""
"utah_wildlife_biggame_odds_archive","2023","Youth draw-only elk bonus point draw results","ok","76712","older_years_biggame_odds/2023/23_youth_elk.pdf","https://wildlife.utah.gov/pdf/bg/2023/23_youth_elk.pdf",""
"utah_wildlife_biggame_odds_archive","2023","Big game limited-entry & once-in-a-lifetime draw results","ok","3041049","older_years_biggame_odds/2023/23_bg-odds.pdf","https://wildlife.utah.gov/pdf/bg/2023/23_bg-odds.pdf",""
"utah_wildlife_biggame_odds_archive","2023","Antlerless big game draw results","ok","770790","older_years_biggame_odds/2023/23_antlerless_drawing_odds_report.pdf","https://wildlife.utah.gov/pdf/bg/2023/23_antlerless_drawing_odds_report.pdf",""
"utah_wildlife_biggame_odds_archive","2023","Youth antlerless big game draw results","ok","689163","older_years_biggame_odds/2023/23_youth_antlerless_drawing_odds_report.pdf","https://wildlife.utah.gov/pdf/bg/2023/23_youth_antlerless_drawing_odds_report.pdf",""
"utah_wildlife_biggame_odds_archive","2023","Big game and antlerless bonus and preference point purchase results","ok","94525","older_years_biggame_odds/2023/23_point-only_purchases_for_big_game_and_antlerless.pdf","https://wildlife.utah.gov/pdf/bg/2023/23_point-only_purchases_for_big_game_and_antlerless.pdf",""
"utah_wildlife_biggame_odds_archive","2023","Youth draw-only elk bonus point draw results","ok","76712","older_years_biggame_odds/2023/23_youth_elk__dup2.pdf","https://wildlife.utah.gov/pdf/bg/2023/23_youth_elk.pdf",""
"utah_wildlife_biggame_odds_archive","2023","Dedicated Hunter deer draw results","ok","179888","older_years_biggame_odds/2023/23_dh_odds.pdf","https://wildlife.utah.gov/pdf/bg/2023/23_dh_odds.pdf",""
"utah_wildlife_biggame_odds_archive","2023","Youth Dedicated Hunter deer draw results","ok","148486","older_years_biggame_odds/2023/23_youth_dh_odds.pdf","https://wildlife.utah.gov/pdf/bg/2023/23_youth_dh_odds.pdf",""
"utah_wildlife_biggame_odds_archive","2023","Sportsman draw odds report","ok","102242","older_years_biggame_odds/2023/23-24_sportsman_odds.pdf","https://wildlife.utah.gov/pdf/bg/2023/23-24_sportsman_odds.pdf",""
"utah_wildlife_biggame_odds_archive","2022","General-season buck deer draw results","ok","1500660","older_years_biggame_odds/2022/22_deer_odds.pdf","https://wildlife.utah.gov/pdf/bg/2022/22_deer_odds.pdf",""
"utah_wildlife_biggame_odds_archive","2022","Lifetime general-season deer draw results","ok","1354334","older_years_biggame_odds/2022/22_lifetime_deer.pdf","https://wildlife.utah.gov/pdf/bg/2022/22_lifetime_deer.pdf",""
"utah_wildlife_biggame_odds_archive","2022","Youth draw-only elk bonus point draw results","ok","89441","older_years_biggame_odds/2022/22_youth_bull_elk.pdf","https://wildlife.utah.gov/pdf/bg/2022/22_youth_bull_elk.pdf",""
"utah_wildlife_biggame_odds_archive","2022","Youth general-season deer draw results","ok","1428906","older_years_biggame_odds/2022/22_youth_deer.pdf","https://wildlife.utah.gov/pdf/bg/2022/22_youth_deer.pdf",""
"utah_wildlife_biggame_odds_archive","2022","Big game limited-entry & once-in-a-lifetime draw results","ok","2858441","older_years_biggame_odds/2022/22_bg-odds.pdf","https://wildlife.utah.gov/pdf/bg/2022/22_bg-odds.pdf",""
"utah_wildlife_biggame_odds_archive","2022","Antlerless big game draw results","ok","2903402","older_years_biggame_odds/2022/22_antlerless_drawing_odds_report.pdf","https://wildlife.utah.gov/pdf/bg/2022/22_antlerless_drawing_odds_report.pdf",""
