source_row,raw_title,family,hunt_type_raw,weapon_or_condition_raw,hunt_name_raw,permits_total
33,"Bull Elk - Limited Entry - Archery - Cache, South",Bull Elk,Limited Entry,Archery,"Cache, South",1
34,Bull Elk - Limited Entry - Any Legal Weapon (early) - Diamond Mtn,Bull Elk,Limited Entry,Any Legal Weapon (early),Diamond Mtn,1
35,Bull Elk - Limited Entry - Any Legal Weapon (mid) - Diamond Mtn,Bull Elk,Limited Entry,Any Legal Weapon (mid),Diamond Mtn,1
36,Bull Elk - Limited Entry - Archery - Diamond Mtn,Bull Elk,Limited Entry,Archery,Diamond Mtn,1
37,Bull Elk - Limited Entry - Any Legal Weapon (early) - Manti,Bull Elk,Limited Entry,Any Legal Weapon (early),Manti,2
38,Bull Elk - Limited Entry - Any Legal Weapon (mid) - Manti,Bull Elk,Limited Entry,Any Legal Weapon (mid),Manti,5
39,Bull Elk - Limited Entry - Any Legal Weapon (late) - Manti,Bull Elk,Limited Entry,Any Legal Weapon (late),Manti,3
40,Bull Elk - Limited Entry - Archery - Manti,Bull Elk,Limited Entry,Archery,Manti,3
41,Bull Elk - Limited Entry - Muzzleloader - Manti,Bull Elk,Limited Entry,Muzzleloader,Manti,3
42,Bull Elk - Limited Entry - Any Legal Weapon (early) - Nebo/San Pitch Mtns,Bull Elk,Limited Entry,Any Legal Weapon (early),Nebo/San Pitch Mtns,1
43,Bull Elk - Limited Entry - Any Legal Weapon (mid) - Nebo/San Pitch Mtns,Bull Elk,Limited Entry,Any Legal Weapon (mid),Nebo/San Pitch Mtns,1
44,Bull Elk - Limited Entry - Archery - Nebo/San Pitch Mtns,Bull Elk,Limited Entry,Archery,Nebo/San Pitch Mtns,1
45,"Bull Elk - Limited Entry - Any Legal Weapon (late) - Fillmore, Pahvant",Bull Elk,Limited Entry,Any Legal Weapon (late),"Fillmore, Pahvant",1
46,"Bull Elk - Limited Entry - Archery - Fillmore, Pahvant",Bull Elk,Limited Entry,Archery,"Fillmore, Pahvant",1
47,"Bull Elk - Limited Entry - Any Legal Weapon (early) - La Sal, La Sal Mtns",Bull Elk,Limited Entry,Any Legal Weapon (early),"La Sal, La Sal Mtns",1
48,"Bull Elk - Limited Entry - Any Legal Weapon (mid) - La Sal, La Sal Mtns",Bull Elk,Limited Entry,Any Legal Weapon (mid),"La Sal, La Sal Mtns",2
49,"Bull Elk - Limited Entry - Any Legal Weapon (late) - La Sal, La Sal Mtns",Bull Elk,Limited Entry,Any Legal Weapon (late),"La Sal, La Sal Mtns",1
50,"Bull Elk - Limited Entry - Archery - La Sal, La Sal Mtns",Bull Elk,Limited Entry,Archery,"La Sal, La Sal Mtns",1
51,Bull Elk - Limited Entry - Any Legal Weapon (mid) - Mt Dutton,Bull Elk,Limited Entry,Any Legal Weapon (mid),Mt Dutton,1
52,Bull Elk - Limited Entry - Any Legal Weapon (late) - Mt Dutton,Bull Elk,Limited Entry,Any Legal Weapon (late),Mt Dutton,1
53,Bull Elk - Limited Entry - Archery - Mt Dutton,Bull Elk,Limited Entry,Archery,Mt Dutton,1
54,Bull Elk - Limited Entry - Any Legal Weapon (early) - Panguitch Lake,Bull Elk,Limited Entry,Any Legal Weapon (early),Panguitch Lake,1
55,Bull Elk - Limited Entry - Any Legal Weapon (mid) - Panguitch Lake,Bull Elk,Limited Entry,Any Legal Weapon (mid),Panguitch Lake,1
56,Bull Elk - Limited Entry - Archery - Panguitch Lake,Bull Elk,Limited Entry,Archery,Panguitch Lake,1
57,Bull Elk - Limited Entry - Any Legal Weapon (early) - Boulder,Bull Elk,Limited Entry,Any Legal Weapon (early),Boulder,1
58,Bull Elk - Limited Entry - Any Legal Weapon (mid) - Boulder,Bull Elk,Limited Entry,Any Legal Weapon (mid),Boulder,2
59,Bull Elk - Limited Entry - Archery - Boulder,Bull Elk,Limited Entry,Archery,Boulder,1
60,Bull Elk - Limited Entry - Any Legal Weapon (early) - Fishlake/Thousand Lakes,Bull Elk,Limited Entry,Any Legal Weapon (early),Fishlake/Thousand Lakes,2
61,Bull Elk - Limited Entry - Any Legal Weapon (mid) - Fishlake/Thousand Lakes,Bull Elk,Limited Entry,Any Legal Weapon (mid),Fishlake/Thousand Lakes,5
62,Bull Elk - Limited Entry - Any Legal Weapon (late) - Fishlake/Thousand Lakes,Bull Elk,Limited Entry,Any Legal Weapon (late),Fishlake/Thousand Lakes,2
63,Bull Elk - Limited Entry - Archery - Fishlake/Thousand Lakes,Bull Elk,Limited Entry,Archery,Fishlake/Thousand Lakes,3
64,Bull Elk - Limited Entry - Muzzleloader - Fishlake/Thousand Lakes,Bull Elk,Limited Entry,Muzzleloader,Fishlake/Thousand Lakes,1
65,Bull Elk - Limited Entry - Any Legal Weapon (early) - San Juan Bull Elk,Bull Elk,Limited Entry,Any Legal Weapon (early),San Juan Bull Elk,1
66,Bull Elk - Limited Entry - Any Legal Weapon (mid) - San Juan Bull Elk,Bull Elk,Limited Entry,Any Legal Weapon (mid),San Juan Bull Elk,1
67,Bull Elk - Limited Entry - Archery - San Juan Bull Elk,Bull Elk,Limited Entry,Archery,San Juan Bull Elk,1
68,"Bull Elk - Limited Entry - Any Legal Weapon (early) - Southwest Desert, South",Bull Elk,Limited Entry,Any Legal Weapon (early),"Southwest Desert, South",1
69,"Bull Elk - Limited Entry - Any Legal Weapon (mid) - Southwest Desert, South",Bull Elk,Limited Entry,Any Legal Weapon (mid),"Southwest Desert, South",2
70,"Bull Elk - Limited Entry - Any Legal Weapon (late) - Southwest Desert, South",Bull Elk,Limited Entry,Any Legal Weapon (late),"Southwest Desert, South",1
71,"Bull Elk - Limited Entry - Archery - Southwest Desert, South",Bull Elk,Limited Entry,Archery,"Southwest Desert, South",1
72,Bull Elk - Limited Entry - Any Legal Weapon (early) - Wasatch Mtns,Bull Elk,Limited Entry,Any Legal Weapon (early),Wasatch Mtns,3
73,Bull Elk - Limited Entry - Any Legal Weapon (mid) - Wasatch Mtns,Bull Elk,Limited Entry,Any Legal Weapon (mid),Wasatch Mtns,4
74,Bull Elk - Limited Entry - Any Legal Weapon (late) - Wasatch Mtns,Bull Elk,Limited Entry,Any Legal Weapon (late),Wasatch Mtns,3
75,Bull Elk - Limited Entry - Archery - Wasatch Mtns,Bull Elk,Limited Entry,Archery,Wasatch Mtns,5
76,Bull Elk - Limited Entry - Archery (late) - Wasatch Mtns,Bull Elk,Limited Entry,Archery (late),Wasatch Mtns,1
77,Bull Elk - Limited Entry - Muzzleloader - Wasatch Mtns,Bull Elk,Limited Entry,Muzzleloader,Wasatch Mtns,4
78,Bull Elk - Limited Entry - Multi-Season - Wasatch Mtns,Bull Elk,Limited Entry,Multi-Season,Wasatch Mtns,1
79,Antlerless Elk - General Season - Any Open Season and Unit Within Boundary - Manti,Antlerless Elk,General Season,Any Open Season and Unit Within Boundary,Manti,3
80,Antlerless Elk - General Season - Any Open Season and Unit Within Boundary - La Sal,Antlerless Elk,General Season,Any Open Season and Unit Within Boundary,La Sal,1
81,Antlerless Elk - General Season - Any Open Season and Unit Within Boundary - Fishlake/Thousand Lakes,Antlerless Elk,General Season,Any Open Season and Unit Within Boundary,Fishlake/Thousand Lakes,1
82,Buck Pronghorn - Limited Entry - Any Legal Weapon - Beaver,Buck Pronghorn,Limited Entry,Any Legal Weapon,Beaver,1
83,"Buck Pronghorn - Limited Entry - Any Legal Weapon - Book Cliffs, Bitter Creek",Buck Pronghorn,Limited Entry,Any Legal Weapon,"Book Cliffs, Bitter Creek",1
84,Buck Pronghorn - Limited Entry - Any Legal Weapon - Diamond Mtn/Bonanza,Buck Pronghorn,Limited Entry,Any Legal Weapon,Diamond Mtn/Bonanza,3
85,"Buck Pronghorn - Limited Entry - Any Legal Weapon - Fillmore, Oak Creek South",Buck Pronghorn,Limited Entry,Any Legal Weapon,"Fillmore, Oak Creek South",2
86,"Buck Pronghorn - Limited Entry - Archery - Fillmore, Oak Creek South",Buck Pronghorn,Limited Entry,Archery,"Fillmore, Oak Creek South",1
87,Buck Pronghorn - Limited Entry - Any Legal Weapon - Mt Dutton/Paunsaugunt,Buck Pronghorn,Limited Entry,Any Legal Weapon,Mt Dutton/Paunsaugunt,1
88,"Buck Pronghorn - Limited Entry - Any Legal Weapon - Nine Mile, Anthro-Myton Bench",Buck Pronghorn,Limited Entry,Any Legal Weapon,"Nine Mile, Anthro-Myton Bench",3
89,"Buck Pronghorn - Limited Entry - Archery - Nine Mile, Anthro-Myton Bench",Buck Pronghorn,Limited Entry,Archery,"Nine Mile, Anthro-Myton Bench",1
90,"Buck Pronghorn - Limited Entry - Muzzleloader - Nine Mile, Anthro-Myton Bench",Buck Pronghorn,Limited Entry,Muzzleloader,"Nine Mile, Anthro-Myton Bench",1
91,Buck Pronghorn - Limited Entry - Any Legal Weapon - Parker Mtn,Buck Pronghorn,Limited Entry,Any Legal Weapon,Parker Mtn,2
92,Buck Pronghorn - Limited Entry - Archery - Parker Mtn,Buck Pronghorn,Limited Entry,Archery,Parker Mtn,1
93,Buck Pronghorn - Limited Entry - Any Legal Weapon - Pine Valley,Buck Pronghorn,Limited Entry,Any Legal Weapon,Pine Valley,1
94,"Buck Pronghorn - Limited Entry - Any Legal Weapon - San Rafael, North",Buck Pronghorn,Limited Entry,Any Legal Weapon,"San Rafael, North",4
95,"Buck Pronghorn - Limited Entry - Archery - San Rafael, North",Buck Pronghorn,Limited Entry,Archery,"San Rafael, North",1
96,"Buck Pronghorn - Limited Entry - Muzzleloader - San Rafael, North",Buck Pronghorn,Limited Entry,Muzzleloader,"San Rafael, North",1
97,Buck Pronghorn - Limited Entry - Any Legal Weapon - Southwest Desert,Buck Pronghorn,Limited Entry,Any Legal Weapon,Southwest Desert,3
98,Buck Pronghorn - Limited Entry - Archery - Southwest Desert,Buck Pronghorn,Limited Entry,Archery,Southwest Desert,1
99,Buck Pronghorn - Limited Entry - Muzzleloader - Southwest Desert,Buck Pronghorn,Limited Entry,Muzzleloader,Southwest Desert,1
100,"Buck Pronghorn - Limited Entry - Any Legal Weapon - West Desert, Riverbed",Buck Pronghorn,Limited Entry,Any Legal Weapon,"West Desert, Riverbed",1
101,Bull Moose - Once-in-a-lifetime - - Wasatch Mtns/Central Mtns,Bull Moose,Once-in-a-lifetime,- Wasatch Mtns/Central Mtns,- Wasatch Mtns/Central Mtns,2
102,"Bison - Once-in-a-lifetime - - Book Cliffs, Little Creek/South - Hunters Choice",Bison,Once-in-a-lifetime,"- Book Cliffs, Little Creek/South",Hunters Choice,1
103,Bison - Once-in-a-lifetime - - Henry Mtns - Hunters Choice (early),Bison,Once-in-a-lifetime,- Henry Mtns,Hunters Choice (early),1
104,"Bison - Once-in-a-lifetime - - Book Cliffs, Bitter Creek - Cow Only",Bison,Once-in-a-lifetime,"- Book Cliffs, Bitter Creek",Cow Only,1
105,Bison - Once-in-a-lifetime - - Henry Mtns - Cow Only (early),Bison,Once-in-a-lifetime,- Henry Mtns,Cow Only (early),1
106,"Black Bear - Limited Entry - Summer, Any Legal Weapon, No Dogs - Wasatch Mtns, West-Central",Black Bear,Limited Entry,"Summer, Any Legal Weapon, No Dogs","Wasatch Mtns, West-Central",2
107,"Black Bear - Limited Entry - Spring, Any Legal Weapon, No Bait - La Sal",Black Bear,Limited Entry,"Spring, Any Legal Weapon, No Bait",La Sal,2
108,"Black Bear - Limited Entry - Fall, Any Legal Weapon - Nine Mile",Black Bear,Limited Entry,"Fall, Any Legal Weapon",Nine Mile,1
109,"Black Bear - Limited Entry - Fall, Any Legal Weapon - Boulder/Kaiparowits",Black Bear,Limited Entry,"Fall, Any Legal Weapon",Boulder/Kaiparowits,1
110,"Black Bear - Limited Entry - Spring, Any Legal Weapon, No Bait - Book Cliffs, Bitter Creek/South",Black Bear,Limited Entry,"Spring, Any Legal Weapon, No Bait","Book Cliffs, Bitter Creek/South",1
111,"Black Bear - Limited Entry - Spring, Any Legal Weapon, No Bait - Diamond Mtn/Vernal/Bonanza",Black Bear,Limited Entry,"Spring, Any Legal Weapon, No Bait",Diamond Mtn/Vernal/Bonanza,1
112,"Black Bear - Limited Entry - Spring, Any Legal Weapon, No Bait - Manti North",Black Bear,Limited Entry,"Spring, Any Legal Weapon, No Bait",Manti North,1
113,"Black Bear - Limited Entry - Spring, Any Legal Weapon, No Bait - Nebo",Black Bear,Limited Entry,"Spring, Any Legal Weapon, No Bait",Nebo,1
114,"Black Bear - Limited Entry - Spring, Any Legal Weapon, No Bait - San Juan",Black Bear,Limited Entry,"Spring, Any Legal Weapon, No Bait",San Juan,2
115,"Desert Bighorn Sheep - Once-in-a-lifetime - - Kaiparowits, East",Desert Bighorn Sheep,Once-in-a-lifetime,"- Kaiparowits, East","- Kaiparowits, East",1
116,"Desert Bighorn Sheep - Once-in-a-lifetime - - San Rafael, North",Desert Bighorn Sheep,Once-in-a-lifetime,"- San Rafael, North","- San Rafael, North",1
117,"Rocky Mtn. Bighorn Sheep - Once-in-a-lifetime - - Box Elder, Newfoundland Mtn (early)",Rocky Mtn. Bighorn Sheep,Once-in-a-lifetime,"- Box Elder, Newfoundland Mtn (early)","- Box Elder, Newfoundland Mtn (early)",1
118,"Rocky Mtn. Bighorn Sheep - Once-in-a-lifetime - - Fillmore, Oak Creek (early)",Rocky Mtn. Bighorn Sheep,Once-in-a-lifetime,"- Fillmore, Oak Creek (early)","- Fillmore, Oak Creek (early)",1
119,Mountain Goat - Once-in-a-lifetime - Hunter Choice Archery - Nebo,Mountain Goat,Once-in-a-lifetime,Hunter Choice Archery,Nebo,1
120,Mountain Goat - Once-in-a-lifetime - Hunter Choice - Beaver Early,Mountain Goat,Once-in-a-lifetime,Hunter Choice,Beaver Early,1
121,"Turkey - Public Lands - Spring, Limited Entry - Northern Area",Turkey,Public Lands,"Spring, Limited Entry",Northern Area,2
122,"Turkey - Public Lands - Spring, Limited Entry - Northeastern Area",Turkey,Public Lands,"Spring, Limited Entry",Northeastern Area,1
123,"Turkey - Public Lands - Spring, Limited Entry - Central Area",Turkey,Public Lands,"Spring, Limited Entry",Central Area,1
124,"Turkey - Public Lands - Spring, Limited Entry - Southern Area",Turkey,Public Lands,"Spring, Limited Entry",Southern Area,2
125,"Turkey - Public Lands - Spring, Limited Entry - Southeastern Area",Turkey,Public Lands,"Spring, Limited Entry",Southeastern Area,1
