page,hunt_code,raw_before_code,raw_after_code,raw_line
25,EA1266,"Box Elder, Hansel Mtn","Aug. 1, 2026–Jan. 31, 2027","Box Elder, Hansel Mtn EA1266 Aug. 1, 2026–Jan. 31, 2027"
25,EA1203,"Box Elder, Pilot Mtn",Aug. 1–15,"Box Elder, Pilot Mtn EA1203 Aug. 1–15"
25,EA1204,"Box Elder, Pilot Mtn",Oct. 10–31,"Box Elder, Pilot Mtn EA1204 Oct. 10–31"
25,EA1267,Cache,Oct. 3–25,Cache EA1267 Oct. 3–25
25,EA1010,"Cache, Rich",Oct. 3–25,"Cache, Rich EA1010 Oct. 3–25"
25,EA1193,"Cache, Rich","Nov. 14, 2026–Jan. 15, 2027","Cache, Rich EA1193 Nov. 14, 2026–Jan. 15, 2027"
25,EA1011,"Cache, Richards Hollow",Nov. 14–Dec. 31,"Cache, Richards Hollow EA1011 Nov. 14–Dec. 31"
25,EA1026,Chalk Creek,"Nov. 7, 2026–Jan. 30, 2027","Chalk Creek EA1026 Nov. 7, 2026–Jan. 30, 2027"
26,EA1089,Diamond Mtn,Oct. 31–Nov. 8,Diamond Mtn EA1089 Oct. 31–Nov. 8
26,EA1090,Diamond Mtn,Nov. 14–22,Diamond Mtn EA1090 Nov. 14–22
26,EA1037,Dolores Triangle,"Dec. 12, 2026–Jan. 31, 2027","Dolores Triangle EA1037 Dec. 12, 2026–Jan. 31, 2027"
26,EA1236,East Canyon,"Dec. 1, 2026–Jan. 11, 2027","East Canyon EA1236 Dec. 1, 2026–Jan. 11, 2027"
26,EA1272,"East Canyon, East","Dec. 1, 2026–Jan. 31, 2027","East Canyon, East EA1272 Dec. 1, 2026–Jan. 31, 2027"
26,EA1209,"Fillmore, Oak Creek LE","Nov. 14, 2026–Jan. 29, 2027","Fillmore, Oak Creek LE EA1209 Nov. 14, 2026–Jan. 29, 2027"
26,EA1030,"Fillmore, Pahvant",Nov. 14–Dec. 5,"Fillmore, Pahvant EA1030 Nov. 14–Dec. 5"
26,EA1031,"Fillmore, Pahvant","Dec. 12, 2026–Jan. 29, 2027","Fillmore, Pahvant EA1031 Dec. 12, 2026–Jan. 29, 2027"
26,EA1078,Fishlake/Thousand Lakes,Oct. 3–15,Fishlake/Thousand Lakes EA1078 Oct. 3–15
26,EA1079,Fishlake/Thousand Lakes East,Nov. 21–Dec. 30,Fishlake/Thousand Lakes East EA1079 Nov. 21–Dec. 30
26,EA1080,Fishlake/Thousand Lakes West,Nov. 21–Dec. 30,Fishlake/Thousand Lakes West EA1080 Nov. 21–Dec. 30
26,EA1033,Kamas,"Nov. 7, 2026–Jan. 17, 2027","Kamas EA1033 Nov. 7, 2026–Jan. 17, 2027"
26,EA1035,"Kamas, Oakley",Nov. 7–Dec. 30,"Kamas, Oakley EA1035 Nov. 7–Dec. 30"
26,EA1038,La Sal Mtns,Oct. 3–15,La Sal Mtns EA1038 Oct. 3–15
26,EA1039,La Sal Mtns,Nov. 19–Dec. 31,La Sal Mtns EA1039 Nov. 19–Dec. 31
26,EA1237,"La Sal Mtns, North",Nov. 19–Dec. 31,"La Sal Mtns, North EA1237 Nov. 19–Dec. 31"
26,EA1013,"Manti, Central",Oct. 3–15,"Manti, Central EA1013 Oct. 3–15"
26,EA1015,"Manti, Ferron Canyon",Oct. 3–15,"Manti, Ferron Canyon EA1015 Oct. 3–15"
26,EA1288,"Manti, Ferron Lower Escarpment (new)",Sept. 16–Nov. 13,"Manti, Ferron Lower Escarpment (new) EA1288 Sept. 16–Nov. 13"
26,EA1289,"Manti, Ferron Lower Escarpment (new)",Nov. 14–Dec. 21,"Manti, Ferron Lower Escarpment (new) EA1289 Nov. 14–Dec. 21"
26,EA1290,"Manti, Ferron Lower Escarpment (new)","Dec. 22, 2026–Jan. 31, 2027","Manti, Ferron Lower Escarpment (new) EA1290 Dec. 22, 2026–Jan. 31, 2027"
26,EA1017,"Manti, Gordon Creek-Price Canyon","Nov. 25, 2026–Jan. 31, 2027","Manti, Gordon Creek-Price Canyon EA1017 Nov. 25, 2026–Jan. 31, 2027"
26,EA1018,"Manti, Horn Mtn",Nov. 19–Dec. 31,"Manti, Horn Mtn EA1018 Nov. 19–Dec. 31"
26,EA1020,"Manti, Mohrland-Stump Flat","Nov. 25, 2026–Jan. 31, 2027","Manti, Mohrland-Stump Flat EA1020 Nov. 25, 2026–Jan. 31, 2027"
26,EA1022,"Manti, North",Oct. 3–15,"Manti, North EA1022 Oct. 3–15"
26,EA1023,"Manti, South",Oct. 3–15,"Manti, South EA1023 Oct. 3–15"
26,EA1024,"Manti, South","Nov. 19, 2026–Jan. 31, 2027","Manti, South EA1024 Nov. 19, 2026–Jan. 31, 2027"
26,EA1025,"Manti, West","Nov. 19, 2026–Jan. 31, 2027","Manti, West EA1025 Nov. 19, 2026–Jan. 31, 2027"
26,EA1286,Monroe,Oct. 3–15,Monroe EA1286 Oct. 3–15
26,EA1228,Morgan-South Rich,Dec. 1–21,Morgan-South Rich EA1228 Dec. 1–21
27,EA1229,Morgan-South Rich,"Dec. 22, 2026–Jan. 31, 2027","Morgan-South Rich EA1229 Dec. 22, 2026–Jan. 31, 2027"
27,EA1044,"Morgan-South Rich, South Rich","Dec. 1, 2026–Jan. 31, 2027","Morgan-South Rich, South Rich EA1044 Dec. 1, 2026–Jan. 31, 2027"
27,EA1291,"Mt Dutton, North (new)",Nov. 21–Dec. 6,"Mt Dutton, North (new) EA1291 Nov. 21–Dec. 6"
27,EA1292,"Mt Dutton, North (new)","Dec. 19, 2026–Jan. 10, 2027","Mt Dutton, North (new) EA1292 Dec. 19, 2026–Jan. 10, 2027"
27,EA1021,Nebo,Oct. 3–15,Nebo EA1021 Oct. 3–15
27,EA1208,Nebo,"Nov. 14, 2026–Jan. 31, 2027","Nebo EA1208 Nov. 14, 2026–Jan. 31, 2027"
27,EA1207,"Nebo, Moroni Hills",Aug. 1–19,"Nebo, Moroni Hills EA1207 Aug. 1–19"
27,EA1226,"Nebo, Moroni Hills",Sept. 12–Oct. 2,"Nebo, Moroni Hills EA1226 Sept. 12–Oct. 2"
27,EA1239,"Nine Mile, Range Creek",Oct. 3–25,"Nine Mile, Range Creek EA1239 Oct. 3–25"
27,EA1240,"Nine Mile, Range Creek","Nov. 25, 2026–Jan. 31, 2027","Nine Mile, Range Creek EA1240 Nov. 25, 2026–Jan. 31, 2027"
27,EA1054,"Nine Mile, West Anthro",Dec. 12–31,"Nine Mile, West Anthro EA1054 Dec. 12–31"
27,EA1053,"Nine Mile, West Anthro (new)","Jan. 16–24, 2027","Nine Mile, West Anthro (new) EA1053 Jan. 16–24, 2027"
27,EA1056,"North Slope, Greendale",Nov. 14–29,"North Slope, Greendale EA1056 Nov. 14–29"
27,EA1058,"North Slope, Henry's Fork-Burnt Fork","Nov. 7, 2026–Jan. 30, 2027","North Slope, Henry's Fork-Burnt Fork EA1058 Nov. 7, 2026–Jan. 30, 2027"
27,EA1196,"North Slope, Summit",Oct. 3–25,"North Slope, Summit EA1196 Oct. 3–25"
27,EA1293,"North Slope, Three Corners (new)",Oct. 3–16,"North Slope, Three Corners (new) EA1293 Oct. 3–16"
27,EA1277,"North Slope, Three Corners",Nov. 21–29,"North Slope, Three Corners EA1277 Nov. 21–29"
27,EA1273,"North Slope, Three Corners","Dec. 19, 2026–Jan. 3, 2027","North Slope, Three Corners EA1273 Dec. 19, 2026–Jan. 3, 2027"
27,EA1250,"North Slope, West Daggett",Oct. 3–25,"North Slope, West Daggett EA1250 Oct. 3–25"
27,EA1063,Ogden,Oct. 3–25,Ogden EA1063 Oct. 3–25
27,EA1064,Ogden,Nov. 7–29,Ogden EA1064 Nov. 7–29
27,EA1269,Ogden (excludes Hyrum),Dec. 1–31,Ogden (excludes Hyrum) EA1269 Dec. 1–31
27,EA2036,"Oquirrh-Stansbury, East","Nov. 7, 2026–Jan. 31, 2027","Oquirrh-Stansbury, East EA2036 Nov. 7, 2026–Jan. 31, 2027"
27,EA1069,Panguitch Lake,Nov. 21–29,Panguitch Lake EA1069 Nov. 21–29
27,EA1285,Panguitch Lake,Dec. 12–20,Panguitch Lake EA1285 Dec. 12–20
27,EA1073,Paunsaugunt,Nov. 21–Dec. 31,Paunsaugunt EA1073 Nov. 21–Dec. 31
27,EA1294,"Paunsaugunt, East Creek (new)",Aug. 1–12,"Paunsaugunt, East Creek (new) EA1294 Aug. 1–12"
27,EA1254,Pine Valley,"Nov. 11, 2026–Jan. 11, 2027","Pine Valley EA1254 Nov. 11, 2026–Jan. 11, 2027"
27,EA1081,San Juan,Oct. 3–15,San Juan EA1081 Oct. 3–15
27,EA1082,San Juan,Nov. 19–Dec. 31,San Juan EA1082 Nov. 19–Dec. 31
28,EA1084,"San Rafael, North","Nov. 7, 2026–Jan. 31, 2027","San Rafael, North EA1084 Nov. 7, 2026–Jan. 31, 2027"
28,EA1101,Southwest Desert,"Nov. 20, 2026–Jan. 10, 2027","Southwest Desert EA1101 Nov. 20, 2026–Jan. 10, 2027"
28,EA1251,"Southwest Desert, Burbank/Garrison",Aug. 1–13,"Southwest Desert, Burbank/Garrison EA1251 Aug. 1–13"
28,EA1242,"Vernal, Buckskin Hills-Jensen",Dec. 1–31,"Vernal, Buckskin Hills-Jensen EA1242 Dec. 1–31"
28,EA1243,"Vernal, Buckskin Hills-Jensen","Jan. 1–31, 2027","Vernal, Buckskin Hills-Jensen EA1243 Jan. 1–31, 2027"
28,EA1094,"Vernal, Mosby Mtn","Nov. 7, 2026–Jan. 3, 2027","Vernal, Mosby Mtn EA1094 Nov. 7, 2026–Jan. 3, 2027"
28,EA1087,Vernal/Bonanza,Oct. 3–16,Vernal/Bonanza EA1087 Oct. 3–16
28,EA1217,"Wasatch Mtns, Avintaquin",Oct. 3–15,"Wasatch Mtns, Avintaquin EA1217 Oct. 3–15"
28,EA1106,"Wasatch Mtns, Avintaquin","Jan. 2–17, 2027","Wasatch Mtns, Avintaquin EA1106 Jan. 2–17, 2027"
28,EA1276,"Wasatch Mtns, Box Elder Peak",Oct. 3–15,"Wasatch Mtns, Box Elder Peak EA1276 Oct. 3–15"
28,EA1107,"Wasatch Mtns, Currant Creek (new)",Oct. 3–15,"Wasatch Mtns, Currant Creek (new) EA1107 Oct. 3–15"
28,EA1264,"Wasatch Mtns, Rabbit Gulch","Jan. 16–24, 2027","Wasatch Mtns, Rabbit Gulch EA1264 Jan. 16–24, 2027"
28,EA1297,"Wasatch Mtns, Red Creek West (new)",Dec. 12–20,"Wasatch Mtns, Red Creek West (new) EA1297 Dec. 12–20"
28,EA1110,"Wasatch Mtns, Salt Lake","Nov. 14, 2026–Jan. 31, 2027","Wasatch Mtns, Salt Lake EA1110 Nov. 14, 2026–Jan. 31, 2027"
28,EA1265,"Wasatch Mtns, Tabby Mtn",Dec. 19–27,"Wasatch Mtns, Tabby Mtn EA1265 Dec. 19–27"
28,EA1111,"Wasatch Mtns, Wallsburg",Nov. 14–Dec. 13,"Wasatch Mtns, Wallsburg EA1111 Nov. 14–Dec. 13"
28,EA1112,"Wasatch Mtns, Wallsburg","Dec. 19, 2026–Jan. 31, 2027","Wasatch Mtns, Wallsburg EA1112 Dec. 19, 2026–Jan. 31, 2027"
28,EA1113,"Wasatch Mtns, West Heber","Nov. 14, 2026–Jan. 31, 2027","Wasatch Mtns, West Heber EA1113 Nov. 14, 2026–Jan. 31, 2027"
28,EA1114,"Wasatch Mtns, West Timpanogos","Nov. 14, 2026–Jan. 31, 2027","Wasatch Mtns, West Timpanogos EA1114 Nov. 14, 2026–Jan. 31, 2027"
28,EA1299,"Wasatch Mtns, West-Central (new)",Nov. 21–29,"Wasatch Mtns, West-Central (new) EA1299 Nov. 21–29"
28,EA1300,"Wasatch Mtns, West-Central (new)","Jan. 23–31, 2027","Wasatch Mtns, West-Central (new) EA1300 Jan. 23–31, 2027"
28,EA1298,"Wasatch Mtns, Wildcat/Timber Canyon (new)",Dec. 12–20,"Wasatch Mtns, Wildcat/Timber Canyon (new) EA1298 Dec. 12–20"
28,EA1231,"West Desert, Tintic Valley","Nov. 7, 2026–Jan. 31, 2027","West Desert, Tintic Valley EA1231 Nov. 7, 2026–Jan. 31, 2027"
28,EA1244,Yellowstone,Oct. 3–16,Yellowstone EA1244 Oct. 3–16
28,EA1117,Zion,"Nov. 11, 2026–Jan. 10, 2027","Zion EA1117 Nov. 11, 2026–Jan. 10, 2027"
29,EA1061,"North Slope, West Daggett",Sept. 23–Oct. 1,"North Slope, West Daggett EA1061 Sept. 23–Oct. 1"
29,EA1060,"North Slope, West Daggett",Oct. 28–Nov. 5,"North Slope, West Daggett EA1060 Oct. 28–Nov. 5"
29,EA1284,Panguitch Lake,Oct. 28–Nov. 5,Panguitch Lake EA1284 Oct. 28–Nov. 5
29,EA1295,"Wasatch Mtns, Avintaquin (new)",Oct. 28–Nov. 5,"Wasatch Mtns, Avintaquin (new) EA1295 Oct. 28–Nov. 5"
29,EA1296,"Wasatch Mtns, Currant Creek (new)",Oct. 28–Nov. 5,"Wasatch Mtns, Currant Creek (new) EA1296 Oct. 28–Nov. 5"
29,EA1189,"Wasatch Mtns, West-Central",Oct. 31–Nov. 8,"Wasatch Mtns, West-Central EA1189 Oct. 31–Nov. 8"
29,EA1245,Yellowstone,Oct. 28–Nov. 5,Yellowstone EA1245 Oct. 28–Nov. 5
29,EA2021,"Beaver, East","Aug. 1, 2026–Jan. 31, 2027","Beaver, East EA2021 Aug. 1, 2026–Jan. 31, 2027"
29,EA2026,"Box Elder, Hansel Mtn","Aug. 1, 2026–Jan. 31, 2027","Box Elder, Hansel Mtn EA2026 Aug. 1, 2026–Jan. 31, 2027"
29,EA2046,"Box Elder, Sawtooth","Aug. 1, 2026–Jan. 31, 2027","Box Elder, Sawtooth EA2046 Aug. 1, 2026–Jan. 31, 2027"
29,EA2027,Cache,"Aug. 1, 2026–Jan. 31, 2027","Cache EA2027 Aug. 1, 2026–Jan. 31, 2027"
29,EA2004,Chalk Creek,"Aug. 1, 2026–Jan. 31, 2027","Chalk Creek EA2004 Aug. 1, 2026–Jan. 31, 2027"
29,EA2030,Diamond Mtn,"Aug. 1, 2026–Jan. 31, 2027","Diamond Mtn EA2030 Aug. 1, 2026–Jan. 31, 2027"
29,EA2003,East Canyon,"Aug. 1, 2026–Jan. 31, 2027","East Canyon EA2003 Aug. 1, 2026–Jan. 31, 2027"
29,EA2039,"Fillmore, Pahvant","Aug. 1, 2026–Jan. 31, 2027","Fillmore, Pahvant EA2039 Aug. 1, 2026–Jan. 31, 2027"
29,EA2040,Kamas,"Aug. 1, 2026–Jan. 31, 2027","Kamas EA2040 Aug. 1, 2026–Jan. 31, 2027"
29,EA2009,La Sal Mtns,"Aug. 1, 2026–Jan. 31, 2027","La Sal Mtns EA2009 Aug. 1, 2026–Jan. 31, 2027"
29,EA2011,Manti,"Aug. 1, 2026–Jan. 31, 2027","Manti EA2011 Aug. 1, 2026–Jan. 31, 2027"
29,EA2002,Morgan-South Rich,"Aug. 1, 2026–Jan. 31, 2027","Morgan-South Rich EA2002 Aug. 1, 2026–Jan. 31, 2027"
29,EA2016,Nebo,"Aug. 1, 2026–Jan. 31, 2027","Nebo EA2016 Aug. 1, 2026–Jan. 31, 2027"
29,EA2008,"Nine Mile, Anthro-Myton Bench","Aug. 1, 2026–Jan. 31, 2027","Nine Mile, Anthro-Myton Bench EA2008 Aug. 1, 2026–Jan. 31, 2027"
29,EA2029,"Nine Mile, Range Creek","Aug. 1, 2026–Jan. 31, 2027","Nine Mile, Range Creek EA2029 Aug. 1, 2026–Jan. 31, 2027"
29,EA2005,"North Slope, West Daggett","Aug. 1, 2026–Jan. 31, 2027","North Slope, West Daggett EA2005 Aug. 1, 2026–Jan. 31, 2027"
30,EA2018,Panguitch Lake,"Aug. 1, 2026–Jan. 31, 2027","Panguitch Lake EA2018 Aug. 1, 2026–Jan. 31, 2027"
30,EA2015,Paunsaugunt,"Aug. 1, 2026–Jan. 31, 2027","Paunsaugunt EA2015 Aug. 1, 2026–Jan. 31, 2027"
30,EA2010,San Juan,"Aug. 1, 2026–Jan. 31, 2027","San Juan EA2010 Aug. 1, 2026–Jan. 31, 2027"
30,EA2028,Vernal/Bonanza,"Aug. 1, 2026–Jan. 31, 2027","Vernal/Bonanza EA2028 Aug. 1, 2026–Jan. 31, 2027"
30,EA2014,"Wasatch Mtns, Avintaquin-White River","Aug. 1, 2026–Jan. 31, 2027","Wasatch Mtns, Avintaquin-White River EA2014 Aug. 1, 2026–Jan. 31, 2027"
30,EA2013,"Wasatch Mtns, Currant Creek","Aug. 1, 2026–Jan. 31, 2027","Wasatch Mtns, Currant Creek EA2013 Aug. 1, 2026–Jan. 31, 2027"
30,EA2012,"Wasatch Mtns, West-Central","Aug. 1, 2026–Jan. 31, 2027","Wasatch Mtns, West-Central EA2012 Aug. 1, 2026–Jan. 31, 2027"
30,EA2019,"West Desert, Tintic Valley","Aug. 1, 2026–Jan. 31, 2027","West Desert, Tintic Valley EA2019 Aug. 1, 2026–Jan. 31, 2027"
30,EA2006,Yellowstone,"Aug. 1, 2026–Jan. 31, 2027","Yellowstone EA2006 Aug. 1, 2026–Jan. 31, 2027"
30,EA2020,Zion,"Aug. 1, 2026–Jan. 31, 2027","Zion EA2020 Aug. 1, 2026–Jan. 31, 2027"
32,PD1054,Parker Mtn,Aug. 29–Sept. 11,Parker Mtn PD1054 Aug. 29–Sept. 11
32,PD1012,"Box Elder, Promontory",Oct. 3–25,"Box Elder, Promontory PD1012 Oct. 3–25"
32,PD1000,"Box Elder, Snowville",Nov. 7–Dec. 6,"Box Elder, Snowville PD1000 Nov. 7–Dec. 6"
32,PD1017,"Box Elder, West",Oct. 3–25,"Box Elder, West PD1017 Oct. 3–25"
32,PD1034,"Fillmore, Oak Creek South",Aug. 1–13,"Fillmore, Oak Creek South PD1034 Aug. 1–13"
32,PD1035,"Fillmore, Oak Creek South",Oct. 31–Nov. 28,"Fillmore, Oak Creek South PD1035 Oct. 31–Nov. 28"
32,PD1043,"Nine Mile, Anthro-Pleasant Valley",Aug. 1–14,"Nine Mile, Anthro-Pleasant Valley PD1043 Aug. 1–14"
32,PD1039,"Panguitch Lake/Zion, North (new)",Nov. 7–15,"Panguitch Lake/Zion, North (new) PD1039 Nov. 7–15"
32,PD1056,Parker Mtn,Dec. 12–20,Parker Mtn PD1056 Dec. 12–20
32,PD1057,"Parker Mtn, Highlands",Oct. 8–16,"Parker Mtn, Highlands PD1057 Oct. 8–16"
32,PD1058,"Parker Mtn, Highlands",Nov. 21–29,"Parker Mtn, Highlands PD1058 Nov. 21–29"
32,PD1059,"Parker Mtn, Plains",Oct. 8–16,"Parker Mtn, Plains PD1059 Oct. 8–16"
32,PD1060,"Parker Mtn, Plains",Nov. 21–29,"Parker Mtn, Plains PD1060 Nov. 21–29"
32,PD1033,"San Rafael, Poison Springs Bench",Oct. 3–25,"San Rafael, Poison Springs Bench PD1033 Oct. 3–25"
32,PD1044,Vernal-Ouray Valley,Oct. 3–15,Vernal-Ouray Valley PD1044 Oct. 3–15
32,PD1055,Parker Mtn,Oct. 29–Nov. 8,Parker Mtn PD1055 Oct. 29–Nov. 8
33,MA1007,Morgan-South Rich,Aug. 1–Sept. 18,Morgan-South Rich MA1007 Aug. 1–Sept. 18
33,MA1005,Morgan-South Rich,Sept. 19–Oct. 18,Morgan-South Rich MA1005 Sept. 19–Oct. 18
33,MA1008,"Wasatch Mtns, Salt Lake-Timpanogos",Sept. 19–Oct. 18,"Wasatch Mtns, Salt Lake-Timpanogos MA1008 Sept. 19–Oct. 18"
33,RE1000,"Box Elder, Newfoundland Mtn",Sept. 8–16,"Box Elder, Newfoundland Mtn RE1000 Sept. 8–16"
34,DA1011,George Creek,Box Elder 5,George Creek DA1011 Box Elder 5
34,DA1013,Mt Carmel,Kane 5,Mt Carmel DA1013 Kane 5
34,DA1050,The Rose of Snowville,Box Elder 8,The Rose of Snowville DA1050 Box Elder 8
35,DA1012,Junction Valley,Box Elder 15,Junction Valley DA1012 Box Elder 15
35,EA1118,Alton,Kane 6,Alton EA1118 Kane 6
35,EA1233,Avintaquin Canyon,Duchesne 4,Avintaquin Canyon EA1233 Duchesne 4
35,EA1119,Bar J Ranch,Sevier 12,Bar J Ranch EA1119 Sevier 12
35,EA1120,Bear Mountain,Sanpete 20,Bear Mountain EA1120 Sanpete 20
35,EA1198,Bear Springs,Weber 2,Bear Springs EA1198 Weber 2
35,EA1261,Blackhawk,Carbon 5,Blackhawk EA1261 Carbon 5
35,EA1121,Boobe Hole,Sevier 10,Boobe Hole EA1121 Sevier 10
35,EA1158,Cactus Ranch LLC,Box Elder 7,Cactus Ranch LLC EA1158 Box Elder 7
35,EA1122,Causey Spring,Weber 5,Causey Spring EA1122 Weber 5
35,EA1124,Chimney Rock,Morgan 12,Chimney Rock EA1124 Morgan 12
35,EA1143,Circle E Ranch,Grand 21,Circle E Ranch EA1143 Grand 21
35,EA1125,Coldwater Ranch,Cache 25,Coldwater Ranch EA1125 Cache 25
35,EA1129,Deseret,Rich 360,Deseret EA1129 Rich 360
35,EA1130,Double Cone,Box Elder 7,Double Cone EA1130 Box Elder 7
35,EA1200,Double R Ranch,Wasatch 10,Double R Ranch EA1200 Wasatch 10
35,EA1131,Durst Mountain,Morgan 30,Durst Mountain EA1131 Morgan 30
35,EA1132,East Fork Chalk Creek,Summit 30,East Fork Chalk Creek EA1132 Summit 30
35,EA1134,Ensign Ranches,Summit 48,Ensign Ranches EA1134 Summit 48
35,EA1135,Folley Ridge,Morgan 20,Folley Ridge EA1135 Morgan 20
35,EA1136,Grass Valley/Clark Canyon,Summit 50,Grass Valley/Clark Canyon EA1136 Summit 50
35,EA1137,Grazing Pasture,Sevier 9,Grazing Pasture EA1137 Sevier 9
35,EA1138,Guildersleeve,Morgan 20,Guildersleeve EA1138 Morgan 20
36,EA1139,Hardscrabble,Morgan 5,Hardscrabble EA1139 Morgan 5
36,EA1140,Heaston East,Salt Lake 24,Heaston East EA1140 Salt Lake 24
36,EA1141,Hiawatha,Carbon 12,Hiawatha EA1141 Carbon 12
36,EA1142,Indian Head,Carbon 12,Indian Head EA1142 Carbon 12
36,EA1145,Johnson Mountain Ranch,Sevier 20,Johnson Mountain Ranch EA1145 Sevier 20
36,EA1146,Jump Creek,Carbon 9,Jump Creek EA1146 Carbon 9
36,EA1256,Little Pole Canyon,Wasatch 9,Little Pole Canyon EA1256 Wasatch 9
36,EA1147,Little Red Creek,Wasatch 15,Little Red Creek EA1147 Wasatch 15
36,EA1149,Minnie Maud Ridge,Carbon 16,Minnie Maud Ridge EA1149 Carbon 16
36,EA1151,Moon Ranch,Duchesne 6,Moon Ranch EA1151 Duchesne 6
36,EA1201,Mountain Sky Ranch,Utah 10,Mountain Sky Ranch EA1201 Utah 10
36,DA1013,Mt Carmel,Kane 5,Mt Carmel DA1013 Kane 5
36,EA1153,Old Woman Plateau,Sevier 4,Old Woman Plateau EA1153 Sevier 4
36,EA1192,Pahvant Ensign,Millard 6,Pahvant Ensign EA1192 Millard 6
36,EA1156,Preston Nutter Ranch,Carbon 21,Preston Nutter Ranch EA1156 Carbon 21
36,EA1157,Redd Ranches,San Juan 35,Redd Ranches EA1157 San Juan 35
36,EA1159,Roan Cliffs,Carbon 6,Roan Cliffs EA1159 Carbon 6
36,EA1160,Sand Creek,Duchesne 5,Sand Creek EA1160 Duchesne 5
36,EA1161,Scofield Canyons,Utah 9,Scofield Canyons EA1161 Utah 9
36,EA1162,Scofield East,Carbon 14,Scofield East EA1162 Carbon 14
