group,path,resolved_path,consumer_module,required,production_blocker,status,blocker,exists,size_bytes,row_count,column_count,duplicate_key_count,missing_required_column_count,null_critical_count,null_lineage_count,invalid_probability_count,invalid_percent_count,invalid_nonnegative_integer_count,issues,notes
utah_materialize_engine,processed_data/point_ladder_view.csv,processed_data/point_ladder_view.csv,engine.utah.materialize_engine,True,True,BLOCKER,True,True,150953154,91712,159,0,0,0,16906,0,0,0,null_lineage_fields,
utah_materialize_engine,processed_data/historical_trend_2025.csv,processed_data/historical_trend_2025.csv,engine.utah.materialize_engine,True,True,BLOCKER,True,True,5599579,47950,16,47138,0,0,0,0,0,0,duplicate_primary_keys,
utah_materialize_engine,processed_data/projected_bonus_draw_2026_simulated.csv,processed_data/projected_bonus_draw_2026_simulated.csv,engine.utah.materialize_engine,True,True,BLOCKER,True,True,18106562,46992,38,0,1,0,0,0,0,0,missing_required_columns,
utah_materialize_engine,processed_data/recommended_permits_2026.csv,processed_data/recommended_permits_2026.csv,engine.utah.materialize_engine,True,True,PASS,False,True,215471,928,26,0,0,0,0,0,0,0,,
utah_materialize_engine,processed_data/hunt_master_enriched.csv,processed_data/hunt_master_enriched.csv,engine.utah.materialize_engine,True,True,BLOCKER,True,True,56519749,53225,81,0,0,0,522,0,0,0,null_lineage_fields,
utah_materialize_engine,processed_data/harvest-metrics-2024-bg-report.csv,processed_data/harvest-metrics-2024-bg-report.csv,engine.utah.materialize_engine,True,True,BLOCKER,True,True,17212,647,7,0,1,0,0,0,0,0,missing_required_columns,
utah_materialize_engine,processed_data/harvest-metrics-2025-prelim.csv,processed_data/harvest-metrics-2025-prelim.csv,engine.utah.materialize_engine,True,True,BLOCKER,True,True,30015,1092,7,0,1,0,0,0,0,0,missing_required_columns,
utah_materialize_engine,processed_data/hunt-master-canonical.json,processed_data/hunt-master-canonical-2026-source-of-truth.json,engine.utah.materialize_engine,True,True,PASS,False,True,4180581,,,0,0,0,0,0,0,0,,Legacy name accepted when present; 2026 source-of-truth JSON is the current alternate.
utah_bonus_predictive,data_truth/draw_results_truth/normalized/draw_results_long.csv,data_truth/draw_results_truth/normalized/draw_results_long.csv,engine.utah_bonus_predictive.materialize,True,True,BLOCKER,True,True,77791622,176753,43,16324,0,0,0,0,0,0,duplicate_primary_keys;invalid_numeric_values,
utah_bonus_predictive,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,engine.utah_bonus_predictive.materialize,True,True,BLOCKER,True,True,748168,1471,41,0,0,0,296,0,0,1,invalid_nonnegative_integer_values,
utah_bonus_predictive,scripts/build_runtime_draw_feed_v2.py,scripts/build_runtime_draw_feed_v2.py,engine.utah_bonus_predictive.materialize,True,True,PASS,False,True,20411,,,0,0,0,0,0,0,0,,Code dependency invoked upstream.
utah_bonus_predictive,scripts/build_predictive_bonus_engine_v1.py,scripts/build_predictive_bonus_engine_v1.py,engine.utah_bonus_predictive.materialize,True,True,PASS,False,True,25943,,,0,0,0,0,0,0,0,,Code dependency invoked upstream.
utah_bonus_predictive,hunt-research.js,hunt-research.js,engine.utah_bonus_predictive.materialize,True,True,PASS,False,True,104234,,,0,0,0,0,0,0,0,,Runtime publication contract dependency.
utah_bonus_predictive,config.js,config.js,engine.utah_bonus_predictive.materialize,True,True,PASS,False,True,24850,,,0,0,0,0,0,0,0,,Runtime manifest/config dependency.
utah_bonus_predictive_skip_upstream,data_model/runtime_drafts/predictive_bonus_engine_2026.predictions.csv,data_model/runtime_drafts/predictive_bonus_engine_2026.predictions.csv,engine.utah_bonus_predictive.materialize --skip-upstream,False,False,PASS,False,True,18585491,23835,53,0,0,0,0,0,0,0,,
utah_bonus_predictive_skip_upstream,data_model/runtime_drafts/predictive_bonus_engine_2026.materialized.csv,data_model/runtime_drafts/predictive_bonus_engine_2026.materialized.csv,engine.utah_bonus_predictive.materialize --skip-upstream,False,False,PASS,False,True,18989572,23835,59,0,0,0,0,0,0,0,,
utah_bonus_predictive_skip_upstream,data_model/runtime_drafts/predictive_bonus_engine_2026.audit.csv,data_model/runtime_drafts/predictive_bonus_engine_2026.audit.csv,engine.utah_bonus_predictive.materialize --skip-upstream,False,False,PASS,False,True,169464,756,22,0,0,0,0,0,0,0,,
utah_draw_predictive,processed_data/draw_reality_engine_v2.csv,processed_data/draw_reality_engine_v2.csv,engine.utah_draw_predictive.classifier,True,True,BLOCKER,True,True,44863034,176753,24,16324,0,0,0,0,0,0,duplicate_primary_keys;invalid_numeric_values,
utah_draw_predictive,processed_data/draw_reality_engine_predictive_v2.csv,processed_data/draw_reality_engine_predictive_v2.csv,engine.utah_draw_predictive.*,True,True,BLOCKER,True,True,25910073,26507,131,0,0,0,386,0,0,0,null_lineage_fields,
utah_draw_predictive,processed_data/ml_draw_predictions_v1.csv,processed_data/ml_draw_predictions_v1.csv,engine.utah_draw_predictive.*,True,True,BLOCKER,True,True,48351537,27940,180,0,0,0,126,0,0,0,null_lineage_fields,
utah_draw_predictive,processed_data/draw_system_coverage_report.csv,processed_data/draw_system_coverage_report.csv,engine.utah_draw_predictive.*,True,True,BLOCKER,True,True,78555708,204693,36,193486,0,0,0,0,0,0,duplicate_primary_keys,
utah_draw_predictive,processed_data/draw_system_coverage_report.json,processed_data/draw_system_coverage_report.json,engine.utah_draw_predictive.*,True,True,PASS,False,True,31212,,,0,0,0,0,0,0,0,,
utah_draw_predictive,processed_data/hunt_master_enriched.csv,processed_data/hunt_master_enriched.csv,engine.utah_draw_predictive.*,True,True,BLOCKER,True,True,56519749,53225,81,0,0,0,522,0,0,0,null_lineage_fields,
utah_draw_predictive,processed_data/hunt_unit_reference_linked.csv,processed_data/hunt_unit_reference_linked.csv,engine.utah_draw_predictive.*,True,True,BLOCKER,True,True,2709445,2997,89,55,0,0,758,0,0,0,duplicate_primary_keys;null_lineage_fields,
utah_draw_predictive,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,engine.utah_draw_predictive.*,True,True,BLOCKER,True,True,748168,1471,41,0,0,0,296,0,0,1,invalid_nonnegative_integer_values,
utah_draw_predictive,data/utah/sportsman/sportsman_odds_2025.csv,data/utah/sportsman/sportsman_odds_2025.csv,engine.utah_draw_predictive.sportsman,True,True,PASS,False,True,982,10,12,0,0,0,0,0,0,0,,
utah_draw_predictive,data/cougar_hunt_table_official.json,data/cougar_hunt_table_official.json,engine.utah_draw_predictive.mountain_lion,True,True,PASS,False,True,40773,,,0,0,0,0,0,0,0,,
utah_draw_predictive,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/black bear.csv,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/black bear.csv,engine.utah_draw_predictive.bear,True,True,PASS,False,True,15682,106,10,0,0,0,0,0,0,0,,
utah_draw_predictive,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/elk antlerless private lands.csv,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/elk antlerless private lands.csv,engine.utah_draw_predictive.private_lands_antlerless_elk,True,True,PASS,False,True,2943,27,8,0,0,0,0,0,0,0,,
utah_draw_predictive,pipeline/RAW/hunt_unit_database/2026/csv/2026_elk_general_anybull_youth.csv,pipeline/RAW/hunt_unit_database/2026/csv/2026_elk_general_anybull_youth.csv,engine.utah_draw_predictive.youth,True,True,PASS,False,True,411,1,11,0,0,0,0,0,0,0,,
harvest_quality,data_model/quality/raw_pdf_inventory_audit.csv,data_model/quality/raw_pdf_inventory_audit.csv,engine.utah.quality.*,True,True,PASS,False,True,544937,1286,16,0,0,0,0,0,0,0,,
harvest_quality,data_model/quality/promoted_quality_sources.csv,data_model/quality/promoted_quality_sources.csv,engine.utah.quality.*,True,True,BLOCKER,True,True,100536,253,12,0,1,0,0,0,0,0,missing_required_columns,
harvest_quality,data_model/quality/promoted_draw_sources.csv,data_model/quality/promoted_draw_sources.csv,engine.utah.quality.*,True,True,BLOCKER,True,True,76852,204,12,0,1,0,0,0,0,0,missing_required_columns,
harvest_quality,data_model/harvest_quality/harvest_quality_features_all_years_by_hunt_code.csv,data_model/harvest_quality/harvest_quality_features_all_years_by_hunt_code.csv,engine.utah.quality.materialize_harvest_feature_model,True,True,BLOCKER,True,True,2090898,5563,35,0,0,0,4436,0,0,0,null_lineage_fields,
harvest_quality,data_model/harvest_quality/harvest_results_all_years_long.csv,data_model/harvest_quality/harvest_results_all_years_long.csv,engine.utah.quality.materialize_harvest_feature_model,True,True,BLOCKER,True,True,24881298,68657,35,58254,0,0,58507,0,1320,0,duplicate_primary_keys;invalid_percent_values;null_lineage_fields,
harvest_quality,data_model/harvest_quality/harvest_feature_model_by_hunt_code_2026.csv,data_model/harvest_quality/harvest_feature_model_by_hunt_code_2026.csv,engine.utah.quality.materialize_harvest_feature_model,True,True,BLOCKER,True,True,446703,1411,30,0,0,0,1,0,0,0,null_lineage_fields,
harvest_quality,processed_data/harvest_results_database_final_audit.json,processed_data/harvest_results_database_final_audit.json,engine.utah_predictive_mixed.materialize,True,True,PASS,False,True,3981,,,0,0,0,0,0,0,0,,
utah_predictive_mixed,processed_data/ml_draw_predictions_v1.csv,processed_data/ml_draw_predictions_v1.csv,engine.utah_predictive_mixed.materialize,True,True,BLOCKER,True,True,48351537,27940,180,0,0,0,126,0,0,0,null_lineage_fields,
utah_predictive_mixed,processed_data/draw_reality_engine_predictive_v2.csv,processed_data/draw_reality_engine_predictive_v2.csv,engine.utah_predictive_mixed.materialize,True,True,BLOCKER,True,True,25910073,26507,131,0,0,0,386,0,0,0,null_lineage_fields,
utah_predictive_mixed,processed_data/point_ladder_view.csv,processed_data/point_ladder_view.csv,engine.utah_predictive_mixed.materialize,True,True,BLOCKER,True,True,150953154,91712,159,0,0,0,16906,0,0,0,null_lineage_fields,
utah_predictive_mixed,processed_data/draw_reality_engine.csv,processed_data/draw_reality_engine.csv,engine.utah_predictive_mixed.materialize,True,True,BLOCKER,True,True,27627925,36892,68,0,0,0,0,0,0,0,invalid_numeric_values,
utah_predictive_mixed,data_model/harvest_quality/harvest_feature_model_by_hunt_code_2026.csv,data_model/harvest_quality/harvest_feature_model_by_hunt_code_2026.csv,engine.utah_predictive_mixed.materialize,True,True,BLOCKER,True,True,446703,1411,30,0,0,0,1,0,0,0,null_lineage_fields,
utah_predictive_mixed,processed_data/harvest_results_database_final_audit.json,processed_data/harvest_results_database_final_audit.json,engine.utah_predictive_mixed.materialize,True,True,PASS,False,True,3981,,,0,0,0,0,0,0,0,,
