hunt_code,reason,parsed_unit,parsed_unit_norm,source_pdf,pdf_page,candidate_boundary_ids,candidate_boundary_names
CG7605,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Central Mtns, Nebo (excludes West Face)",central mtns nebo excludes west face,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL_L.E. COUGAR DRAW RESULTS.pdf,14,,
CG7606,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Central Mtns, Nebo - West Face",central mtns nebo west face,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL_L.E. COUGAR DRAW RESULTS.pdf,15,,
CG7607,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Central Mtns, Northeast Manti",central mtns northeast manti,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL_L.E. COUGAR DRAW RESULTS.pdf,16,,
CG7609,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Central Mtns, Southeast Manti",central mtns southeast manti,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL_L.E. COUGAR DRAW RESULTS.pdf,17,,
CG7618,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Plateau, Boulder",plateau boulder,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL_L.E. COUGAR DRAW RESULTS.pdf,23,,
CG7619,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Plateau, Fishlake",plateau fishlake,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL_L.E. COUGAR DRAW RESULTS.pdf,24,,
CG7620,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Plateau, Thousand Lakes",plateau thousand lakes,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL_L.E. COUGAR DRAW RESULTS.pdf,25,,
DA1005,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"North Slope, Manila-phil Pico - Archery, Mzldr, Shotgun Only",north slope manila phil pico archery mzldr shotgun only,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,6,,
DA1016,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Plateau, East Angle",plateau east angle,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,13,,
DA1022,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Plateau, Antimony",plateau antimony,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,19,,
DA1023,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Plateau, Antimony",plateau antimony,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,20,,
DA1024,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Plateau, Fremont River Valley - Archery, Mzldr, Shotgun Only",plateau fremont river valley archery mzldr shotgun only,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,21,,
DA1035,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Two Doe Antlerless Deer - Southwest Desert, Garrison",two doe antlerless deer southwest desert garrison,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,31,,
DB1221,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,Clear Valley Ranch,clear valley ranch,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__L.E. DEER DRAW RESULTS.pdf,75,,
DB1278,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,Powder Mountain,powder mountain,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__L.E. DEER DRAW RESULTS.pdf,125,,
DS6619,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,Desert Bighorn Sheep Archery - Zion,desert bighorn sheep archery zion,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__O.I.L. - DESERT BIGHORN SHEEP DRAW RESULTS.pdf,14,,
EA1014,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Central Mtns, Ephraim",central mtns ephraim,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,10,,
EA1019,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Central Mtns, Milburn",central mtns milburn,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,14,,
EA1091,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"South Slope, Diamond Mtn",south slope diamond mtn,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,73,,
EA1092,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"South Slope, Little Mtn-buckskin Hills",south slope little mtn buckskin hills,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,74,,
EA1093,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"South Slope, Little Mtn-buckskin Hills",south slope little mtn buckskin hills,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,75,,
EA1098,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"South Slope, Yellowstone",south slope yellowstone,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,77,,
EA1099,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"South Slope, Yellowstone",south slope yellowstone,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,78,,
EA1100,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"South Slope, Yellowstone",south slope yellowstone,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,79,,
EA1148,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,Cwmu Antlerless Elk - Lone Tree Tunnel Hollow,cwmu antlerless elk lone tree tunnel hollow,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,117,,
EA1152,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,Cwmu Antlerless Elk - Mountain Top,cwmu antlerless elk mountain top,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,120,,
EA1155,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,Cwmu Antlerless Elk - Powder Mountain,cwmu antlerless elk powder mountain,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,122,,
EA1185,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Central Mtns, Ferron Canyon Southeast",central mtns ferron canyon southeast,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,144,,
EA1202,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,Cwmu Antlerless Elk - West Willow Creek Ranch,cwmu antlerless elk west willow creek ranch,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,158,,
EA1210,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"La Sal, La Sal Mtns - Taylor Flat",la sal la sal mtns taylor flat,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,166,,
EB3007,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Central Mtns, Nebo",central mtns nebo,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__L.E. ELK DRAW RESULTS.pdf,8,,
EB3017,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Plateau, Boulder/kaiparowits",plateau boulder kaiparowits,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__L.E. ELK DRAW RESULTS.pdf,18,,
EB3029,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Limited Entry Rifle Bull Elk - Box Elder, Grouse Creek",limited entry rifle bull elk box elder grouse creek,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__L.E. ELK DRAW RESULTS.pdf,30,,
EB3030,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Limited Entry Rifle Bull Elk - Box Elder, Grouse Creek",limited entry rifle bull elk box elder grouse creek,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__L.E. ELK DRAW RESULTS.pdf,31,,
EB3034,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Limited Entry Rifle Bull Elk - Cache, North",limited entry rifle bull elk cache north,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__L.E. ELK DRAW RESULTS.pdf,35,,
EB3035,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Limited Entry Rifle Bull Elk - Cache, North",limited entry rifle bull elk cache north,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__L.E. ELK DRAW RESULTS.pdf,36,,
EB3040,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Limited Entry Rifle Bull Elk - Central Mtns, Nebo",limited entry rifle bull elk central mtns nebo,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__L.E. ELK DRAW RESULTS.pdf,41,,
EB3041,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Limited Entry Rifle Bull Elk - Central Mtns, Nebo",limited entry rifle bull elk central mtns nebo,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__L.E. ELK DRAW RESULTS.pdf,42,,
EB3054,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,Limited Entry Rifle Bull Elk - Oquirrh-stansbury,limited entry rifle bull elk oquirrh stansbury,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__L.E. ELK DRAW RESULTS.pdf,55,,
EB3055,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,Limited Entry Rifle Bull Elk - Oquirrh-stansbury,limited entry rifle bull elk oquirrh stansbury,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__L.E. ELK DRAW RESULTS.pdf,56,,
EB3061,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Limited Entry Rifle Bull Elk - Plateau, Boulder/kaiparowits",limited entry rifle bull elk plateau boulder kaiparowits,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__L.E. ELK DRAW RESULTS.pdf,62,,
EB3062,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Limited Entry Rifle Bull Elk - Plateau, Boulder/kaiparowits",limited entry rifle bull elk plateau boulder kaiparowits,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__L.E. ELK DRAW RESULTS.pdf,63,,
EB3085,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Central Mtns, Nebo",central mtns nebo,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__L.E. ELK DRAW RESULTS.pdf,86,,
EB3095,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Plateau, Boulder/kaiparowits",plateau boulder kaiparowits,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__L.E. ELK DRAW RESULTS.pdf,96,,
EB3106,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Multiseason Limited Entry Any Bull Elk - Cache, North",multiseason limited entry any bull elk cache north,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__L.E. ELK DRAW RESULTS.pdf,107,,
EB3109,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Multiseason Limited Entry Any Bull Elk - Central Mtns, Nebo",multiseason limited entry any bull elk central mtns nebo,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__L.E. ELK DRAW RESULTS.pdf,110,,
EB3119,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Multiseason Limited Entry Any Bull Elk - Plateau, Boulder/kaiparowits",multiseason limited entry any bull elk plateau boulder kaiparowits,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__L.E. ELK DRAW RESULTS.pdf,120,,
EB3123,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,Multiseason Limited Entry Any Bull Elk - Southwest Desert,multiseason limited entry any bull elk southwest desert,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__L.E. ELK DRAW RESULTS.pdf,124,,
EB3535,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,Cwmu Any Bull Elk - Lone Tree Tunnel Hollow,cwmu any bull elk lone tree tunnel hollow,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__L.E. ELK DRAW RESULTS.pdf,160,,
EB3539,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,Cwmu Any Bull Elk - Mountain Top,cwmu any bull elk mountain top,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__L.E. ELK DRAW RESULTS.pdf,163,,
EB3542,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,Cwmu Any Bull Elk - Powder Mountain,cwmu any bull elk powder mountain,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__L.E. ELK DRAW RESULTS.pdf,166,,
GO6811,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Ogden, Willard Peak (female Goat Only)",ogden willard peak female goat only,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,11,,
GO6815,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Mountain Goat Archery - North Slope/south Slope, High Uintas Central",mountain goat archery north slope south slope high uintas central,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,14,,
MA1000,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Limited Entry - Antlerless Moose - East Canyon, Davis-north Salt Lake",limited entry antlerless moose east canyon davis north salt lake,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS MOOSE DRAW RESULTS.pdf,1,,
MA1002,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,Limited Entry - Antlerless Moose - Ogden,limited entry antlerless moose ogden,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS MOOSE DRAW RESULTS.pdf,3,,
MB6210,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,Cwmu Bull Moose - Folley Ridge,cwmu bull moose folley ridge,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__O.I.L. MOOSE DRAW RESULTS.pdf,21,,
MB6215,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,Cwmu Bull Moose - Lone Tree Tunnel Hollow,cwmu bull moose lone tree tunnel hollow,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__O.I.L. MOOSE DRAW RESULTS.pdf,23,,
MB6216,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,Cwmu Bull Moose - Powder Mountain,cwmu bull moose powder mountain,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__O.I.L. MOOSE DRAW RESULTS.pdf,24,,
MB6261,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,Cwmu Bull Moose - Bally Watts,cwmu bull moose bally watts,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__O.I.L. MOOSE DRAW RESULTS.pdf,38,,
PB5333,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Plateau, Parker Mtn",plateau parker mtn,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__L.E. PROGHORN DRAW RESULTS.pdf,79,,
PB5334,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Limited Entry Rifle Buck Pronghorn - Plateau, Parker Mtn",limited entry rifle buck pronghorn plateau parker mtn,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__L.E. PROGHORN DRAW RESULTS.pdf,80,,
PB5335,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Limited Entry Muzzle Buck Pronghorn - Plateau, Parker Mtn",limited entry muzzle buck pronghorn plateau parker mtn,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__L.E. PROGHORN DRAW RESULTS.pdf,81,,
PD1015,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,Cwmu Doe Pronghorn - Sj Ranch,cwmu doe pronghorn sj ranch,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS PRONGHORN DRAW RESULTS.pdf,14,,
PD1019,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Plateau, Parker Mtn",plateau parker mtn,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS PRONGHORN DRAW RESULTS.pdf,18,,
PD1020,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Plateau, Parker Mtn",plateau parker mtn,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS PRONGHORN DRAW RESULTS.pdf,19,,
PD1028,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Two Doe Pronghorn - San Rafael, North - Mounds Reef",two doe pronghorn san rafael north mounds reef,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS PRONGHORN DRAW RESULTS.pdf,26,,
PD1029,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Two Doe Pronghorn - San Rafael, North - Mounds Reef",two doe pronghorn san rafael north mounds reef,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS PRONGHORN DRAW RESULTS.pdf,27,,
PD1040,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"South Slope, Bonanza/diamond Mtn",south slope bonanza diamond mtn,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS PRONGHORN DRAW RESULTS.pdf,38,,
RS6719,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Central Mtns, Nebo/wasatch Mtns",central mtns nebo wasatch mtns,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__O.I.L. - ROCKY MOUNTAIN BIGHORN SHEEP DRAW RESULTS.pdf,7,,
