hunt_code,hunt_line,parsed_unit,parsed_unit_norm,source_pdf,pdf_page
DB1547,Hunt: DB1547 Pine Valley - Any Legal Weapon Page 46,Pine Valley,pine valley,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,46
DB1548,"Hunt: DB1548 Plateau, Boulder/kaiparowits - Any Legal Weapon Page 47","Plateau, Boulder/kaiparowits",plateau boulder kaiparowits,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,47
DB1549,"Hunt: DB1549 Plateau, Fishlake - Any Legal Weapon Page 48","Plateau, Fishlake",plateau fishlake,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,48
DB1550,"Hunt: DB1550 Plateau, Thousand Lakes - Any Legal Weapon Page 49","Plateau, Thousand Lakes",plateau thousand lakes,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,49
DB1551,"Hunt: DB1551 San Juan, Abajo Mtns - Any Legal Weapon Page 50","San Juan, Abajo Mtns",san juan abajo mtns,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,50
DB1552,"Hunt: DB1552 South Slope, Bonanza/vernal - Any Legal Weapon Page 51","South Slope, Bonanza/vernal",south slope bonanza vernal,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,51
DB1553,"Hunt: DB1553 South Slope, Yellowstone - Any Legal Weapon Page 52","South Slope, Yellowstone",south slope yellowstone,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,52
DB1554,Hunt: DB1554 Southwest Desert - Any Legal Weapon Page 53,Southwest Desert,southwest desert,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,53
DB1555,"Hunt: DB1555 Wasatch Mtns, East - Any Legal Weapon Page 54","Wasatch Mtns, East",wasatch mtns east,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,54
DB1556,"Hunt: DB1556 Wasatch Mtns, West - Any Legal Weapon Page 55","Wasatch Mtns, West",wasatch mtns west,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,55
