hunt_code,parsed_unit,parsed_unit_norm,boundary_id,boundary_name,boundary_source,boundary_match_status,source_pdf,pdf_page,hunt_line
CG7502,East Canyon,east canyon,276,East Canyon,data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL_L.E. COUGAR DRAW RESULTS.pdf,7,Hunt: CG7502 East Canyon - Any Legal Weapon
CG7503,Morgan - South Rich,morgan south rich,117,Morgan-South Rich,data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL_L.E. COUGAR DRAW RESULTS.pdf,8,Hunt: CG7503 Morgan - South Rich - Any Legal Weapon
CG7505,"Wasatch Mtns, Currant Creek - North",wasatch mtns currant creek north,711,"Wasatch Mtns, Currant Creek-North",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL_L.E. COUGAR DRAW RESULTS.pdf,9,"Hunt: CG7505 Wasatch Mtns, Currant Creek - North - Any Legal Weapon"
CG7506,"Wasatch Mtns, West - Strawberry",wasatch mtns west strawberry,239,"Wasatch Mtns, West-Strawberry",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL_L.E. COUGAR DRAW RESULTS.pdf,10,"Hunt: CG7506 Wasatch Mtns, West - Strawberry - Any Legal Weapon"
CG7602,"West Desert, Tintic - Vernon",west desert tintic vernon,247,"West Desert, Tintic-Vernon",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL_L.E. COUGAR DRAW RESULTS.pdf,12,"Hunt: CG7602 West Desert, Tintic - Vernon - Any Legal Weapon"
CG7603,"Box Elder, Raft River",box elder raft river,26,"Box Elder, Raft River",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL_L.E. COUGAR DRAW RESULTS.pdf,13,"Hunt: CG7603 Box Elder, Raft River - Any Legal Weapon"
CG7610,"East Canyon, Davis",east canyon davis,76,"East Canyon, Davis",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL_L.E. COUGAR DRAW RESULTS.pdf,18,"Hunt: CG7610 East Canyon, Davis - Any Legal Weapon"
CG7611,"Fillmore, Pahvant",fillmore pahvant,88,"Fillmore, Pahvant",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL_L.E. COUGAR DRAW RESULTS.pdf,19,"Hunt: CG7611 Fillmore, Pahvant - Any Legal Weapon"
CG7612,Monroe,monroe,629,Monroe,data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL_L.E. COUGAR DRAW RESULTS.pdf,20,Hunt: CG7612 Monroe - Any Legal Weapon
CG7613,Mt Dutton,mt dutton,630,Mt Dutton,data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL_L.E. COUGAR DRAW RESULTS.pdf,21,Hunt: CG7613 Mt Dutton - Any Legal Weapon
CG7615,Panguitch Lake,panguitch lake,634,Panguitch Lake,data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL_L.E. COUGAR DRAW RESULTS.pdf,22,Hunt: CG7615 Panguitch Lake - Any Legal Weapon
DA1010,"Zion, Northwest Zion",zion northwest zion,252,"Zion, Northwest Zion",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,9,"Hunt: DA1010 Antlerless Deer - Zion, Northwest Zion - Any Legal Weapon"
DA1020,"Pine Valley, Quichapa",pine valley quichapa,841,"Pine Valley, Quichapa",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,17,"Hunt: DA1020 Antlerless Deer - Pine Valley, Quichapa - Any Legal Weapon"
DA1021,"Pine Valley, Quichapa",pine valley quichapa,841,"Pine Valley, Quichapa",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,18,"Hunt: DA1021 Antlerless Deer - Pine Valley, Quichapa - Any Legal Weapon"
DA1025,"Zion, Northwest Zion",zion northwest zion,252,"Zion, Northwest Zion",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,22,"Hunt: DA1025 Antlerless Deer - Zion, Northwest Zion - Any Legal Weapon"
DA1032,"Panguitch Lake, Parowan Front",panguitch lake parowan front,22,"Panguitch Lake, Parowan Front",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,29,"Hunt: DA1032 Antlerless Deer - Panguitch Lake, Parowan Front - Any Legal Weapon"
EA1036,"Kamas, West Hills",kamas west hills,105,"Kamas, West Hills",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,30,"Hunt: EA1036 Antlerless Elk - Kamas, West Hills - Any Legal Weapon"
EA1042,"Morgan-south Rich, East Lost Creek",morgan south rich east lost creek,120,"Morgan-South Rich, East Lost Creek",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,35,"Hunt: EA1042 Antlerless Elk - Morgan-south Rich, East Lost Creek - Any Legal Weapon"
EA1045,"Morgan-south Rich, South Weber",morgan south rich south weber,123,"Morgan-South Rich, South Weber",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,37,"Hunt: EA1045 Antlerless Elk - Morgan-south Rich, South Weber - Any Legal Weapon"
EA1046,"Morgan-south Rich, West Lost Creek",morgan south rich west lost creek,124,"Morgan-South Rich, West Lost Creek",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,38,"Hunt: EA1046 Antlerless Elk - Morgan-south Rich, West Lost Creek - Any Legal Weapon"
EA1047,Mt Dutton,mt dutton,630,Mt Dutton,data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,39,Hunt: EA1047 Antlerless Elk - Mt Dutton - Any Legal Weapon
EA1048,Mt Dutton,mt dutton,630,Mt Dutton,data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,40,Hunt: EA1048 Antlerless Elk - Mt Dutton - Any Legal Weapon
EA1050,"Mt Dutton, East",mt dutton east,693,"Mt Dutton, East",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,42,"Hunt: EA1050 Antlerless Elk - Mt Dutton, East - Any Legal Weapon"
EA1051,"Mt Dutton, East",mt dutton east,693,"Mt Dutton, East",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,43,"Hunt: EA1051 Antlerless Elk - Mt Dutton, East - Any Legal Weapon"
EA1059,"North Slope, Manila-phil Pico",north slope manila phil pico,137,"North Slope, Manila-Phil Pico",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,49,"Hunt: EA1059 Antlerless Elk - North Slope, Manila-phil Pico - Any Legal Weapon"
EA1062,"North Slope, West Daggett",north slope west daggett,142,"North Slope, West Daggett",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,52,"Hunt: EA1062 Antlerless Elk - North Slope, West Daggett - Any Legal Weapon"
EA1183,"Beaver, East",beaver east,685,"Beaver, East",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,142,"Hunt: EA1183 Antlerless Elk - Beaver, East - Muzzleloader"
EA1184,"Beaver, North",beaver north,831,"Beaver, North",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,143,"Hunt: EA1184 Antlerless Elk - Beaver, North - Any Legal Weapon"
EA1191,"Beaver, North",beaver north,831,"Beaver, North",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,149,"Hunt: EA1191 Antlerless Elk - Beaver, North - Any Legal Weapon"
EA1197,"San Juan, Elk Ridge",san juan elk ridge,185,"San Juan, Elk Ridge",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,154,"Hunt: EA1197 Antlerless Elk - San Juan, Elk Ridge - Any Legal Weapon"
EA1212,Southwest Desert,southwest desert,625,Southwest Desert,data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,168,Hunt: EA1212 Antlerless Elk - Southwest Desert - Any Legal Weapon
EA1213,Southwest Desert,southwest desert,625,Southwest Desert,data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,169,Hunt: EA1213 Antlerless Elk - Southwest Desert - Any Legal Weapon
EA1215,"Southwest Desert, Northwest Part",southwest desert northwest part,483,"Southwest Desert, Northwest Part",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,171,"Hunt: EA1215 Antlerless Elk - Southwest Desert, Northwest Part - Any Legal Weapon"
EA1216,"Southwest Desert, Northwest Part",southwest desert northwest part,483,"Southwest Desert, Northwest Part",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,172,"Hunt: EA1216 Antlerless Elk - Southwest Desert, Northwest Part - Any Legal Weapon"
EA1218,"West Desert, Tintic",west desert tintic,624,"West Desert, Tintic",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,174,"Hunt: EA1218 Antlerless Elk - West Desert, Tintic - Any Legal Weapon"
GO6809,"Ogden, Willard Peak",ogden willard peak,157,"Ogden, Willard Peak",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,9,"Hunt: GO6809 Mountain Goat - Ogden, Willard Peak - Any Legal Weapon Page 394"
PB5304,Middle Ridge,middle ridge,565,Middle Ridge,data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__L.E. PROGHORN DRAW RESULTS.pdf,59,Hunt: PB5304 Cwmu Buck Pronghorn - Middle Ridge - Any Legal Weapon Page 502
PB5308,Sj Ranch,sj ranch,576,SJ Ranch,data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__L.E. PROGHORN DRAW RESULTS.pdf,63,Hunt: PB5308 Cwmu Buck Pronghorn - Sj Ranch - Any Legal Weapon Page 506
PB5310,Strawberry Ridge,strawberry ridge,562,Strawberry Ridge,data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__L.E. PROGHORN DRAW RESULTS.pdf,65,Hunt: PB5310 Cwmu Buck Pronghorn - Strawberry Ridge - Any Legal Weapon Page 508
PD1008,"Southwest Desert, Milford Flat",southwest desert milford flat,217,"Southwest Desert, Milford Flat",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS PRONGHORN DRAW RESULTS.pdf,8,"Hunt: PD1008 Doe Pronghorn - Southwest Desert, Milford Flat - Any Legal Weapon"
PD1009,"Southwest Desert, Milford Flat",southwest desert milford flat,217,"Southwest Desert, Milford Flat",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS PRONGHORN DRAW RESULTS.pdf,9,"Hunt: PD1009 Doe Pronghorn - Southwest Desert, Milford Flat - Any Legal Weapon"
RS6714,"North Slope, Bare Top/west Daggett",north slope bare top west daggett,823,"North Slope, Bare Top/West Daggett",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__O.I.L. - ROCKY MOUNTAIN BIGHORN SHEEP DRAW RESULTS.pdf,6,"Hunt: RS6714 Rocky Mountain Bighorn Sheep - North Slope, Bare Top/west Daggett - Any Legal Weapon Page 531"
