source_group,file,hunt_code_count,error
staged_xlsx,2026 TURKEY BEARDED SPRING GENERAL SEASON ANY LEGAL WEAPON.xlsx,1,
staged_xlsx,2026 TURKEY BEARDED STATEWIDE ANY LEGAL WEAPON.xlsx,1,
staged_xlsx,2026 TURKEY EITHER SEX FALL MANAGEMENT ANY LEGAL WEAPON PRIVATE LAND ONLY.xlsx,2,
staged_xlsx,2026 TURKEY EITHER SEX FALL MANAGEMENT ANY LEGAL WEAPON.xlsx,2,
staged_xlsx,2026_ANTLERLESS_ELK_GENERAL_SEASON.xlsx,112,
staged_xlsx,2026_BISON_COW.xlsx,5,
staged_xlsx,2026_BISON_HUNTER_CHOICE.xlsx,14,
staged_xlsx,2026_BLACK_BEAR.xlsx,106,
staged_xlsx,2026_COUGAR.xlsx,1,
staged_xlsx,2026_DEER_ANTLERLESS.xlsx,20,
staged_xlsx,2026_DEER_ANTLERLESS_CWMU.xlsx,4,
staged_xlsx,2026_DEER_ARCHERY_EXTENDED.xlsx,1,
staged_xlsx,2026_DEER_BUCK_CACTUS.xlsx,1,
staged_xlsx,2026_DEER_BUCK_CONSERVATION.xlsx,4,
staged_xlsx,2026_DEER_BUCK_CWMU.xlsx,110,
staged_xlsx,2026_DEER_BUCK_DRAW.xlsx,459,
staged_xlsx,2026_DEER_BUCK_LIMITED_ENTRY.xlsx,67,
staged_xlsx,2026_DEER_BUCK_LIMITED_ENTRY_MANAGEMENT_BUCK.xlsx,5,
staged_xlsx,2026_DEER_BUCK_LIMITED_ENTRY_PRIVATE_LANDS_ONLY.xlsx,8,
staged_xlsx,2026_DEER_BUCK_PREMIUM_LIMITED_ENTRY.xlsx,10,
staged_xlsx,2026_DEER_BUCK_STATEWIDE.xlsx,1,
staged_xlsx,2026_DEER_GENERAL_SEASON.xlsx,136,
staged_xlsx,2026_DEER_GENERAL_SEASON_PRIVATE_LANDS.xlsx,17,
staged_xlsx,2026_DEER_HUNTER_CHOICE.xlsx,1,
staged_xlsx,2026_DESERT_BIGHORN_RAM.xlsx,25,
staged_xlsx,2026_ELK_ANTLERLESS.xlsx,204,
staged_xlsx,2026_ELK_ANTLERLESS_CONSERVATION.xlsx,5,
staged_xlsx,2026_ELK_ANTLERLESS_CWMU.xlsx,59,
staged_xlsx,2026_ELK_ANTLERLESS_PRIVATE_LANDS_ONLY.xlsx,27,
staged_xlsx,2026_ELK_ARCHERY_EXTENDED.xlsx,1,
staged_xlsx,2026_ELK_BULL_ALL.xlsx,353,
staged_xlsx,2026_ELK_BULL_CONSERVATION_PERMIT.xlsx,2,
staged_xlsx,2026_ELK_BULL_CWMU.xlsx,64,
staged_xlsx,2026_ELK_BULL_GENERAL_ANY_BULL.xlsx,5,
staged_xlsx,2026_ELK_GENERAL_ANY_BULL_YOUTH.xlsx,1,
staged_xlsx,2026_ELK_GENERAL_ARCHERY.xlsx,1,
staged_xlsx,2026_ELK_GENERAL_SPIKE_ONLY.xlsx,3,
staged_xlsx,2026_ELK_LIMITED_ENTRY_MATUREBULL.xlsx,145,
staged_xlsx,2026_ELK_LIMITED_ENTRY_MATUREBULL_PRIVATE_LANDS.xlsx,131,
staged_xlsx,2026_ELK_LIMITED_ENTRY_STATEWIDE.xlsx,1,
staged_xlsx,2026_GOAT_HUNTER_CHOICE.xlsx,18,
staged_xlsx,2026_MOOSE_BULL.xlsx,27,
staged_xlsx,2026_MOOSE_COW.xlsx,3,
staged_xlsx,2026_SHEEP_DESERT_RAM.xlsx,25,
staged_xlsx,2026_SHEEP_ROCKY_MOUNTAIN_EWE.xlsx,1,
staged_xlsx,2026_SHEEP_ROCKY_MOUNTAIN_RAM.xlsx,25,
staged_xlsx,2026_TURKEY_BEARDED.xlsx,14,
staged_xlsx,2026_TURKEY_EITHER_SEX.xlsx,4,
staged_xlsx,DISPLAY_READY.xlsx,2,
staged_xlsx,MASTER.xlsx,1449,
staged_xlsx,~$2025-27 Conservation Permits.xlsx,0,File is not a zip file
staged_pdf,2026 BISON COW O.I.L.pdf,5,
staged_pdf,2026 SHEEP ROCKY MTN.pdf,2,
staged_pdf,2026_ANTLERLESS_ELK_GENERAL_SEASON.pdf,112,
staged_pdf,2026_BISON_COW.pdf,5,
staged_pdf,2026_BISON_HUNTER_CHOICE.pdf,14,
staged_pdf,2026_BLACK_BEAR.pdf,106,
staged_pdf,2026_COUGAR.pdf,1,
staged_pdf,2026_DEER_ANTLERLESS.pdf,20,
staged_pdf,2026_DEER_ANTLERLESS_CWMU.pdf,4,
staged_pdf,2026_DEER_ARCHERY_EXTENDED.pdf,1,
staged_pdf,2026_DEER_BUCK_CACTUS.pdf,1,
staged_pdf,2026_DEER_BUCK_CONSERVATION.pdf,4,
staged_pdf,2026_DEER_BUCK_CWMU.pdf,110,
staged_pdf,2026_DEER_BUCK_DRAW.pdf,459,
staged_pdf,2026_DEER_BUCK_LIMITED_ENTRY.pdf,67,
staged_pdf,2026_DEER_BUCK_LIMITED_ENTRY_MANAGEMENT_BUCK.pdf,5,
staged_pdf,2026_DEER_BUCK_LIMITED_ENTRY_PRIVATE_LANDS_ONLY.pdf,8,
staged_pdf,2026_DEER_BUCK_PREMIUM_LIMITED_ENTRY.pdf,10,
staged_pdf,2026_DEER_BUCK_STATEWIDE.pdf,1,
staged_pdf,2026_DEER_GENERAL_SEASON.pdf,136,
staged_pdf,2026_DEER_GENERAL_SEASON_PRIVATE_LANDS.pdf,17,
staged_pdf,2026_DEER_HUNTER_CHOICE.pdf,1,
staged_pdf,2026_DESERT_BIGHORN_RAM.pdf,25,
staged_pdf,2026_ELK_ANTLERLESS.pdf,204,
staged_pdf,2026_ELK_ANTLERLESS_CONSERVATION.pdf,5,
staged_pdf,2026_ELK_ANTLERLESS_CWMU.pdf,59,
staged_pdf,2026_ELK_ANTLERLESS_PRIVATE_LANDS_ONLY.pdf,27,
staged_pdf,2026_ELK_ARCHERY_EXTENDED.pdf,1,
staged_pdf,2026_ELK_BULL_ALL.pdf,353,
staged_pdf,2026_ELK_BULL_CONSERVATION_PERMIT.pdf,2,
staged_pdf,2026_ELK_BULL_CWMU.pdf,64,
staged_pdf,2026_ELK_BULL_GENERAL_ANY_BULL.pdf,5,
staged_pdf,2026_ELK_GENERAL_ANY_BULL_YOUTH.pdf,1,
staged_pdf,2026_ELK_GENERAL_ARCHERY.pdf,1,
staged_pdf,2026_ELK_GENERAL_SPIKE_ONLY.pdf,3,
staged_pdf,2026_ELK_LIMITED_ENTRY_MATUREBULL.pdf,145,
staged_pdf,2026_ELK_LIMITED_ENTRY_MATUREBULL_PRIVATE_LANDS.pdf,131,
staged_pdf,2026_ELK_LIMITED_ENTRY_STATEWIDE.pdf,1,
staged_pdf,2026_GOAT_HUNTER_CHOICE.pdf,18,
staged_pdf,2026_MOOSE_BULL.pdf,27,
staged_pdf,2026_MOOSE_COW.pdf,3,
staged_pdf,2026_SHEEP_DESERT_RAM.pdf,25,
staged_pdf,2026_SHEEP_ROCKY_MOUNTAIN_EWE.pdf,1,
staged_pdf,2026_SHEEP_ROCKY_MOUNTAIN_RAM.pdf,25,
staged_pdf,2026_TURKEY_BEARDED.pdf,14,
staged_pdf,2026_TURKEY_EITHER_SEX.pdf,4,
raw_truth_pdf,2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,90,
raw_truth_pdf,2026_PERMITS=2027_MODEL__BEAR RESTRICTED PURSUIT DRAW RESULTS.pdf,9,
raw_truth_pdf,2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,31,
raw_truth_pdf,2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,106,
raw_truth_pdf,2026_PERMITS=2027_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,192,
raw_truth_pdf,2026_PERMITS=2027_MODEL__L.E. BUCK PRONGHORN DRAW RESULTS.pdf,87,
raw_truth_pdf,2026_PERMITS=2027_MODEL__L.E. BULL ELK DRAW RESULTS.pdf,209,
raw_truth_pdf,2026_PERMITS=2027_MODEL__O.I.L. BISON DRAW RESULTS.pdf,16,
raw_truth_pdf,2026_PERMITS=2027_MODEL__O.I.L. BULL MOOSE DRAW RESULTS.pdf,26,
raw_truth_pdf,2026_PERMITS=2027_MODEL__O.I.L. DESERT BIGHORN SHEEP DRAW RESULTS.pdf,18,
raw_truth_pdf,2026_PERMITS=2027_MODEL__O.I.L. MTN GOAT DRAW RESULTS.pdf,17,
raw_truth_pdf,2026_PERMITS=2027_MODEL__O.I.L. ROCKY MTN SHEEP DRAW RESULTS.pdf,15,
raw_truth_pdf,2026_PERMITS=2027_MODEL__SPORTSMAN BISON DRAW RESULTS.pdf,1,
raw_truth_pdf,2026_PERMITS=2027_MODEL__SPORTSMAN BLACK BEAR DRAW RESULTS.pdf,1,
raw_truth_pdf,2026_PERMITS=2027_MODEL__SPORTSMAN DESERT BIGHORN SHEEP DRAW RESULTS.pdf,1,
raw_truth_pdf,2026_PERMITS=2027_MODEL__SPORTSMAN DRAW RESULTS.pdf,10,
raw_truth_pdf,2026_PERMITS=2027_MODEL__SPORTSMAN ELK DRAW RESULTS.pdf,1,
raw_truth_pdf,2026_PERMITS=2027_MODEL__SPORTSMAN MOOSE DRAW RESULTS.pdf,1,
raw_truth_pdf,2026_PERMITS=2027_MODEL__SPORTSMAN MTN GOAT DRAW RESULTS.pdf,1,
raw_truth_pdf,2026_PERMITS=2027_MODEL__SPORTSMAN PRONGHORN DRAW RESULTS.pdf,1,
raw_truth_pdf,2026_PERMITS=2027_MODEL__SPORTSMAN ROCKY MTN BIGHORN SHEEP DRAW RESULTS.pdf,1,
raw_truth_pdf,2026_PERMITS=2027_MODEL__SPORTSMAN TURKEY DRAW RESULTS.pdf,1,
raw_truth_pdf,2026_PERMITS=2027_MODEL__YOUTH ELK DRAW RESULTS.pdf,1,
raw_truth_pdf,2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf,834,
