hunt_code,prefix,source_count,sources
BR7200,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7201,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7203,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7204,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7205,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7207,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7208,BR,1,MASTER.xlsx
BR7210,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7211,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7212,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7213,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7214,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7215,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7216,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7217,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7218,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7219,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7220,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7221,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7224,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7225,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7228,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7229,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7237,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7238,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7239,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7300,BR,3,2025-27 Conservation Permits.xlsx; 2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7301,BR,3,2025-27 Conservation Permits.xlsx; 2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7303,BR,3,2025-27 Conservation Permits.xlsx; 2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7304,BR,3,2025-27 Conservation Permits.xlsx; 2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7305,BR,3,2025-27 Conservation Permits.xlsx; 2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7307,BR,3,2025-27 Conservation Permits.xlsx; 2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7308,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7309,BR,3,2025-27 Conservation Permits.xlsx; 2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7310,BR,3,2025-27 Conservation Permits.xlsx; 2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7311,BR,3,2025-27 Conservation Permits.xlsx; 2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7312,BR,3,2025-27 Conservation Permits.xlsx; 2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7313,BR,3,2025-27 Conservation Permits.xlsx; 2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7314,BR,3,2025-27 Conservation Permits.xlsx; 2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7315,BR,3,2025-27 Conservation Permits.xlsx; 2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7316,BR,3,2025-27 Conservation Permits.xlsx; 2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7317,BR,3,2025-27 Conservation Permits.xlsx; 2026_BLACK_BEAR.xlsx; MASTER.xlsx
