comparison,hunt_code,prefix,sources
fresh_downloads_missing_from_staged_xlsx,EA1007,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_xlsx,EA1053,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_xlsx,EA1107,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_xlsx,EA1288,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_xlsx,EA1289,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_xlsx,EA1290,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_xlsx,EA1291,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_xlsx,EA1292,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_xlsx,EA1293,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_xlsx,EA1294,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_xlsx,EA1295,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_xlsx,EA1296,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_xlsx,EA1297,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_xlsx,EA1298,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_xlsx,EA1299,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_xlsx,EA1300,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_xlsx,EA1301,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_xlsx,GS0000,GS,dwr_huntboundary_tribal_na.json
fresh_downloads_missing_from_staged_xlsx,LG1001,LG,dwr_huntboundary_goose_light_either_sex.json
fresh_downloads_missing_from_staged_xlsx,LG1005,LG,dwr_huntboundary_goose_light_either_sex.json
fresh_downloads_missing_from_staged_xlsx,MA1011,MA,dwr_huntboundary_moose_antlerless.json
fresh_downloads_missing_from_staged_xlsx,PD1011,PD,dwr_huntboundary_pronghorn_doe.json
fresh_downloads_missing_from_staged_xlsx,PD1039,PD,dwr_huntboundary_pronghorn_doe.json
fresh_downloads_missing_from_staged_xlsx,PD1041,PD,dwr_huntboundary_pronghorn_doe.json
fresh_downloads_missing_from_staged_xlsx,SC1000,SC,dwr_huntboundary_sandhill_crane_either_sex.json
fresh_downloads_missing_from_staged_xlsx,SC1001,SC,dwr_huntboundary_sandhill_crane_either_sex.json
fresh_downloads_missing_from_staged_xlsx,SC1002,SC,dwr_huntboundary_sandhill_crane_either_sex.json
fresh_downloads_missing_from_staged_xlsx,SC1006,SC,dwr_huntboundary_sandhill_crane_either_sex.json
fresh_downloads_missing_from_staged_xlsx,SC1007,SC,dwr_huntboundary_sandhill_crane_either_sex.json
fresh_downloads_missing_from_staged_xlsx,SC1008,SC,dwr_huntboundary_sandhill_crane_either_sex.json
fresh_downloads_missing_from_staged_xlsx,SG1000,SG,dwr_huntboundary_greater_sage_grouse_either_sex.json
fresh_downloads_missing_from_staged_xlsx,SG1001,SG,dwr_huntboundary_greater_sage_grouse_either_sex.json
fresh_downloads_missing_from_staged_xlsx,SG1002,SG,dwr_huntboundary_greater_sage_grouse_either_sex.json
fresh_downloads_missing_from_staged_xlsx,SG1003,SG,dwr_huntboundary_greater_sage_grouse_either_sex.json
fresh_downloads_missing_from_staged_xlsx,ST1000,ST,dwr_huntboundary_sharp_tailed_grouse_either_sex.json
fresh_downloads_missing_from_staged_xlsx,ST1001,ST,dwr_huntboundary_sharp_tailed_grouse_either_sex.json
fresh_downloads_missing_from_staged_xlsx,TS1000,TS,dwr_huntboundary_tundra_swan_either_sex.json
fresh_downloads_missing_from_staged_xlsx,WG1000,WG,dwr_huntboundary_goose_white_fronted_either_sex.json
fresh_downloads_missing_from_staged_xlsx,WG1001,WG,dwr_huntboundary_goose_white_fronted_either_sex.json
fresh_downloads_missing_from_staged_xlsx,WG1002,WG,dwr_huntboundary_goose_white_fronted_either_sex.json
fresh_downloads_missing_from_staged_xlsx,WG1003,WG,dwr_huntboundary_goose_white_fronted_either_sex.json
staged_pdf_missing_from_fresh_downloads,EA1012,EA,2026_ANTLERLESS_ELK_GENERAL_SEASON.pdf; 2026_ELK_ANTLERLESS.pdf
staged_pdf_missing_from_fresh_downloads,EA1049,EA,2026_ANTLERLESS_ELK_GENERAL_SEASON.pdf; 2026_ELK_ANTLERLESS.pdf
staged_pdf_missing_from_fresh_downloads,EA1174,EA,2026_ELK_ANTLERLESS.pdf; 2026_ELK_ANTLERLESS_CWMU.pdf
staged_pdf_missing_from_fresh_downloads,EA1187,EA,2026_ANTLERLESS_ELK_GENERAL_SEASON.pdf; 2026_ELK_ANTLERLESS.pdf
staged_pdf_missing_from_fresh_downloads,EA1206,EA,2026_ANTLERLESS_ELK_GENERAL_SEASON.pdf; 2026_ELK_ANTLERLESS.pdf
staged_pdf_missing_from_fresh_downloads,EA1234,EA,2026_ELK_ANTLERLESS.pdf; 2026_ELK_ANTLERLESS_CWMU.pdf
staged_pdf_missing_from_fresh_downloads,EA1259,EA,2026_ELK_ANTLERLESS.pdf; 2026_ELK_ANTLERLESS_CWMU.pdf
staged_pdf_missing_from_fresh_downloads,EA1278,EA,2026_ANTLERLESS_ELK_GENERAL_SEASON.pdf; 2026_ELK_ANTLERLESS.pdf
staged_pdf_missing_from_fresh_downloads,EA1279,EA,2026_ANTLERLESS_ELK_GENERAL_SEASON.pdf; 2026_ELK_ANTLERLESS.pdf
staged_pdf_missing_from_fresh_downloads,EA1280,EA,2026_ANTLERLESS_ELK_GENERAL_SEASON.pdf; 2026_ELK_ANTLERLESS.pdf
staged_pdf_missing_from_fresh_downloads,EA1282,EA,2026_ANTLERLESS_ELK_GENERAL_SEASON.pdf; 2026_ELK_ANTLERLESS.pdf
staged_pdf_missing_from_fresh_downloads,MA1009,MA,2026_MOOSE_COW.pdf
fresh_downloads_missing_from_staged_pdf,DA1051,DA,dwr_huntboundary_deer_antlerless.json
fresh_downloads_missing_from_staged_pdf,DB1348,DB,dwr_huntboundary_deer_buck.json
fresh_downloads_missing_from_staged_pdf,DG1000,DG,dwr_huntboundary_goose_dark_either_sex.json
fresh_downloads_missing_from_staged_pdf,DG1001,DG,dwr_huntboundary_goose_dark_either_sex.json
fresh_downloads_missing_from_staged_pdf,DG1002,DG,dwr_huntboundary_goose_dark_either_sex.json
fresh_downloads_missing_from_staged_pdf,DG1003,DG,dwr_huntboundary_goose_dark_either_sex.json
fresh_downloads_missing_from_staged_pdf,DK1000,DK,dwr_huntboundary_waterfowl_either_sex.json
fresh_downloads_missing_from_staged_pdf,DK1001,DK,dwr_huntboundary_waterfowl_either_sex.json
fresh_downloads_missing_from_staged_pdf,EA1007,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_pdf,EA1053,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_pdf,EA1107,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_pdf,EA1288,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_pdf,EA1289,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_pdf,EA1290,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_pdf,EA1291,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_pdf,EA1292,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_pdf,EA1293,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_pdf,EA1294,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_pdf,EA1295,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_pdf,EA1296,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_pdf,EA1297,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_pdf,EA1298,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_pdf,EA1299,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_pdf,EA1300,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_pdf,EA1301,EA,dwr_huntboundary_elk_antlerless.json
fresh_downloads_missing_from_staged_pdf,GS0000,GS,dwr_huntboundary_tribal_na.json
fresh_downloads_missing_from_staged_pdf,LG1001,LG,dwr_huntboundary_goose_light_either_sex.json
fresh_downloads_missing_from_staged_pdf,LG1005,LG,dwr_huntboundary_goose_light_either_sex.json
fresh_downloads_missing_from_staged_pdf,LP5025,LP,dwr_huntboundary_pronghorn_buck.json
fresh_downloads_missing_from_staged_pdf,LP5031,LP,dwr_huntboundary_pronghorn_buck.json
fresh_downloads_missing_from_staged_pdf,LP5033,LP,dwr_huntboundary_pronghorn_buck.json
fresh_downloads_missing_from_staged_pdf,LP5046,LP,dwr_huntboundary_pronghorn_buck.json
fresh_downloads_missing_from_staged_pdf,LP5049,LP,dwr_huntboundary_pronghorn_buck.json
fresh_downloads_missing_from_staged_pdf,LP5051,LP,dwr_huntboundary_pronghorn_buck.json
fresh_downloads_missing_from_staged_pdf,MA1008,MA,dwr_huntboundary_moose_antlerless.json
fresh_downloads_missing_from_staged_pdf,MA1010,MA,dwr_huntboundary_moose_antlerless.json
fresh_downloads_missing_from_staged_pdf,MA1011,MA,dwr_huntboundary_moose_antlerless.json
fresh_downloads_missing_from_staged_pdf,PB1000,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_sportsman_2026_sportsman_pronghorn_mht24.json
fresh_downloads_missing_from_staged_pdf,PB5000,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5001,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5002,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5003,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5004,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5005,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5006,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5008,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5009,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5011,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5012,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5013,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5015,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5016,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5017,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5018,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5019,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5020,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5021,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5024,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5025,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5026,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5027,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5028,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5029,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5030,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5031,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5033,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5034,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5035,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5037,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5038,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5039,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5040,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5041,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5042,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5044,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5045,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5046,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5047,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5048,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5049,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5050,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5051,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5052,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5053,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5054,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5055,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5056,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5059,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5060,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5061,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5062,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5065,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5066,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5072,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5073,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
fresh_downloads_missing_from_staged_pdf,PB5074,PB,dwr_huntboundary_pronghorn_buck.json; utahdraws_big_game_2026_limited_entry_buck_pronghorn_mht10.json
