actual_draw_year,model_target_year,boundary_id,hunt_code,hunt_name,sex_type,species,hunt_type,weapon,season,draw_design,points,record_type,resident_eligible_applicants,resident_bonus_permits,resident_regular_permits,resident_total_permits,resident_success_ratio,resident_p_draw,resident_p_draw_percent,nonresident_eligible_applicants,nonresident_bonus_permits,nonresident_regular_permits,nonresident_total_permits,nonresident_success_ratio,nonresident_p_draw,nonresident_p_draw_percent,total_eligible_applicants,total_bonus_permits,total_regular_permits,total_permits,total_success_ratio,total_p_draw,total_p_draw_percent,permits_2025_res,permits_2025_nr,permits_2025_total,source_scope,source_namespace,draw_source_namespace,source_file,pdf_page,page_kind,algorithm_status,source_dataset,extraction_status,parse_method,qa_status,notes,source_residencies,source_row_count,collapse_conflict_count,successful_applicants,unsuccessful_applicants
2025,2026,94,BI6503,Henry Mtns,Hunters Choice,Bison,Once-in-a-Lifetime,Any Legal Weapon,,Max/Weighted Split,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,6,,,,4,2,6,BISON_OIL_BONUS_DRAW,oil_2025_draw_results_model_target_2026_permit_totals,oil_2025_draw_results_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,38,,,oil_2025_draw_results_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,6,
2025,2026,94,BI6504,Henry Mtns,Hunters Choice,Bison,Once-in-a-Lifetime,Any Legal Weapon,,Max/Weighted Split,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,7,,,,5,2,7,BISON_OIL_BONUS_DRAW,oil_2025_draw_results_model_target_2026_permit_totals,oil_2025_draw_results_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,39,,,oil_2025_draw_results_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,7,
2025,2026,94,BI6505,Henry Mtns,Hunters Choice,Bison,Once-in-a-Lifetime,Any Legal Weapon,,Max/Weighted Split,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,28,,,,25,3,28,BISON_OIL_BONUS_DRAW,oil_2025_draw_results_model_target_2026_permit_totals,oil_2025_draw_results_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,40,,,oil_2025_draw_results_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,28,
2025,2026,94,BI6506,Henry Mtns,Hunters Choice,Bison,Once-in-a-Lifetime,Any Legal Weapon,,Max/Weighted Split,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,30,,,,30,0,30,BISON_OIL_BONUS_DRAW,oil_2025_draw_results_model_target_2026_permit_totals,oil_2025_draw_results_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,41,,,oil_2025_draw_results_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,30,
2025,2026,94,BI6509,Henry Mtns,Hunters Choice,Bison,Once-in-a-Lifetime,Archery,,Max/Weighted Split,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,4,,,,4,0,4,BISON_OIL_BONUS_DRAW,oil_2025_draw_results_model_target_2026_permit_totals,oil_2025_draw_results_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,42,,,oil_2025_draw_results_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,4,
2025,2026,94,BI6516,Henry Mtns,Hunters Choice,Bison,Once-in-a-Lifetime,Any Legal Weapon,,Max/Weighted Split,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,5,,,,5,0,5,BISON_OIL_BONUS_DRAW,oil_2025_draw_results_model_target_2026_permit_totals,oil_2025_draw_results_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,43,,,oil_2025_draw_results_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,5,
2025,2026,889,BI6528,"Book Cliffs, Little Creek/South",Hunters Choice,Bison,Once-in-a-Lifetime,Archery,,Max/Weighted Split,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,5,,,,5,0,5,BISON_OIL_BONUS_DRAW,oil_2025_draw_results_model_target_2026_permit_totals,oil_2025_draw_results_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,44,,,oil_2025_draw_results_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,5,
2025,2026,889,BI6529,"Book Cliffs, Little Creek/South",Hunters Choice,Bison,Once-in-a-Lifetime,Any Legal Weapon,,Max/Weighted Split,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,8,,,,8,0,8,BISON_OIL_BONUS_DRAW,oil_2025_draw_results_model_target_2026_permit_totals,oil_2025_draw_results_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,45,,,oil_2025_draw_results_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,8,
2025,2026,889,BI6531,"Book Cliffs, Little Creek/South",Hunters Choice,Bison,Once-in-a-Lifetime,Any Legal Weapon,,Max/Weighted Split,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,7,,,,7,0,7,BISON_OIL_BONUS_DRAW,oil_2025_draw_results_model_target_2026_permit_totals,oil_2025_draw_results_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,46,,,oil_2025_draw_results_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,7,
2025,2026,667,BI6532,"Book Cliffs, Bitter Creek (pronghorn)",Hunters Choice,Bison,Once-in-a-Lifetime,Archery,,Max/Weighted Split,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,5,,,,5,0,5,BISON_OIL_BONUS_DRAW,oil_2025_draw_results_model_target_2026_permit_totals,oil_2025_draw_results_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,47,,,oil_2025_draw_results_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,5,
2025,2026,667,BI6534,"Book Cliffs, Bitter Creek (pronghorn)",Hunters Choice,Bison,Once-in-a-Lifetime,Any Legal Weapon,,Max/Weighted Split,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,5,,,,5,0,5,BISON_OIL_BONUS_DRAW,oil_2025_draw_results_model_target_2026_permit_totals,oil_2025_draw_results_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,48,,,oil_2025_draw_results_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,5,
2025,2026,667,BI6535,"Book Cliffs, Bitter Creek (pronghorn)",Hunters Choice,Bison,Once-in-a-Lifetime,Any Legal Weapon,,Max/Weighted Split,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,5,,,,5,0,5,BISON_OIL_BONUS_DRAW,oil_2025_draw_results_model_target_2026_permit_totals,oil_2025_draw_results_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,49,,,oil_2025_draw_results_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,5,
2025,2026,667,BI6536,"Book Cliffs, Bitter Creek (pronghorn)",Hunters Choice,Bison,Once-in-a-Lifetime,Any Legal Weapon,,Max/Weighted Split,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,2,,,,2,0,2,BISON_OIL_BONUS_DRAW,oil_2025_draw_results_model_target_2026_permit_totals,oil_2025_draw_results_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,50,,,oil_2025_draw_results_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,2,
2025,2026,889,BI6537,"Book Cliffs, Little Creek/South",Hunters Choice,Bison,Once-in-a-Lifetime,Any Legal Weapon,,Max/Weighted Split,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,10,,,,5,5,10,BISON_OIL_BONUS_DRAW,oil_2025_draw_results_model_target_2026_permit_totals,oil_2025_draw_results_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,51,,,oil_2025_draw_results_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,10,
2025,2026,684,BR7307,La Sal,Either Sex,Black Bear,Conservation,Multiseason,,MDF,,conservation_auction_allocation,,,,,,,,,,,,,,,,,,0,,,,0,0,0,BLACK_BEAR_CONSERVATION_ORGANIZATION_ALLOCATION,official_2025_2027_conservation_permit_workbook,official_2025_2027_conservation_permit_workbook,pipeline/RAW/hunt_unit_database/2026/pdf/Conservation Permits/2025-27 Conservation Permits.pdf,,conservation_permit_allocation,NOT_SCORABLE_AUCTIONED_CONSERVATION,black_bear_2025_draw_odds_model_target_2026_permit_totals,SOURCE_RECONCILED_FROM_CONSERVATION_PERMIT_WORKBOOK,manual_source_reconciliation,OK,Conservation permit source row 38: one permit line assigned to MDF from 2025-27 Conservation Permits; no resident/nonresident split; not a draw-odds permit.,total,1,0,,
2025,2026,684,BR7307,La Sal,Either Sex,Black Bear,Conservation,Multiseason,,SFW,,conservation_auction_allocation,,,,,,,,,,,,,,,,,,0,,,,0,0,0,BLACK_BEAR_CONSERVATION_ORGANIZATION_ALLOCATION,official_2025_2027_conservation_permit_workbook,official_2025_2027_conservation_permit_workbook,pipeline/RAW/hunt_unit_database/2026/pdf/Conservation Permits/2025-27 Conservation Permits.pdf,,conservation_permit_allocation,NOT_SCORABLE_AUCTIONED_CONSERVATION,black_bear_2025_draw_odds_model_target_2026_permit_totals,SOURCE_RECONCILED_FROM_CONSERVATION_PERMIT_WORKBOOK,manual_source_reconciliation,OK,Conservation permit source row 37: one permit line assigned to SFW from 2025-27 Conservation Permits; no resident/nonresident split; not a draw-odds permit. | Conservation permit source row 39: one permit line assigned to SFW from 2025-27 Conservation Permits; no resident/nonresident split; not a draw-odds permit.,total,2,0,,
2025,2026,684,BR7307,La Sal,Either Sex,Black Bear,Conservation,Multiseason,,UHA,,conservation_auction_allocation,,,,,,,,,,,,,,,,,,0,,,,0,0,0,BLACK_BEAR_CONSERVATION_ORGANIZATION_ALLOCATION,official_2025_2027_conservation_permit_workbook,official_2025_2027_conservation_permit_workbook,pipeline/RAW/hunt_unit_database/2026/pdf/Conservation Permits/2025-27 Conservation Permits.pdf,,conservation_permit_allocation,NOT_SCORABLE_AUCTIONED_CONSERVATION,black_bear_2025_draw_odds_model_target_2026_permit_totals,SOURCE_RECONCILED_FROM_CONSERVATION_PERMIT_WORKBOOK,manual_source_reconciliation,OK,Conservation permit source row 36: one permit line assigned to UHA from 2025-27 Conservation Permits; no resident/nonresident split; not a draw-odds permit.,total,1,0,,
2025,2026,5107,CG9999,Cougar - Statewide,Either Sex,Cougar,O.T.C.,Any Legal Weapon,Open Season,Unlimited,,availability_only,,,,,,,,,,,,,,,,,,0,,,,0,0,0,COUGAR_OTC_AVAILABILITY,official_2025_otc_availability_reference,official_2025_otc_availability_reference,Utah DWR Hunt Planner / 2025 cougar open-season OTC availability,,,OK,official_2025_otc_availability_reference,,,OK,2025 statewide cougar is open-season OTC/unlimited; not a draw probability point row.,total,1,0,,
2025,2026,94,DS6600,Henry Mtns,Male Only,Desert Bighorn Sheep,Once-in-a-Lifetime,Any Legal Weapon,,Max/Weighted Split,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,3,,,,3,0,3,DESERT BIGHORN SHEEP_OIL_BONUS_DRAW,oil_2025_draw_results_model_target_2026_permit_totals,oil_2025_draw_results_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,52,,,oil_2025_draw_results_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,3,
2025,2026,98,DS6601,"Kaiparowits, East",Male Only,Desert Bighorn Sheep,Once-in-a-Lifetime,Any Legal Weapon,,Max/Weighted Split,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,11,,,,9,2,11,DESERT BIGHORN SHEEP_OIL_BONUS_DRAW,oil_2025_draw_results_model_target_2026_permit_totals,oil_2025_draw_results_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,53,,,oil_2025_draw_results_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,11,
2025,2026,100,DS6603,"Kaiparowits, West",Male Only,Desert Bighorn Sheep,Once-in-a-Lifetime,Any Legal Weapon,,Max/Weighted Split,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,5,,,,4,1,5,DESERT BIGHORN SHEEP_OIL_BONUS_DRAW,oil_2025_draw_results_model_target_2026_permit_totals,oil_2025_draw_results_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,54,,,oil_2025_draw_results_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,5,
2025,2026,688,DS6604,"La Sal, Potash/South Cisco",Male Only,Desert Bighorn Sheep,Once-in-a-Lifetime,Any Legal Weapon,,Max/Weighted Split,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,6,,,,6,0,6,DESERT BIGHORN SHEEP_OIL_BONUS_DRAW,oil_2025_draw_results_model_target_2026_permit_totals,oil_2025_draw_results_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,55,,,oil_2025_draw_results_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,6,
2025,2026,187,DS6606,"San Juan, Lockhart",Male Only,Desert Bighorn Sheep,Once-in-a-Lifetime,Any Legal Weapon,,Max/Weighted Split,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,2,,,,2,0,2,DESERT BIGHORN SHEEP_OIL_BONUS_DRAW,oil_2025_draw_results_model_target_2026_permit_totals,oil_2025_draw_results_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,56,,,oil_2025_draw_results_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,2,
2025,2026,190,DS6607,"San Juan, South",Male Only,Desert Bighorn Sheep,Once-in-a-Lifetime,Any Legal Weapon,,Max/Weighted Split,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,2,,,,2,0,2,DESERT BIGHORN SHEEP_OIL_BONUS_DRAW,oil_2025_draw_results_model_target_2026_permit_totals,oil_2025_draw_results_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,57,,,oil_2025_draw_results_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,2,
2025,2026,193,DS6608,"San Rafael, Dirty Devil",Male Only,Desert Bighorn Sheep,Once-in-a-Lifetime,Any Legal Weapon,,Max/Weighted Split,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,7,,,,5,2,7,DESERT BIGHORN SHEEP_OIL_BONUS_DRAW,oil_2025_draw_results_model_target_2026_permit_totals,oil_2025_draw_results_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,58,,,oil_2025_draw_results_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,7,
2025,2026,194,DS6609,"San Rafael, North",Male Only,Desert Bighorn Sheep,Once-in-a-Lifetime,Any Legal Weapon,,Max/Weighted Split,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,7,,,,7,0,7,DESERT BIGHORN SHEEP_OIL_BONUS_DRAW,oil_2025_draw_results_model_target_2026_permit_totals,oil_2025_draw_results_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,59,,,oil_2025_draw_results_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,7,
2025,2026,195,DS6610,"San Rafael, South",Male Only,Desert Bighorn Sheep,Once-in-a-Lifetime,Any Legal Weapon,,Max/Weighted Split,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,12,,,,10,2,12,DESERT BIGHORN SHEEP_OIL_BONUS_DRAW,oil_2025_draw_results_model_target_2026_permit_totals,oil_2025_draw_results_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,60,,,oil_2025_draw_results_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,12,
2025,2026,635,DS6611,Zion,Male Only,Desert Bighorn Sheep,Once-in-a-Lifetime,Any Legal Weapon,,Max/Weighted Split,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,3,,,,3,0,3,DESERT BIGHORN SHEEP_OIL_BONUS_DRAW,oil_2025_draw_results_model_target_2026_permit_totals,oil_2025_draw_results_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,61,,,oil_2025_draw_results_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,3,
2025,2026,306,DS6620,"Pine Valley, Virgin River",Male Only,Desert Bighorn Sheep,Once-in-a-Lifetime,Any Legal Weapon,,Max/Weighted Split,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,3,,,,3,0,3,DESERT BIGHORN SHEEP_OIL_BONUS_DRAW,oil_2025_draw_results_model_target_2026_permit_totals,oil_2025_draw_results_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,62,,,oil_2025_draw_results_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,3,
2025,2026,305,DS6621,"Pine Valley, Beaver Dam",Male Only,Desert Bighorn Sheep,Once-in-a-Lifetime,Any Legal Weapon,,Max/Weighted Split,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,5,,,,5,0,5,DESERT BIGHORN SHEEP_OIL_BONUS_DRAW,oil_2025_draw_results_model_target_2026_permit_totals,oil_2025_draw_results_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,63,,,oil_2025_draw_results_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,5,
2025,2026,308,DS6622,"San Juan, North",Male Only,Desert Bighorn Sheep,Once-in-a-Lifetime,Any Legal Weapon,,Max/Weighted Split,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,3,,,,3,0,3,DESERT BIGHORN SHEEP_OIL_BONUS_DRAW,oil_2025_draw_results_model_target_2026_permit_totals,oil_2025_draw_results_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,64,,,oil_2025_draw_results_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,3,
2025,2026,309,DS6623,"San Juan, San Juan River",Male Only,Desert Bighorn Sheep,Once-in-a-Lifetime,Any Legal Weapon,,Max/Weighted Split,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,2,,,,2,0,2,DESERT BIGHORN SHEEP_OIL_BONUS_DRAW,oil_2025_draw_results_model_target_2026_permit_totals,oil_2025_draw_results_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,65,,,oil_2025_draw_results_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,2,
2025,2026,193,DS6624,"San Rafael, Dirty Devil",Male Only,Desert Bighorn Sheep,Once-in-a-Lifetime,Archery,,Max/Weighted Split,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,2,,,,2,0,2,DESERT BIGHORN SHEEP_OIL_BONUS_DRAW,oil_2025_draw_results_model_target_2026_permit_totals,oil_2025_draw_results_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,66,,,oil_2025_draw_results_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,2,
