year,family,title,official_basename,url,official_size_bytes,official_sha256,match_status,exact_hash_match_count,exact_hash_match_paths,basename_match_count,basename_match_paths
,COUGAR,Drawing odds,2021_cougar_odds_report.pdf,https://wildlife.utah.gov/pdf/cougar/2021_cougar_odds_report.pdf,126818,67c960e2cf7750f0f42cf771f9f6ee56b3d66438a9ab1347751a1a17961432ca,EXACT_HASH_MATCH,7,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\Parent Files\2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\deduplicated_exact_hash_archive\2020_REBUILT_DATABASE_REPO_STRUCTURE_PACKAGE__data_truth__draw_results_truth__raw_pdf__2020_PERMITS=2021_MODEL__2020_cougar_odds_report(3).pdf | C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\pdf\2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2020_PERMITS=2021_MODEL\2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2020\Parent Files\2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2020\pdf\draw_odds\2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2021\pdf\draw_odds\80165f60__cougar_Drawing odds.pdf,1,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2021\Parent Files\2021_cougar_odds_report.pdf
,COUGAR,Drawing odds,2020_cougar_odds_report.pdf,https://wildlife.utah.gov/pdf/cougar/2020_cougar_odds_report.pdf,162480,ef23cd88492b9f1093909f2e1b1df69d9c057bc175b3768c1aa9fc1f565715cd,EXACT_HASH_MATCH,6,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\Parent Folders\2019_PERMITS=2020_MODEL__L.E. COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\pdf\2019_PERMITS=2020_MODEL__L.E.COUGAR_DRAW_RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL_L.E. COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2019\pdf\Parent Files\2019_PERMITS=2020_MODEL__L.E. COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2019\pdf\bible_truth\pdf\2019_PERMITS=2020_MODEL__L.E. COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2019\pdf\draw_results\2019_PERMITS=2020_MODEL__L.E.COUGAR_DRAW_RESULTS.pdf,0,
,COUGAR,Drawing odds,2019_cougar_odds_report.pdf,https://wildlife.utah.gov/pdf/cougar/2019_cougar_odds_report.pdf,168152,b39e97b45e3fbc7f215b2c317ad4aa76064e2166d1a29e29de826090b1914189,MISSING_LOCAL_EXACT,0,,0,
,COUGAR,Bonus point results,2018_cougar_bonus_points.pdf,https://wildlife.utah.gov/pdf/cougar/2018_cougar_bonus_points.pdf,61735,621717d66d95e21dd555930e9d5fe33e242e1580ff946b8a1c51e0ddda4cbcb6,MISSING_LOCAL_EXACT,0,,0,
,COUGAR,Drawing odds,2018_cougar_odds_report.pdf,https://wildlife.utah.gov/pdf/cougar/2018_cougar_odds_report.pdf,147243,5524ab92b48cecff6b2e5899fc8400df6e6d3484839bd8f7c1aed0b21c337f25,MISSING_LOCAL_EXACT,0,,0,
,COUGAR,Bonus point results,2017_cougar_bonus_points.pdf,https://wildlife.utah.gov/pdf/cougar/2017_cougar_bonus_points.pdf,14139,f168c34683d7d6cd27e359314cbceee280230e180c6006a19a8694faeee771a3,MISSING_LOCAL_EXACT,0,,0,
,COUGAR,Drawing odds,2017_cougar_odds_report.pdf,https://wildlife.utah.gov/pdf/cougar/2017_cougar_odds_report.pdf,84973,21a678b4ebf1c7e5d4a7909969139fa3c4cb09573d480bcaa61fb924a2f5225c,MISSING_LOCAL_EXACT,0,,0,
,COUGAR,Bonus point results,2016_cougar_bonus_points.pdf,https://wildlife.utah.gov/pdf/cougar/2016_cougar_bonus_points.pdf,14248,db0b90d577ba58b498ae575083001b36627664cc16554d2fdfcf6bcd36ebe92c,MISSING_LOCAL_EXACT,0,,0,
,COUGAR,Drawing odds,2016_cougar_odds_report.pdf,https://wildlife.utah.gov/pdf/cougar/2016_cougar_odds_report.pdf,84628,bdf33a0faf26fb2bc2e78271d3f54264248c944e99924455468a35f2b76a3ff6,MISSING_LOCAL_EXACT,0,,0,
,COUGAR,Bonus point results,2015_cougar_bonus_points.pdf,https://wildlife.utah.gov/pdf/cougar/2015_cougar_bonus_points.pdf,13495,703cf944691e8883d81fd33e91f68b615e6a16c6fb500ff56833de63c90a5339,MISSING_LOCAL_EXACT,0,,0,
,COUGAR,Drawing odds,2015_cougar_odds_report.pdf,https://wildlife.utah.gov/pdf/cougar/2015_cougar_odds_report.pdf,105189,092b926eb0f8f0612e530ca9ed726dc1a27e083f866c353c9dc46660ab58b595,MISSING_LOCAL_EXACT,0,,0,
,COUGAR,Bonus point results,2014_cougar_bonus_points.pdf,https://wildlife.utah.gov/pdf/cougar/2014_cougar_bonus_points.pdf,103823,77a1aa3ff631624484f63f92a74f8ebba040bd038f9e5b120b45f6829fe94199,MISSING_LOCAL_EXACT,0,,0,
,COUGAR,Drawing odds,2014_cougar_odds_report.pdf,https://wildlife.utah.gov/pdf/cougar/2014_cougar_odds_report.pdf,30993,becf2d4fee85e808fbb97b9cf433e1c69a2af65faa7251085bae0eb7f025a1fa,MISSING_LOCAL_EXACT,0,,0,
,COUGAR,Bonus point results,2013_cougar_bonus_points.pdf,https://wildlife.utah.gov/pdf/cougar/2013_cougar_bonus_points.pdf,114970,cb597a5f89e69c8c05a61a0c8d11930391e2231b319dbf1dba6be7bcfe702854,MISSING_LOCAL_EXACT,0,,0,
,COUGAR,Drawing odds,2013_cougar_odds_report.pdf,https://wildlife.utah.gov/pdf/cougar/2013_cougar_odds_report.pdf,29810,ffb1b5b9a0793ac1c33b936b711ffe63a98c01f4834021dd05e52afd5ab570aa,MISSING_LOCAL_EXACT,0,,0,
,COUGAR,Bonus point results,2012_cougar_bonus_points.pdf,https://wildlife.utah.gov/pdf/cougar/2012_cougar_bonus_points.pdf,112077,59dad573ab9b3f675180613154be43a22b162121bc4010c9702e67206275c2b4,MISSING_LOCAL_EXACT,0,,0,
,COUGAR,Drawing odds,2012_cougar_odds_report.pdf,https://wildlife.utah.gov/pdf/cougar/2012_cougar_odds_report.pdf,25384,cdf56da93408263921b2000f740c32beddca5268409ac5fb5b50891cb25c696b,MISSING_LOCAL_EXACT,0,,0,
,COUGAR,Bonus point results,2011_cougar_bonus_points.pdf,https://wildlife.utah.gov/pdf/cougar/2011_cougar_bonus_points.pdf,113634,c8552721b2843f2b8dcee1f056da4a94ffc4c2c782df171583987ce2e6b700d7,MISSING_LOCAL_EXACT,0,,0,
,COUGAR,Drawing odds,2011_cougar_odds_report.pdf,https://wildlife.utah.gov/pdf/cougar/2011_cougar_odds_report.pdf,17655,c0fd585322bb0c5c14f230ee2bb208bb4bc670c550817e1a7b39a690b13b241a,MISSING_LOCAL_EXACT,0,,0,
,COUGAR,Bonus point results,2010_cougar_bonus_points.pdf,https://wildlife.utah.gov/pdf/cougar/2010_cougar_bonus_points.pdf,101047,4d68f9e2c2295d4d25b469d5481ed4fd819a05e12191883732b8cc39cc237f5b,MISSING_LOCAL_EXACT,0,,0,
,COUGAR,Drawing odds,2010_cougar_odds.pdf,https://wildlife.utah.gov/pdf/cougar/2010_cougar_odds.pdf,17435,7331d8f333f7106eb814b9ab9fb422f5b693bc10cbb0302d08862d3531d4f69f,MISSING_LOCAL_EXACT,0,,0,
,COUGAR,Purchase point results,2010_cougar_purchase_points.pdf,https://wildlife.utah.gov/pdf/cougar/2010_cougar_purchase_points.pdf,13974,a306c0dffd23be378813c99cf2122c2109c4e6703c4cc366b0783a84119208e2,MISSING_LOCAL_EXACT,0,,0,
,COUGAR,Bonus point results,2009_cougar_bonus_points.pdf,https://wildlife.utah.gov/pdf/cougar/2009_cougar_bonus_points.pdf,101224,1a69e673f72c234413da789f24f25df1f589121989ee36d9042f5c11e74a4d0d,MISSING_LOCAL_EXACT,0,,0,
,COUGAR,Drawing odds,2009_cougar_draw_odds.pdf,https://wildlife.utah.gov/pdf/cougar/2009_cougar_draw_odds.pdf,17715,f4558699227a9755c02169e0fe2005abd82024575d68a2d5d229ad09248284c1,MISSING_LOCAL_EXACT,0,,0,
,COUGAR,Bonus point results,2008_bonus_points.pdf,https://wildlife.utah.gov/pdf/cougar/2008_bonus_points.pdf,101285,b8942d3d0c09cf295a56489cc862020beab1743838f444cafac3e940f67d08d4,MISSING_LOCAL_EXACT,0,,0,
,COUGAR,Drawing odds,2008_draw_odds.pdf,https://wildlife.utah.gov/pdf/cougar/2008_draw_odds.pdf,17570,bdae676e59f2e2721b8a3b3c41c15dedff2c24a46706a143e719ffdfba482e2a,MISSING_LOCAL_EXACT,0,,0,
,COUGAR,Bonus point results,2007_bonus_points.pdf,https://wildlife.utah.gov/pdf/cougar/2007_bonus_points.pdf,105538,894fd0e4d4928d18c080ff83d60394ea7f6d0003aa206fe732a154436c54fb65,MISSING_LOCAL_EXACT,0,,0,
,COUGAR,Drawing odds,2007_draw_odds.pdf,https://wildlife.utah.gov/pdf/cougar/2007_draw_odds.pdf,22041,1c14ce07939c54ae38f7a5a6c8b33bfe43f345e21a7b94bb2ee081982598afe1,MISSING_LOCAL_EXACT,0,,0,
,TURKEY,Drawing results and bonus point purchase results,2025_turkey_bonus_points_draw_results.pdf,https://wildlife.utah.gov/pdf/uplandgame/turkey/2025_turkey_bonus_points_draw_results.pdf,236278,121da5c9c837490df1a61b1ec3482c57a35f90592909516b43dce8f69acf2e69,MISSING_LOCAL_EXACT,0,,0,
,TURKEY,Youth drawing results,2025_youth_turkey_draw_results.pdf,https://wildlife.utah.gov/pdf/uplandgame/turkey/2025_youth_turkey_draw_results.pdf,228604,24db62fb6252f0184505aa2c0245470a880ecc3a511a12afd14c3fb32510bb87,EXACT_HASH_MATCH,7,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2025\.pdf\2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf | C:\Users\tyler\Desktop\BIBLE HUNT CODES\2025\.pdf\2025_PERMITS=2026_MODEL__YOUTH TURKEY DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2025_PERMITS=2026_MODEL\2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2025_PERMITS=2026_MODEL\2025_PERMITS=2026_MODEL__YOUTH TURKEY DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2025\bible_truth\pdf\2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2025\bible_truth\pdf\2025_PERMITS=2026_MODEL__YOUTH TURKEY DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2026\pdf\draw_odds\2025 Turkey Draw Results.pdf,0,
,TURKEY,Drawing results and bonus point purchase results,2024_turkey_bonus_points_draw_results.pdf,https://wildlife.utah.gov/pdf/uplandgame/turkey/2024_turkey_bonus_points_draw_results.pdf,127013,0c94483fe4320609d0bde37e6e4420e870b66c7b2eacd6493b2845fd9cca7ec9,EXACT_HASH_MATCH,3,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2024\.pdf\2024_PERMITS=2025_MODEL__TURKEY DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2024_PERMITS=2025_MODEL\2024_PERMITS=2025_MODEL__TURKEY DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2024\bible_truth\pdf\2024_PERMITS=2025_MODEL__TURKEY DRAW RESULTS.pdf,0,
