year,family,title,url,official_basename
,TURKEY,Youth drawing results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2021_youth_turkey_draw_results.pdf,2021_youth_turkey_draw_results.pdf
,TURKEY,Drawing results and bonus point purchase results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2020_turkey_bonus_points_draw_results.pdf,2020_turkey_bonus_points_draw_results.pdf
,TURKEY,Youth drawing results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2020_youth_turkey_draw_results.pdf,2020_youth_turkey_draw_results.pdf
,TURKEY,Bonus point purchase results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2019_turkey_bonus_points.pdf,2019_turkey_bonus_points.pdf
,TURKEY,Youth bonus point purchase results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2019_youth_turkey_bonus_points.pdf,2019_youth_turkey_bonus_points.pdf
,TURKEY,Bonus point purchase results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2018_turkey_bonus_points.pdf,2018_turkey_bonus_points.pdf
,TURKEY,Drawing results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2018_turkey_drawing_odds.pdf,2018_turkey_drawing_odds.pdf
,TURKEY,Drawing results and bonus point purchase results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2017_turkey_bonus_points_and_draw_results.pdf,2017_turkey_bonus_points_and_draw_results.pdf
,TURKEY,Bonus point purchase results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2017_turkey_bonus_points_purchase.pdf,2017_turkey_bonus_points_purchase.pdf
,TURKEY,Bonus point purchase results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2016_turkey_bonus_points.pdf,2016_turkey_bonus_points.pdf
,TURKEY,Bonus point purchase results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2016_turkey_bonus_points_purchase.pdf,2016_turkey_bonus_points_purchase.pdf
,TURKEY,Drawing results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2016_turkey_drawing_odds.pdf,2016_turkey_drawing_odds.pdf
,TURKEY,Bonus point purchase results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2015_turkey_bonus_points.pdf,2015_turkey_bonus_points.pdf
,TURKEY,Bonus point purchase results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2015_turkey_bonus_points_purchase.pdf,2015_turkey_bonus_points_purchase.pdf
,TURKEY,Drawing results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2015_turkey_drawing_odds.pdf,2015_turkey_drawing_odds.pdf
,TURKEY,Bonus point purchase results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2014_turkey_bonus_points.pdf,2014_turkey_bonus_points.pdf
,TURKEY,Bonus point purchase results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2014_turkey_bonus_points_purchase.pdf,2014_turkey_bonus_points_purchase.pdf
,TURKEY,Drawing results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2014_turkey_drawing_odds.pdf,2014_turkey_drawing_odds.pdf
,TURKEY,Bonus point purchase results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2013_turkey_bonus_points.pdf,2013_turkey_bonus_points.pdf
,TURKEY,Bonus point purchase results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2013_turkey_bonus_points_purchase.pdf,2013_turkey_bonus_points_purchase.pdf
,TURKEY,Drawing results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2013_turkey_drawing_odds.pdf,2013_turkey_drawing_odds.pdf
