reported_hunt_year,model_target_year,species,source_unit_name,age_objective,average_harvest_age_2023,average_harvest_age_2024,average_harvest_age,average_harvest_age_3yr,age_source_file,age_source_url,age_source_sha256,age_source_page,age_source_table_title
2025,2026,Pronghorn,"Nine Mile, Anthro",2.0 - 3.0,3.5,3.6,3.3,3.5,table-2026-04-01-pronghorn-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-pronghorn-tables.pdf,661c9b99feed062c96474a2f31e9d2a921dd730eee547fd1a2242ad408e477f5,1,2026 BUCK PRONGHORN AVERAGE AGES AND OBJECTIVES
2025,2026,Pronghorn,"Nine Mile, Range Creek",2.0 - 3.0,4.3,3.8,5.8,4.6,table-2026-04-01-pronghorn-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-pronghorn-tables.pdf,661c9b99feed062c96474a2f31e9d2a921dd730eee547fd1a2242ad408e477f5,1,2026 BUCK PRONGHORN AVERAGE AGES AND OBJECTIVES
2025,2026,Pronghorn,"North Slope, Summmit",2.0 - 3.0,5.4,4.9,3.4,4.6,table-2026-04-01-pronghorn-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-pronghorn-tables.pdf,661c9b99feed062c96474a2f31e9d2a921dd730eee547fd1a2242ad408e477f5,1,2026 BUCK PRONGHORN AVERAGE AGES AND OBJECTIVES
2025,2026,Pronghorn,"North Slope, Three Corners/West Daggett",2.0 - 3.0,3.8,3.6,2.6,3.3,table-2026-04-01-pronghorn-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-pronghorn-tables.pdf,661c9b99feed062c96474a2f31e9d2a921dd730eee547fd1a2242ad408e477f5,1,2026 BUCK PRONGHORN AVERAGE AGES AND OBJECTIVES
2025,2026,Pronghorn,"Panguitch Lake/Zion, North",2.0 - 3.0,2.4,2.4,2.2,2.3,table-2026-04-01-pronghorn-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-pronghorn-tables.pdf,661c9b99feed062c96474a2f31e9d2a921dd730eee547fd1a2242ad408e477f5,1,2026 BUCK PRONGHORN AVERAGE AGES AND OBJECTIVES
2025,2026,Pronghorn,Parker Mtn,2.0 - 3.0,3.1,3.3,3.3,3.2,table-2026-04-01-pronghorn-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-pronghorn-tables.pdf,661c9b99feed062c96474a2f31e9d2a921dd730eee547fd1a2242ad408e477f5,1,2026 BUCK PRONGHORN AVERAGE AGES AND OBJECTIVES
2025,2026,Pronghorn,Pine Valley,2.0 - 3.0,3.3,3.4,2.9,3.2,table-2026-04-01-pronghorn-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-pronghorn-tables.pdf,661c9b99feed062c96474a2f31e9d2a921dd730eee547fd1a2242ad408e477f5,1,2026 BUCK PRONGHORN AVERAGE AGES AND OBJECTIVES
2025,2026,Pronghorn,"San Juan, Hatch Point",2.0 - 3.0,2.0,4.2,1.7,2.6,table-2026-04-01-pronghorn-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-pronghorn-tables.pdf,661c9b99feed062c96474a2f31e9d2a921dd730eee547fd1a2242ad408e477f5,1,2026 BUCK PRONGHORN AVERAGE AGES AND OBJECTIVES
2025,2026,Pronghorn,"San Rafael, Desert",2.0 - 3.0,4.3,4.0,4.0,4.1,table-2026-04-01-pronghorn-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-pronghorn-tables.pdf,661c9b99feed062c96474a2f31e9d2a921dd730eee547fd1a2242ad408e477f5,1,2026 BUCK PRONGHORN AVERAGE AGES AND OBJECTIVES
2025,2026,Pronghorn,"San Rafael, North",2.0 - 3.0,4.2,3.7,4.0,4.0,table-2026-04-01-pronghorn-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-pronghorn-tables.pdf,661c9b99feed062c96474a2f31e9d2a921dd730eee547fd1a2242ad408e477f5,1,2026 BUCK PRONGHORN AVERAGE AGES AND OBJECTIVES
2025,2026,Pronghorn,Southwest Desert,2.0 - 3.0,4.3,3.8,3.4,3.8,table-2026-04-01-pronghorn-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-pronghorn-tables.pdf,661c9b99feed062c96474a2f31e9d2a921dd730eee547fd1a2242ad408e477f5,1,2026 BUCK PRONGHORN AVERAGE AGES AND OBJECTIVES
2025,2026,Pronghorn,Vernal,2.0 - 3.0,4.5,3.9,2.9,3.8,table-2026-04-01-pronghorn-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-pronghorn-tables.pdf,661c9b99feed062c96474a2f31e9d2a921dd730eee547fd1a2242ad408e477f5,1,2026 BUCK PRONGHORN AVERAGE AGES AND OBJECTIVES
2025,2026,Pronghorn,"West Desert, Riverbed",2.0 - 3.0,4.4,3.3,4.0,3.9,table-2026-04-01-pronghorn-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-pronghorn-tables.pdf,661c9b99feed062c96474a2f31e9d2a921dd730eee547fd1a2242ad408e477f5,1,2026 BUCK PRONGHORN AVERAGE AGES AND OBJECTIVES
2025,2026,Pronghorn,"West Desert, Rush Valley",2.0 - 3.0,3.5,3.2,3.0,3.2,table-2026-04-01-pronghorn-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-pronghorn-tables.pdf,661c9b99feed062c96474a2f31e9d2a921dd730eee547fd1a2242ad408e477f5,1,2026 BUCK PRONGHORN AVERAGE AGES AND OBJECTIVES
2025,2026,Pronghorn,"West Desert, Snake Valley",2.0 - 3.0,5.4,4.0,3.7,4.4,table-2026-04-01-pronghorn-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-pronghorn-tables.pdf,661c9b99feed062c96474a2f31e9d2a921dd730eee547fd1a2242ad408e477f5,1,2026 BUCK PRONGHORN AVERAGE AGES AND OBJECTIVES
2025,2026,Moose,Box Elder,3.75 - 4.75,4.7,5.5,5.6,5.3,table-2026-04-01-oilt-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-oilt-tables.pdf,d95cca26dcf34c3cd62d0a076816566f22e08b9738a84396f61828a287f50c08,1,2026 MOOSE AVERAGE AGES AND OBJECTIVES
2025,2026,Moose,Cache,3.75 - 4.75,5.7,4.9,5.4,5.3,table-2026-04-01-oilt-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-oilt-tables.pdf,d95cca26dcf34c3cd62d0a076816566f22e08b9738a84396f61828a287f50c08,1,2026 MOOSE AVERAGE AGES AND OBJECTIVES
2025,2026,Moose,Chalk Creek,3.75 - 4.75,4.8,3.5,3.6,4.0,table-2026-04-01-oilt-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-oilt-tables.pdf,d95cca26dcf34c3cd62d0a076816566f22e08b9738a84396f61828a287f50c08,1,2026 MOOSE AVERAGE AGES AND OBJECTIVES
2025,2026,Moose,Diamond Mtn/Vernal,3.75 - 4.75,4.0,3.5,4.0,3.8,table-2026-04-01-oilt-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-oilt-tables.pdf,d95cca26dcf34c3cd62d0a076816566f22e08b9738a84396f61828a287f50c08,1,2026 MOOSE AVERAGE AGES AND OBJECTIVES
2025,2026,Moose,East Canyon,3.75 - 4.75,3.6,4.4,3.8,3.9,table-2026-04-01-oilt-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-oilt-tables.pdf,d95cca26dcf34c3cd62d0a076816566f22e08b9738a84396f61828a287f50c08,1,2026 MOOSE AVERAGE AGES AND OBJECTIVES
2025,2026,Moose,Kamas,3.75 - 4.75,4.5,5.0,3.7,4.4,table-2026-04-01-oilt-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-oilt-tables.pdf,d95cca26dcf34c3cd62d0a076816566f22e08b9738a84396f61828a287f50c08,1,2026 MOOSE AVERAGE AGES AND OBJECTIVES
2025,2026,Moose,Morgan-South Rich,3.75 - 4.75,4.6,4.9,4.5,4.7,table-2026-04-01-oilt-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-oilt-tables.pdf,d95cca26dcf34c3cd62d0a076816566f22e08b9738a84396f61828a287f50c08,1,2026 MOOSE AVERAGE AGES AND OBJECTIVES
2025,2026,Moose,"North Slope, Summit",3.75 - 4.75,6.2,5.2,5.3,5.6,table-2026-04-01-oilt-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-oilt-tables.pdf,d95cca26dcf34c3cd62d0a076816566f22e08b9738a84396f61828a287f50c08,1,2026 MOOSE AVERAGE AGES AND OBJECTIVES
2025,2026,Moose,"North Slope, Three Corners/West Daggett",3.75 - 4.75,4.9,3.0,5.0,4.3,table-2026-04-01-oilt-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-oilt-tables.pdf,d95cca26dcf34c3cd62d0a076816566f22e08b9738a84396f61828a287f50c08,1,2026 MOOSE AVERAGE AGES AND OBJECTIVES
2025,2026,Moose,Ogden,3.75 - 4.75,4.2,4.0,3.9,4.0,table-2026-04-01-oilt-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-oilt-tables.pdf,d95cca26dcf34c3cd62d0a076816566f22e08b9738a84396f61828a287f50c08,1,2026 MOOSE AVERAGE AGES AND OBJECTIVES
2025,2026,Moose,Wasatch Mtns,3.75 - 4.75,3.5,4.0,3.9,3.8,table-2026-04-01-oilt-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-oilt-tables.pdf,d95cca26dcf34c3cd62d0a076816566f22e08b9738a84396f61828a287f50c08,1,2026 MOOSE AVERAGE AGES AND OBJECTIVES
2025,2026,Moose,Yellowstone,3.75 - 4.75,4.7,7.5,6.8,6.3,table-2026-04-01-oilt-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-oilt-tables.pdf,d95cca26dcf34c3cd62d0a076816566f22e08b9738a84396f61828a287f50c08,1,2026 MOOSE AVERAGE AGES AND OBJECTIVES
