source_file,source_sheet,hunt_name,hunt_code,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,hunt_class,harvest_success_prior_year_pct,average_harvest_age,current_age_3yr_avg,avg_days_hunted_prior_year
2026_DEER_BUCK_DRAW.xlsx,Sheet,Dolores Triangle,DB1020,Buck,Deer,Any Legal Weapon,Limited Entry,Nov 14 2026 - Nov 22 2026,13,2,15,MAX / RANDOM DRAW,100,,,4
2026_DEER_BUCK_DRAW.xlsx,Sheet,"San Juan, Elk Ridge",DB1022,Buck,Deer,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,42,5,47,MAX / RANDOM DRAW,88.9,,,4.8
2026_DEER_BUCK_DRAW.xlsx,Sheet,Diamond Mtn,DB1023,Buck,Deer,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,61,7,68,MAX / RANDOM DRAW,96.9,,,3.4
2026_DEER_BUCK_DRAW.xlsx,Sheet,"West Desert, Vernon",DB1024,Buck,Deer,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,130,14,144,MAX / RANDOM DRAW,85.4,,,4.4
2026_DEER_BUCK_DRAW.xlsx,Sheet,Book Cliffs,DB1025,Buck,Deer,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,55,6,61,MAX / RANDOM DRAW,86,,,3.8
2026_DEER_BUCK_DRAW.xlsx,Sheet,"Cache, Crawford Mtn",DB1026,Buck,Deer,Muzzleloader,Limited Entry,Nov 07 2026 - Nov 22 2026,8,1,9,MAX / RANDOM DRAW,100,,,4.8
2026_DEER_BUCK_DRAW.xlsx,Sheet,Fillmore,DB1028,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,11,1,12,MAX / RANDOM DRAW,70,,,7.2
2026_DEER_BUCK_DRAW.xlsx,Sheet,"Fillmore, Oak Creek LE",DB1029,Buck,Deer,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,12,1,13,MAX / RANDOM DRAW,80,,,6
2026_DEER_BUCK_DRAW.xlsx,Sheet,Kamas,DB1030,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,4,1,5,MAX / RANDOM DRAW,100,,,5.5
2026_DEER_BUCK_DRAW.xlsx,Sheet,Dolores Triangle,DB1031,Buck,Deer,Muzzleloader,Limited Entry,Nov 23 2026 - Dec 01 2026,5,0,5,MAX / RANDOM DRAW,100,,,6.5
2026_DEER_BUCK_DRAW.xlsx,Sheet,Monroe,DB1032,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,5,1,6,MAX / RANDOM DRAW,66.7,,,6.5
2026_DEER_BUCK_DRAW.xlsx,Sheet,Nine Mile,DB1033,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,6,1,7,MAX / RANDOM DRAW,100,,,4.5
2026_DEER_BUCK_DRAW.xlsx,Sheet,Pine Valley,DB1034,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,13,2,15,MAX / RANDOM DRAW,53.3,,,6.7
2026_DEER_BUCK_DRAW.xlsx,Sheet,"San Juan, Elk Ridge",DB1037,Buck,Deer,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,15,2,17,MAX / RANDOM DRAW,87.5,,,4.6
