source_file,source_sheet,hunt_name,hunt_code,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,hunt_class,harvest_success_prior_year_pct,average_harvest_age,current_age_3yr_avg,avg_days_hunted_prior_year
2026_ELK_BULL_ALL.xlsx,Sheet,North Slope Three Corners,EB3013,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,6,1,7,MAX / RANDOM DRAW,37.5,4.8,5.3,10.1
2026_ELK_BULL_ALL.xlsx,Sheet,Panguitch Lake,EB3015,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,17,2,19,MAX / RANDOM DRAW,38.9,7.9,7.8,15.1
2026_ELK_BULL_ALL.xlsx,Sheet,Fishlake/Thousand Lakes,EB3018,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,84,9,93,MAX / RANDOM DRAW,33.3,6.6,7.1,13.1
2026_ELK_BULL_ALL.xlsx,Sheet,San Juan Bull Elk,EB3019,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,29,3,32,MAX / RANDOM DRAW,55.2,7.9,7.9,15.1
2026_ELK_BULL_ALL.xlsx,Sheet,Diamond Mtn,EB3020,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,25,3,28,MAX / RANDOM DRAW,28,7.1,7.3,13.1
2026_ELK_BULL_ALL.xlsx,Sheet,Wasatch Mtns,EB3022,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,130,15,145,MAX / RANDOM DRAW,25.4,5.2,5.3,13.4
2026_ELK_BULL_ALL.xlsx,Sheet,Beaver East,EB3024,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,9,1,10,MAX / RANDOM DRAW,90.9,9.6,9.1,2.5
2026_ELK_BULL_ALL.xlsx,Sheet,Beaver East,EB3025,Bull,Elk,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 15 2026,15,2,17,MAX / RANDOM DRAW,88.2,9.6,9.1,3.9
2026_ELK_BULL_ALL.xlsx,Sheet,Book Cliffs Little Creek Roadless,EB3028,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,3,0,3,MAX / RANDOM DRAW,100,8.7,7.7,1
2026_ELK_BULL_ALL.xlsx,Sheet,Box Elder Pilot Mtn,EB3031,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 12 2026 - Oct 02 2026,6,1,7,MAX / RANDOM DRAW,75,6.5,6.9,8
2026_ELK_BULL_ALL.xlsx,Sheet,Cache Meadowville,EB3032,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,3,1,4,MAX / RANDOM DRAW,50,5.2,5.5,2.5
2026_ELK_BULL_ALL.xlsx,Sheet,Cache Meadowville,EB3033,Bull,Elk,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 15 2026,6,1,7,MAX / RANDOM DRAW,50,5.2,5.5,3
2026_ELK_BULL_ALL.xlsx,Sheet,Cache South,EB3036,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,4,0,4,MAX / RANDOM DRAW,100,7.2,6.7,2.3
2026_ELK_BULL_ALL.xlsx,Sheet,Cache South,EB3037,Bull,Elk,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 15 2026,6,1,7,MAX / RANDOM DRAW,66.7,7.2,6.7,5.4
2026_ELK_BULL_ALL.xlsx,Sheet,Manti,EB3038,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,61,7,68,MAX / RANDOM DRAW,70.8,6,6.3,3.1
2026_ELK_BULL_ALL.xlsx,Sheet,Manti,EB3039,Bull,Elk,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 15 2026,102,11,113,MAX / RANDOM DRAW,81.1,6,6.3,4.4
2026_ELK_BULL_ALL.xlsx,Sheet,Fillmore Pahvant,EB3042,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,8,1,9,MAX / RANDOM DRAW,68.8,8,8.1,3.3
2026_ELK_BULL_ALL.xlsx,Sheet,Fillmore Pahvant,EB3043,Bull,Elk,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 15 2026,13,2,15,MAX / RANDOM DRAW,66.7,8,8.1,5.7
2026_ELK_BULL_ALL.xlsx,Sheet,Dolores Triangle,EB3044,Bull,Elk,Any Legal Weapon,Limited Entry,Dec 05 2026 - Jan 31 2027,6,1,7,MAX / RANDOM DRAW,85.7,9,9,12.7
2026_ELK_BULL_ALL.xlsx,Sheet,La Sal Mtns,EB3045,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,14,2,16,MAX / RANDOM DRAW,47.1,6.3,6.2,3.9
2026_ELK_BULL_ALL.xlsx,Sheet,La Sal Mtns,EB3046,Bull,Elk,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 15 2026,24,3,27,MAX / RANDOM DRAW,42.9,6.3,6.2,5.5
2026_ELK_BULL_ALL.xlsx,Sheet,Monroe,EB3047,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,3,1,4,MAX / RANDOM DRAW,100,8.3,8.3,2.2
2026_ELK_BULL_ALL.xlsx,Sheet,Monroe,EB3048,Bull,Elk,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 15 2026,13,2,15,MAX / RANDOM DRAW,93.3,8.3,8.3,4.1
2026_ELK_BULL_ALL.xlsx,Sheet,Mt Dutton,EB3049,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,8,1,9,MAX / RANDOM DRAW,87.5,8,7.8,2.4
2026_ELK_BULL_ALL.xlsx,Sheet,Mt Dutton,EB3050,Bull,Elk,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 15 2026,13,2,15,MAX / RANDOM DRAW,93.3,8,7.8,4.4
2026_ELK_BULL_ALL.xlsx,Sheet,North Slope Three Corners,EB3053,Bull,Elk,Any Legal Weapon,Limited Entry,Oct 03 2026 - Oct 15 2026,9,1,10,MAX / RANDOM DRAW,90.9,4.8,5.3,3.4
2026_ELK_BULL_ALL.xlsx,Sheet,Panguitch Lake,EB3056,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,7,1,8,MAX / RANDOM DRAW,91.7,7.9,7.8,3.3
2026_ELK_BULL_ALL.xlsx,Sheet,Panguitch Lake,EB3057,Bull,Elk,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 15 2026,12,1,13,MAX / RANDOM DRAW,84.6,7.9,7.8,4.1
2026_ELK_BULL_ALL.xlsx,Sheet,Fishlake/Thousand Lakes,EB3063,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,34,4,38,MAX / RANDOM DRAW,84.2,6.6,7.1,3.6
2026_ELK_BULL_ALL.xlsx,Sheet,Fishlake/Thousand Lakes,EB3064,Bull,Elk,Any Legal Weapon,Limited Entry,Oct 03 2026 - Oct 15 2026,99,11,110,MAX / RANDOM DRAW,57.9,6.6,7.1,6.8
2026_ELK_BULL_ALL.xlsx,Sheet,Fishlake/Thousand Lakes,EB3065,Bull,Elk,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 15 2026,57,6,63,MAX / RANDOM DRAW,84.4,6.6,7.1,4.5
2026_ELK_BULL_ALL.xlsx,Sheet,San Juan Bull Elk,EB3066,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,12,1,13,MAX / RANDOM DRAW,78.9,7.9,7.9,3.9
2026_ELK_BULL_ALL.xlsx,Sheet,San Juan Bull Elk,EB3067,Bull,Elk,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 15 2026,20,2,22,MAX / RANDOM DRAW,70,7.9,7.9,5.4
2026_ELK_BULL_ALL.xlsx,Sheet,Diamond Mtn,EB3068,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,10,1,11,MAX / RANDOM DRAW,81.8,7.1,7.3,2.7
2026_ELK_BULL_ALL.xlsx,Sheet,Diamond Mtn,EB3069,Bull,Elk,Any Legal Weapon,Limited Entry,Oct 03 2026 - Oct 15 2026,30,3,33,MAX / RANDOM DRAW,80,7.1,7.3,6.5
2026_ELK_BULL_ALL.xlsx,Sheet,Wasatch Mtns,EB3072,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,54,6,60,MAX / RANDOM DRAW,67.6,5.2,5.3,3.3
2026_ELK_BULL_ALL.xlsx,Sheet,Wasatch Mtns,EB3073,Bull,Elk,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 15 2026,89,10,99,MAX / RANDOM DRAW,74,5.2,5.3,4.6
2026_ELK_BULL_ALL.xlsx,Sheet,Beaver East,EB3077,Bull,Elk,Muzzleloader,Limited Entry,Sept 21 2026 - Oct 02 2026,13,2,15,MAX / RANDOM DRAW,92.9,9.6,9.1,5.1
2026_ELK_BULL_ALL.xlsx,Sheet,Book Cliffs Little Creek Roadless,EB3079,Bull,Elk,Muzzleloader,Limited Entry,Sept 21 2026 - Oct 02 2026,2,0,2,MAX / RANDOM DRAW,100,8.7,7.7,2
2026_ELK_BULL_ALL.xlsx,Sheet,Cache Meadowville,EB3081,Bull,Elk,Muzzleloader,Limited Entry,Sept 21 2026 - Oct 02 2026,5,1,6,MAX / RANDOM DRAW,42.9,5.2,5.5,6.6
2026_ELK_BULL_ALL.xlsx,Sheet,Cache South,EB3083,Bull,Elk,Muzzleloader,Limited Entry,Sept 21 2026 - Oct 02 2026,5,1,6,MAX / RANDOM DRAW,66.7,7.2,6.7,6.3
2026_ELK_BULL_ALL.xlsx,Sheet,Manti,EB3084,Bull,Elk,Muzzleloader,Limited Entry,Sept 21 2026 - Oct 02 2026,89,10,99,MAX / RANDOM DRAW,72.1,6,6.3,5.5
2026_ELK_BULL_ALL.xlsx,Sheet,Fillmore Pahvant,EB3086,Bull,Elk,Muzzleloader,Limited Entry,Sept 21 2026 - Oct 02 2026,12,1,13,MAX / RANDOM DRAW,69.2,8,8.1,7.5
2026_ELK_BULL_ALL.xlsx,Sheet,La Sal Mtns,EB3087,Bull,Elk,Muzzleloader,Limited Entry,Sept 21 2026 - Oct 02 2026,22,2,24,MAX / RANDOM DRAW,58.3,6.3,6.2,5.9
