hunt_code,row_type,hunt_type,old_hunt_name,new_hunt_name
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,hunt_total_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,hunt_total_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6515,point_level_draw_result,Once-in-a-lifetime,Henry Mtns (cow Only),Henry Mtns
BI6515,point_level_draw_result,Once-in-a-lifetime,Henry Mtns (cow Only),Henry Mtns
BI6515,point_level_draw_result,Once-in-a-lifetime,Henry Mtns (cow Only),Henry Mtns
BI6515,point_level_draw_result,Once-in-a-lifetime,Henry Mtns (cow Only),Henry Mtns
BI6515,point_level_draw_result,Once-in-a-lifetime,Henry Mtns (cow Only),Henry Mtns
BI6515,point_level_draw_result,Once-in-a-lifetime,Henry Mtns (cow Only),Henry Mtns
BI6515,point_level_draw_result,Once-in-a-lifetime,Henry Mtns (cow Only),Henry Mtns
BI6515,point_level_draw_result,Once-in-a-lifetime,Henry Mtns (cow Only),Henry Mtns
BI6515,point_level_draw_result,Once-in-a-lifetime,Henry Mtns (cow Only),Henry Mtns
BI6515,point_level_draw_result,Once-in-a-lifetime,Henry Mtns (cow Only),Henry Mtns
BI6515,point_level_draw_result,Once-in-a-lifetime,Henry Mtns (cow Only),Henry Mtns
BI6515,point_level_draw_result,Once-in-a-lifetime,Henry Mtns (cow Only),Henry Mtns
BI6515,point_level_draw_result,Once-in-a-lifetime,Henry Mtns (cow Only),Henry Mtns
BI6515,point_level_draw_result,Once-in-a-lifetime,Henry Mtns (cow Only),Henry Mtns
BI6515,point_level_draw_result,Once-in-a-lifetime,Henry Mtns (cow Only),Henry Mtns
BI6515,point_level_draw_result,Once-in-a-lifetime,Henry Mtns (cow Only),Henry Mtns
BI6515,point_level_draw_result,Once-in-a-lifetime,Henry Mtns (cow Only),Henry Mtns
BI6515,point_level_draw_result,Once-in-a-lifetime,Henry Mtns (cow Only),Henry Mtns
BI6515,point_level_draw_result,Once-in-a-lifetime,Henry Mtns (cow Only),Henry Mtns
BI6515,point_level_draw_result,Once-in-a-lifetime,Henry Mtns (cow Only),Henry Mtns
BI6515,point_level_draw_result,Once-in-a-lifetime,Henry Mtns (cow Only),Henry Mtns
