row_number,hunt_code,source_file_before,source_file_after,source_classification_before,source_classification_after,normalized_family_before,normalized_family_after,numeric_fields_changed
16,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
17,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
18,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
19,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
20,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
21,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
22,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
23,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
24,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
25,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
26,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
27,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
28,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
29,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
30,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
31,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
32,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
33,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
34,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
35,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
36,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
37,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
38,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
39,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
40,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
41,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
42,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
43,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
44,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
45,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
46,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
47,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
48,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
49,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
50,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
51,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
52,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
53,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
54,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
55,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
56,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
57,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
58,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
59,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
60,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
61,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
62,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
63,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
64,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
65,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
66,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
67,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
68,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
69,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
70,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
71,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
72,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
73,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
74,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
75,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
76,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
77,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
78,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
79,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
80,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
81,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
82,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
83,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
84,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
85,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
86,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
87,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
88,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
89,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
90,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
91,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
92,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
93,BR1009,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
94,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
95,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
96,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
97,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
98,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
99,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
100,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
101,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
102,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
103,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
104,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
105,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
106,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
107,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
108,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
109,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
110,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
111,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
112,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
113,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
114,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
115,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
116,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
117,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
118,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
119,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
120,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
121,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
122,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
123,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
124,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
125,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
126,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
127,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
128,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
129,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
130,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
131,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
132,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
133,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
134,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
135,BR1010,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
