publish_year,label,url,status,dest_path
2023,Antelope Island,https://wildlife.utah.gov/pdf/sheep/2023_sheep/2023-antelope-island.pdf,skipped_exists,C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\pdf\harvest_report\b18abf47__Antelope Island.pdf
2023,"Book Cliffs, South",https://wildlife.utah.gov/pdf/sheep/2023_sheep/2023-book-cliffs-south.pdf,skipped_exists,"C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\pdf\harvest_report\2033a20c__Book Cliffs, South.pdf"
2023,"Central Mountains, Nebo",https://wildlife.utah.gov/pdf/sheep/2023_sheep/2023-central-mtns-nebo.pdf,skipped_exists,"C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\pdf\harvest_report\25120f7c__Central Mountains, Nebo.pdf"
2023,"Kaiparowits, Escalante",https://wildlife.utah.gov/pdf/sheep/2023_sheep/2023-kaiparowits-escalante.pdf,skipped_exists,"C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\pdf\harvest_report\740a25f9__Kaiparowits, Escalante.pdf"
2023,"La Sal, Potash",https://wildlife.utah.gov/pdf/sheep/2023_sheep/2023-la-sal-potash.pdf,skipped_exists,"C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\pdf\harvest_report\0f297de6__La Sal, Potash.pdf"
2023,"Nine Mile, Jack Creek",https://wildlife.utah.gov/pdf/sheep/2023_sheep/2023-nine-mile-jack-creek.pdf,skipped_exists,"C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\pdf\harvest_report\d937996d__Nine Mile, Jack Creek.pdf"
2023,"San Juan, Lockhart",https://wildlife.utah.gov/pdf/sheep/2023_sheep/2023-san-juan-lockhart.pdf,skipped_exists,"C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\pdf\harvest_report\acd6459b__San Juan, Lockhart.pdf"
2023,"San Juan, North",https://wildlife.utah.gov/pdf/sheep/2023_sheep/2023-san-juan-north.pdf,skipped_exists,"C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\pdf\harvest_report\b42afa8a__San Juan, North.pdf"
2023,"San Juan, River",https://wildlife.utah.gov/pdf/sheep/2023_sheep/2023-san-juan-river.pdf,skipped_exists,"C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\pdf\harvest_report\72fec5a1__San Juan, River.pdf"
2023,"San Juan, South",https://wildlife.utah.gov/pdf/sheep/2023_sheep/2023-san-juan-south.pdf,skipped_exists,"C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\pdf\harvest_report\17406b62__San Juan, South.pdf"
2023,"Wasatch Mountains, West",https://wildlife.utah.gov/pdf/sheep/2023_sheep/2023-wasatch-mtns-west.pdf,skipped_exists,"C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\pdf\harvest_report\2374b952__Wasatch Mountains, West.pdf"
2022,General-season buck deer,https://wildlife.utah.gov/pdf/bg/2022/2022_gs_buck_deer_hr.pdf,skipped_exists,C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2022\pdf\harvest_report\442a70d8__General-season buck deer.pdf
2022,Limited-entry and once-in-a-lifetime species,https://wildlife.utah.gov/pdf/bg/2022/2022_le_oial_all.pdf,skipped_exists,C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2022\pdf\harvest_report\19275c81__Limited-entry and once-in-a-lifetime species.pdf
2022,Antlerless big game,https://wildlife.utah.gov/pdf/bg/2022/2022_antlerless_hr.pdf,skipped_exists,C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2022\pdf\harvest_report\d6cae860__Antlerless big game.pdf
2022,Bighorn sheep,https://wildlife.utah.gov/pdf/sheep/2022_sheep/2022-harvest-data.pdf,skipped_exists,C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2022\pdf\harvest_report\7ca45ff9__Bighorn sheep.pdf
2022,Henry Mountains,https://wildlife.utah.gov/pdf/sheep/2022_sheep/2022-henry-mountains.pdf,skipped_exists,C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2022\pdf\harvest_report\8b583a75__Henry Mountains.pdf
2022,"Beaver, West (Mineral Mountains)",https://wildlife.utah.gov/pdf/sheep/2022_sheep/2022-mineral-mtns.pdf,skipped_exists,"C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2022\pdf\harvest_report\2da4a0fc__Beaver, West (Mineral Mountains).pdf"
2022,"Nine Mile, Gray Canyon",https://wildlife.utah.gov/pdf/sheep/2022_sheep/2022-nine-mile-gray-canyon.pdf,skipped_exists,"C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2022\pdf\harvest_report\9de782c7__Nine Mile, Gray Canyon.pdf"
2022,"Fillmore, Oak Creek",https://wildlife.utah.gov/pdf/sheep/2022_sheep/2022-oak-creek.pdf,skipped_exists,"C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2022\pdf\harvest_report\1eaa5c8c__Fillmore, Oak Creek.pdf"
2022,"San Rafael, Dirty Devil",https://wildlife.utah.gov/pdf/sheep/2022_sheep/2022-san-rafael-dirty-devil.pdf,skipped_exists,"C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2022\pdf\harvest_report\74ffd79d__San Rafael, Dirty Devil.pdf"
2021,General-season buck deer,https://wildlife.utah.gov/pdf/bg/2021/2021_gs_buck_deer_hr.pdf,skipped_exists,C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2021\pdf\harvest_report\5a118f11__General-season buck deer.pdf
2021,Limited-entry and once-in-a-lifetime species,https://wildlife.utah.gov/pdf/bg/2021/2021_le_oial_all.pdf,skipped_exists,C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2021\pdf\harvest_report\5a24be8c__Limited-entry and once-in-a-lifetime species.pdf
2021,Antlerless big game,https://wildlife.utah.gov/pdf/bg/2021/2021_antlerless_hr.pdf,skipped_exists,C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2021\pdf\harvest_report\e8ee2db2__Antlerless big game.pdf
2021,Bighorn sheep,https://wildlife.utah.gov/pdf/sheep/2021_sheep/2021-harvest-data.pdf,skipped_exists,C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2021\pdf\harvest_report\6945e60a__Bighorn sheep.pdf
2021,"Box Elder, Newfoundland Mountain",https://wildlife.utah.gov/pdf/sheep/2021_sheep/2021-box-elder-newfoundland-mtn.pdf,skipped_exists,"C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2021\pdf\harvest_report\7df2ec38__Box Elder, Newfoundland Mountain.pdf"
2021,"Box Elder, Pilot Mountain",https://wildlife.utah.gov/pdf/sheep/2021_sheep/2021-box-elder-pilot-mtn.pdf,skipped_exists,"C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2021\pdf\harvest_report\ff0fda08__Box Elder, Pilot Mountain.pdf"
2021,"Kaiparowits, East/West combined",https://wildlife.utah.gov/pdf/sheep/2021_sheep/2021-kaiparowits-east-west.pdf,skipped_exists,"C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2021\pdf\harvest_report\2ae9218b__Kaiparowits, East_West combined.pdf"
2021,"North Slope, Bare Top",https://wildlife.utah.gov/pdf/sheep/2021_sheep/2021-north-slope-bare-top.pdf,skipped_exists,"C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2021\pdf\harvest_report\43414e73__North Slope, Bare Top.pdf"
2021,"North Slope, Goslin Mountain",https://wildlife.utah.gov/pdf/sheep/2021_sheep/2021-north-slope-goslin-mtn.pdf,skipped_exists,"C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2021\pdf\harvest_report\08f9e646__North Slope, Goslin Mountain.pdf"
