file_label,file_path,hunt_code,boundary_id_filled,mapping_source,rows_filled,sample_hunt_name,sample_species,sample_sex_type,sample_weapon,sample_hunt_type
canonical,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,EB3123,625,local_db_unique,28,Southwest Desert,Elk,Bull,Southwest Desert -An y Legal Weapon,Limited Entry
canonical,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,EB3535,569,local_db_unique,28,Lone Tree Tunnel Hollow,Elk,Bull,Any Legal Weapon,Limited Entry
canonical,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,EB3539,572,dwr_kml_exact_name,28,Mountain Top,Elk,Bull,Any Legal Weapon,CWMU
canonical,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,EB3542,738,local_db_unique,28,Powder Mountain,Elk,Bull,Any Legal Weapon,Limited Entry
canonical,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,MB6216,738,local_db_unique,28,Powder Mountain,Moose,Bull,Any Legal Weapon,Limited Entry
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,BR7235,251,local_db_unique,20,"Kamas/north Slope, Summit",Black Bear,Either Sex,Any Legal Weapon,Limited Entry
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,CG1000,5107,local_db_unique,1,Sportsman Cougar,Cougar,Either Sex,Any Legal Weapon,Sportsman
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,DB1505,610,local_db_unique,63,Chalk Creek/east Canyon/morgan-south Rich,Deer,Buck,Archery,General Season
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,DB1535,610,local_db_unique,63,Chalk Creek/east Canyon/morgan-south Rich,Deer,Buck,Any Legal Weapon,General Season
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,DB1565,610,local_db_unique,63,Chalk Creek/east Canyon/morgan-south Rich,Deer,Buck,Muzzleloader,General Season
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,DB1590,610,local_db_unique,63,Chalk Creek/east Canyon/morgan-south Rich,Deer,Buck,Any Legal Weapon,General Season
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,DB1774,610,local_db_unique,42,Chalk Creek/east Canyon/morgan-south Rich,Deer,Buck,Any Legal Weapon,Dedicated Hunter
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,EA1003,899,dwr_kml_current_family,32,"Book Cliffs, Bitter Creek East",Elk,Antlerless,Any Legal Weapon,Limited Entry
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,EA1009,30,local_db_unique,32,"Cache, East",Elk,Antlerless,Any Legal Weapon,Limited Entry
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,EA1014,810,dwr_kml_name_family,32,"Central Mtns, Ephraim",Elk,Antlerless,Any Legal Weapon,Limited Entry
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,EA1019,54,dwr_kml_name_family,32,"Central Mtns, Milburn",Elk,Antlerless,Any Legal Weapon,Limited Entry
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,EA1027,859,local_db_unique,32,"East Canyon, Davis-north Salt Lake",Elk,Antlerless,Any Legal Weapon,Limited Entry
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,EA1036,105,dwr_kml_exact_name,32,"Kamas, West Hills",Elk,Antlerless,Any Legal Weapon,Limited Entry
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,EA1042,120,dwr_kml_exact_name,16,"Morgan-south Rich, East Lost Creek",Elk,Antlerless,Any Legal Weapon,Limited Entry
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,EA1045,123,dwr_kml_exact_name,16,"Morgan-south Rich, South Weber",Elk,Antlerless,Any Legal Weapon,Limited Entry
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,EA1046,124,dwr_kml_exact_name,16,"Morgan-south Rich, West Lost Creek",Elk,Antlerless,Any Legal Weapon,Limited Entry
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,EA1047,630,local_db_unique,32,Mt Dutton,Elk,Antlerless,Any Legal Weapon,Limited Entry
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,EA1048,630,local_db_unique,32,Mt Dutton,Elk,Antlerless,Any Legal Weapon,Limited Entry
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,EA1050,693,dwr_kml_exact_name,32,"Mt Dutton, East",Elk,Antlerless,Any Legal Weapon,Limited Entry
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,EA1051,693,dwr_kml_exact_name,32,"Mt Dutton, East",Elk,Antlerless,Any Legal Weapon,Limited Entry
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,EA1052,860,local_db_unique,32,"Nine Mile, Avintaquin-west Anthro",Elk,Antlerless,Any Legal Weapon,Limited Entry
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,EA1059,137,dwr_kml_exact_name,32,"North Slope, Manila-phil Pico",Elk,Antlerless,Any Legal Weapon,Limited Entry
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,EA1062,142,local_db_unique,32,"North Slope, West Daggett",Elk,Antlerless,Any Legal Weapon,Limited Entry
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,EA1091,206,local_db_unique,32,"South Slope, Diamond Mtn",Elk,Antlerless,Any Legal Weapon,Limited Entry
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,EA1092,880,local_db_unique,32,"South Slope, Little Mtn-buckskin Hills",Elk,Antlerless,Any Legal Weapon,Limited Entry
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,EA1093,880,local_db_unique,32,"South Slope, Little Mtn-buckskin Hills",Elk,Antlerless,Any Legal Weapon,Limited Entry
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,EA1098,613,local_db_unique,32,"South Slope, Yellowstone",Elk,Antlerless,Any Legal Weapon,Limited Entry
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,EA1099,613,local_db_unique,32,"South Slope, Yellowstone",Elk,Antlerless,Any Legal Weapon,Limited Entry
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,EA1100,613,local_db_unique,32,"South Slope, Yellowstone",Elk,Antlerless,Any Legal Weapon,Limited Entry
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,EA1148,569,local_db_unique,32,Lone Tree Tunnel Hollow,Elk,Antlerless,Any Legal Weapon,Limited Entry
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,EA1152,572,dwr_kml_exact_name,16,Mountain Top,Elk,Antlerless,Any Legal Weapon,Limited Entry
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,EA1155,738,local_db_unique,32,Powder Mountain,Elk,Antlerless,Any Legal Weapon,Limited Entry
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,EA1183,685,local_db_unique,16,"Beaver, East",Elk,Antlerless,Muzzleloader,Limited Entry
scorable,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2019 scorable draw results.csv,EA1184,831,local_db_unique,32,"Beaver, North",Elk,Antlerless,Any Legal Weapon,Limited Entry
